source,title
allafrica.com,"Judge Delays Omotoso Trial, Rejects Bid to Appeal Recusal Ruling"
allafrica.com,'Unresolved Issues' Stops Uganda's Standard Gauge Railway Project
allafrica.com,Nigeria: 23-Year-Old Emerges Mr Nigeria 2018 Winner
allafrica.com,Uganda: Government Puts SGR On Hold Over Unresolved Issues
allafrica.com,Nigeria: Alapa - Why Family Planning Is Becoming a Household Name in Oyo State
allafrica.com,Farmer to Sue Namibian Govt Over Russian Land Deal
allafrica.com,What Kenyatta Said to CNN's Richard Quest
allafrica.com,South Africa: New Leaked Reports Show Why Train Security Has Collapsed
allafrica.com,Namibia: Rape Victim's Mother Vows to Deal With Suspect
allafrica.com,Liberia: Engendering and Building Trust to Success of President Weah's Papd
allafrica.com,Cameroon: Parliament - November Session Begins On Friday
allafrica.com,"Seychelles: Education, Tourism, Fisheries Are Areas of Cooperation for Seychelles and Ghana, New High Commissioner Says"
allafrica.com,"Seychelles: Former President of Seychelles, a Blue Economy Devotee, Appointed to 'Ocean Ambassadors' Group"
allafrica.com,Kenya: Court Appoints Mediator After Clerics in Gay Case Disagree
allafrica.com,"Ethiopia Overseas Employment in New Push to Send Professionals, Graduates to Gulf States"
allafrica.com,Liberia: Celebrating God's Favor At 64 and 80
allafrica.com,Africa: Bohemians FC Reveals 2019 Kit Featuring Reggae Icon Bob Marley
allafrica.com,Botswana: Press Release - Staff Withdrawal
allafrica.com,Botswana: Khama-Chameleon - Botswana's Foreign Policy Shift
allafrica.com,Tanzania: Gamba Died From Blood Hemorrhage in the Brain - Family
allafrica.com,Liberia: Lawmakers Return to Capitol Hill for Special Session
allafrica.com,Botswana: Education Blends Different Backgrounds - Morupisi
allafrica.com,Kenya: Is Top Ruling Jubilee Party Official Right About Who Is Paying Income Tax in Kenya?
allafrica.com,South Africa: Mihalik Murder - 'We Are Shocked' - Cape Bar Association
allafrica.com,Morocco: Casablanca - Over 1kg of Coke Removed From Stomach of Portuguese National
allafrica.com,Liberia: 'Liberia's Commitment to Gender Parity Remains Unwavering'
allafrica.com,Namibia: Farmer to Sue Govt Over Russian Deal
allafrica.com,Ethiopia: Premier Appoints Beyene to Head Public Enterprise Agency
allafrica.com,Liberia: Chief Justice Launches Chamber of Commerce Adr Program Today
allafrica.com,South Africa: No Chop for Mahlangu and Hlongwa From ANC Gauteng PEC
allafrica.com,"Africa: Zimbabwean Prophet, Walter Magaya HIV Cure Claim Problematic"
allafrica.com,South Africa: Unemployment Rise Adds to Ramaphosa's Economic Woes
allafrica.com,"Liberia: Afell, UN Women Want Colleagues, Girls Protected"
allafrica.com,Kenya/Sierra Leone: Timbe Returns As Migne Names Harambee Stars Squad for S. Leone Clash
allafrica.com,South Africa: Gogos Pay to Queue for Pensions
allafrica.com,Liberia: Bridge Over St. John River Turns Death Trap
allafrica.com,Ethiopia: Authority Fans Concerns Over Taxi-Hailing Licence
allafrica.com,Nigeria: The Rise of Cosmetic Surgery in Nigeria
allafrica.com,"Morocco: 24 Killed in Road Accidents in Morocco's Urban Areas Last Week, Police"
allafrica.com,Liberia: Tufaie Foundation Appeals for Govt Subsidy
allafrica.com,Malawi: Cannabis Investors Woo Malawi On Industrial Hemp
allafrica.com,"Ethiopian Airlines - Beautiful Forest, Fallen Trees"
allafrica.com,Liberia: Pres. Weah Off to Senegal for Eiti Conference
allafrica.com,Liberia: Apm Terminators Defeat Obt-Msc 4-2 in Kickball
allafrica.com,East Africa: Burundi Talks Leave Many Questions
allafrica.com,Africa: Ataf Wants Member Countries Discourage Aid Dependency
allafrica.com,Ethiopia: Tourism Industry Thirsts for Simpler Solutions
allafrica.com,Malawi: Chewa King Gawa Undi Calls for Abolishment of Harmful Cultural Practices
allafrica.com,"Ethiopia: A Grand Settlement, Necessary Before National Elections"
allafrica.com,Ethiopia: Central Bank Fines Seven Banks for Failing to Train Staff
allafrica.com,Ethiopia: The 71-Year-Old Chamber Elects First Female President
allafrica.com,"South Africa: Hannah Cornelius Murder - Accused's Involvement Minimal, 137 SECs to Be Exact, Court Hears"
allafrica.com,Tanzania: Wildebeests Return to Serengeti Park Earlier Than Expected
allafrica.com,Ethiopia: The Happy and the Rich
allafrica.com,Ethiopia: Authority Awards the Year's Largest Road Project
allafrica.com,"Ethiopia: United Posts High Profits, Moderate Share Earnings"
allafrica.com,Ethiopia: Cinematic Moments At the El Royale
allafrica.com,Africa: Re-Election Cements Cameroon's Pres Biya As One of Africa's Longest Ruling Leaders
allafrica.com,Ethiopia: Disruptors - Not Manufacturing Hubs - Make Ethiopia's Economy Great
allafrica.com,Liberia: Itf Development Officer Visits Liberia
allafrica.com,Ethiopia: A Friend That Provokes Is a Friend Indeed
allafrica.com,Kenya: Nyandarua Villagers Live in Fear Over Leopards Attack
allafrica.com,Ethiopia: The Hidden Symptoms of Authoritarian Tendencies
allafrica.com,South Africa: Omotoso Trial - Judge Rejects Bid to Appeal Ruling Over Whether He Should Recuse Himself
allafrica.com,South Africa: Mihalik Shooting a Brazen Attack On Criminal Justice System - Dan Plato
allafrica.com,Ethiopia: Education Roadmap Needs to Recognise Economic Predicaments
allafrica.com,Ethiopia: Youth Should Influence Change
allafrica.com,"Ethiopia: Ministry, Consultant Quarrel Over Research Ownership"
allafrica.com,Ethiopia: Private Sector Promise for Biofuel
allafrica.com,Ethiopia: City Merges River Revitalization Projects
