source,title
alternet.org,FBI Investigating Claim GOP Operative Offered Woman $20K to Falsely Accuse Mueller of Sexual Assault: Report
alternet.org,The View's Meghan McCain Tries to Corner Stacey Abrams on the Second Amendment — And Gets a Tough Lesson in Responsible Gun Ownership
alternet.org,'Deep Cowardice': Paul Krugman Explains How the Media's 'Fear of Sounding Partisan' Plays Into the Hands of Right-Wing Extremists
alternet.org,"In Stunning Reversal, Anti-Obamacare GOP Governor Urges Voters to Back Medicaid Expansion"
alternet.org,Dave Chappelle Urges America to Take Responsibility For Trump: He Get 'Too Much Credit'
alternet.org,Indiana Woman Says She Feels Better After Sending Black Neighbors a 'No N*****s Wanted' Letter: ‘I Released Some Anger’
alternet.org,Trump Says He Will End Right of Citizenship at Birth for American Children of Immigrants
alternet.org,New Lawsuit Alleges the Trump Family Conned Thousands of Working People for Years in a Massive 'Racketeering Enterprise'
alternet.org,"While No One Was Looking, Trump Unleashed a Boom in the Market for Shady Financial Industry Scammers"
alternet.org,Reporters Educate Sarah Sanders After Her Absurd Insult of the Washington Post: 'That's What Newspapers Do'
alternet.org,It’s a Right-Wing Cover-Up: Trump Was a Big Inspiration for the Synagogue Slaughter in Pittsburgh
alternet.org,Internet Explodes With Fury at Pence for Hosting Christian Rabbi to Pray for Synagogue Victims
alternet.org,Lawyers For Man Convicted in Right-Wing Terror Plot Beg Judge for Leniency Because He Believed Trump's Lies
alternet.org,Alt-Right Around the World: Here Are 4 Countries Where the Authoritarian Forces Have Been Spreading Their Messages
alternet.org,Sarah Sanders Flails After CNN's Jim Acosta Demands She Have the 'Guts' to Explain Trump's Dangerous Rhetoric
alternet.org,The View’s Meghan McCain Throws a Fit When Joy Behar Cites Trump’s Vitriolic Rallies — And Gets Immediately Shut Down
alternet.org,How the Numbers Can Lie: Paul Krugman Explains Why European Social Democracies Are So Much Better Off than the United States
alternet.org,"Election Expert Greg Palast: Thanks to GOP Voter Suppression, 'Democrats May Have Effectively Lost'"
