source,title
aol.com,12-year-old girl who died chasing her dog onto highway will be buried alongside her beloved pet
aol.com,President Donald Trump says he'd be 'very happy' to run against Hillary Clinton in 2020
aol.com,Kindness of strangers: A day in the life of the migrant caravan in Mexico
aol.com,Couple horrified after finding hidden camera in Carnival Cruise ship bedroom
aol.com,Inside Klay Thompson's and the Warriors' record-breaking night
aol.com,Thousands of US troops could be sent to Mexico border: source
aol.com,"From Beyoncé to Ruth Bader Ginsburg, Check Out These Dogs In Halloween Costumes"
aol.com,Why Joe Giudice's deportation won't play out on 'Real Housewives' (Exclusive)
aol.com,87-year-old man who broke his hip en route to buy Mega Millions ticket wins in hospital pool
aol.com,White woman fired after video of her harassing her black neighbor goes viral
aol.com,The 20 most haunted hotels in America
aol.com,10 Kendra Scott pieces we're loving right now
aol.com,Profession to Passion: How one lawyer left a corporate firm to start baking pies
aol.com,Synagogue suspect in court; survivors recall ordeal
aol.com,Mail bomb suspect in court Monday as CNN reports fresh package
aol.com,"Kellyanne Conway suggests 'late-night comedians' promoting 'anti-religiosity' to blame for synagogue shooting, and Twitter's not having it"
aol.com,From Law to Pies From Law to Pies
aol.com,Report: Prince William tried to steal Prince Harry's spotlight with a new haircut
aol.com,Best Bites: Dracula's Dentures
aol.com,Meghan Markle is welcomed to Auckland with 'Suits' theme song
aol.com,Charlize Theron transforms into Megyn Kelly on the same day NBC host's show gets canceled
aol.com,Meghan Markle's BFF Jessica Mulroney is a new fashion contributor for 'Good Morning America'
aol.com,Top 10 pet Halloween costumes sold on eBay
aol.com,Soviet-era moon fragments could reach $1 million at N.Y. auction
aol.com,Duchess Meghan just pulled a total Kate Middleton move
aol.com,Meghan Markle criticized for 'too' relaxed pose in New Zealand by etiquette experts
aol.com,Wall Street falls on fresh China tariff worries
aol.com,Dancing With the Stars week 6 recap: Which couple didn't 'eek' out a pass?
aol.com,3 ways to reduce heating costs this winter
aol.com,eBay expert reveals the hottest toy of this Holiday season
aol.com,"What It’s Worth: $250,000"
aol.com,Celebrate the Red Sox's World Series win with a new pair of sneakers
aol.com,"North Carolina student dies in shooting, fellow student held"
aol.com,Browns fire Hue Jackson in his third year as coach
aol.com,Stacey Dash reignites feud with Chelsea Handler at black conservative event
aol.com,Melania Trump welcomes trick-or-treaters to the White House in Bottega Veneta coat
aol.com,'The Voice' Contestant Moves Mariah Carey to Tears
aol.com,Meet Hero Pittsburgh Rabbi Who Saved Congregants
aol.com,"Lena Dunham admits addiction, reveals she is 6 months sober"
aol.com,Bob Saget Marries Kelly Rizzo in Beach Wedding
aol.com,'The Voice' Coaches Talk Moment When They Made It
