source,title
arstechnica.com,Apple confirms iOS 12.1 shipping today with 32-person Group Facetime
arstechnica.com,"Puppy Cube mini-review: 720p limits the potential, but it works surprisingly well"
arstechnica.com,Apple finally announces an overhauled Mac mini
arstechnica.com,Power sector CO2 emissions are lower than they have been since 1987
arstechnica.com,There’s a new record-holder for closest human object to the Sun
arstechnica.com,UK set to impose new “tech tax” on Silicon Valley giants
arstechnica.com,"Archaeologists find 300,000-year-old stone tools in Saudi Arabia"
arstechnica.com,"Apple updates MacBook Air with Retina display, Touch ID"
arstechnica.com,Feds: 4 ex-Genetech scientists stole from biotech giant to help startup
arstechnica.com,New Signal privacy feature removes sender ID from metadata
arstechnica.com,Liveblog: All the news from Apple’s “more in the making” Brooklyn event
arstechnica.com,How do we figure out that rocks are billions of years old?
arstechnica.com,"Before crucial holiday season, Nintendo struggles as Sony shines"
arstechnica.com,Big transistor senses the arrival of a single molecule
arstechnica.com,Gab forced offline over apparent tie to Pittsburgh synagogue shooter
arstechnica.com,Researchers can now legally restore “abandoned” online game servers
arstechnica.com,IBM buys Red Hat with eye on cloud dominance
arstechnica.com,"SLS contractor gets real, says program needs to focus on “affordability”"
arstechnica.com,"GM wants alternative to fuel economy standards from Obama, rollback from Trump"
arstechnica.com,"Chocolate has an even earlier origin than we thought, new study finds"
arstechnica.com,"Adieu, home button—Apple’s new iPad Pros have nearly edge-to-edge screens, FaceID"
arstechnica.com,"PlayStation Classic’s full game list announced, and it might annoy you"
arstechnica.com,"Gut bacteria recover from antibiotics, but they may take six months"
arstechnica.com,Hyperloop startup says construction on Abu Dhabi track will commence in Q3 2019
arstechnica.com,OnePlus 6T Review: Amazing value with an even more amazing fingerprint reader
arstechnica.com,The 2019 Hyundai Nexo is an upmarket hydrogen fuel-cell SUV
arstechnica.com,Net neutrality delay: Calif. agrees to suspend law until after court case
arstechnica.com,Mail bombing suspect repeatedly threatened Democrats on Twitter
arstechnica.com,What Apple might announce at its October 30 “special event” in Brooklyn
arstechnica.com,Why a random federal agency gets to decide which devices we tinker with
arstechnica.com,"Garmin Vivosmart 4 review: An affordable band for easy fitness, SpO2 data"
arstechnica.com,Easy-to-exploit privilege escalation bug bites OpenBSD and other big name OSes
arstechnica.com,Facebook yanks content tied to Iranian effort due to “inauthentic behavior”
arstechnica.com,"AIs trained to help with sepsis treatment, fracture diagnosis"
arstechnica.com,Healthy tissues in older people carry a lot of cancer-promoting mutations
arstechnica.com,"Court: Teen’s driving killed someone, but he can’t be forced to give up passcode"
arstechnica.com,Report: Tesla faces “deepening criminal investigation” into Model 3 production
arstechnica.com,Japanese auction reveals Nintendo’s first Wii remote… for the GameCube
arstechnica.com,"Acting like a psychopath is great for male CEOs, not so much for women"
arstechnica.com,"Rocket Report: SpaceX nabs another contract, Vector cashes in, Vulcan delay"
arstechnica.com,Xiaomi’s Mi Mix 3 is an all-screen magnetic slider phone with 10GB of RAM
arstechnica.com,"Mammals inherit most of their gut bacteria, new study suggests"
arstechnica.com,"We might be able to rate future films with a sniff test, study says"
arstechnica.com,Finally in the black: Tesla has a good quarter
arstechnica.com,"Weird water phase “ice-VII” can grow as fast as 1,000 miles per hour"
arstechnica.com,Tesla pulled the “full self-driving” option—here’s what customers think
arstechnica.com,Why almost everyone was wrong about Tesla’s cash flow situation
arstechnica.com,New York officially sues Exxon Mobil for misleading investors on climate change
arstechnica.com,"Over a decade, Google handsomely paid 3 men accused of misconduct, per report"
arstechnica.com,Atoms may come apart as the Universe’s biggest stars explode
arstechnica.com,Five solar roof shingles that aren’t from Tesla
arstechnica.com,NOAA is about to make some big changes to its global weather model
arstechnica.com,Microsoft is bringing all-you-can-play Game Pass subscription to PC
arstechnica.com,Plastic found in the poop of eight people from eight different countries
arstechnica.com,SpaceX official says company about to launch a Falcon 9 for the third time
arstechnica.com,SpaceX’s Falcon Heavy rocket seems to be a hit with satellite companies
arstechnica.com,Ars on your lunch break: Losing my drone religion
arstechnica.com,"Russia was likely behind dangerous critical infrastructure attack, report says"
arstechnica.com,Sony goes back on 11-year-old promise to keep Warhawk servers up
arstechnica.com,Supercool brines on Mars may contain enough oxygen to support aerobic life
arstechnica.com,Apple’s long-rumored TV service reportedly launching in 2019
arstechnica.com,"Amazon pitched its facial recognition to ICE, released emails show"
arstechnica.com,Uber vice president resigns after sexual misconduct allegations
arstechnica.com,Ancient skull found among debris in burned Brazilian museum
arstechnica.com,3 states try to help the FCC kill net neutrality and preempt state laws
arstechnica.com,"Firefox 63 blocks tracking cookies, offers a VPN when you need one"
arstechnica.com,The new 2019 Hyundai Kona EV is a clever little electric crossover
arstechnica.com,NASA chief says agency plans to launch crew on Soyuz in December
arstechnica.com,"Safety first, last, and always: The Subaru Ascent, reviewed"
arstechnica.com,A look at the virus behind seven deaths at a New Jersey facility
arstechnica.com,Why does one California county sheriff have the highest rate of stingray use?
arstechnica.com,This ancient Greek ship is the oldest intact shipwreck ever discovered
arstechnica.com,"Apple says glossy iPhone XS selfies were a bug, promises a fix in iOS 12.1"
arstechnica.com,Hundreds of health crowdfunding campaigns are for sham treatments
arstechnica.com,Lawyer suing e-scooter companies calls user agreements “draconian”
arstechnica.com,Two new supply-chain attacks come to light in less than a week
arstechnica.com,Ars on your lunch break: What happens when China curb-stomps your startup
arstechnica.com,Charter’s nationwide price hike could cost you another $91 a year
arstechnica.com,Ford’s plan for driverless cars goes beyond technology
arstechnica.com,"Half of enterprise machines run Windows 10, as Windows 7’s end of life looms"
arstechnica.com,Oculus reconfirms “future version of Rift” amid PC cancellation rumors
arstechnica.com,Ford recalls 1.5 million Focuses for faulty fuel tank purge valves
arstechnica.com,"How driver-assist tech can result in a $5,000 fender-bender"
arstechnica.com,"Tim Cook calls for strong US privacy law, rips “data-industrial complex”"
arstechnica.com,Arizona superintendent fails in last attempt to limit evolution teaching
arstechnica.com,"HP updates Spectre x360 2-in-1s with webcam privacy switch, more battery life"
arstechnica.com,"Microsoft posts a record $29.1 billion Q1. Same old, same old"
arstechnica.com,Another Windows 0-day flaw has been published on Twitter
arstechnica.com,Comcast gigabit cable ($105 with 1TB data cap) now available in 39 states
arstechnica.com,Report: Former top Waymo engineer altered code to go on “forbidden routes”
arstechnica.com,"After $5 billion EU antitrust fine, Google will start charging for Android apps"
arstechnica.com,What do we actually know about the risks of screen time and digital media?
arstechnica.com,The 2019 Volvo S60 is Swedish style at a surprisingly good price
arstechnica.com,"iFixit rips open the Pixel 3 XL, finds a Samsung display panel"
arstechnica.com,Tech firms to SEC: We want the option to pay non-employee workers in equity
arstechnica.com,"The $349 Nokia 7.1 brings a low price, flagship-style design to the US"
arstechnica.com,"A little radiation may be good for you, EPA witness argues for rule change"
arstechnica.com,"Lucasfilm releases an image, title, and more for its live-action Star Wars series"
arstechnica.com,There’s new evidence confirming bias of the “father of scientific racism”
arstechnica.com,"Surface Studio 2 has an even more amazing screen, ditches the spinning disks"
