source,title
azcentral.com,"Right-wing activist group films undercover video of Kyrsten Sinema, staffers"
azcentral.com,Misspent school voucher funds exceed $700K
azcentral.com,Mesa High School alum Kapi Sikahema fired as football coach
azcentral.com,I-17 remains closed in both directions due to officer-involved shooting Monday
azcentral.com,'This is our deal': Coach Herm Edwards creates novel system to develop ASU freshmen
azcentral.com,1 of 2 Tempe police officers released from hospital after fatal shooting
azcentral.com,Project Veritas sting on Krysten Sinema not exactly a gotcha moment
azcentral.com,2 Tempe police officers injured in shooting near Baseline Road and Mill Avenue
azcentral.com,Prop. 305 won't solve Arizona's school voucher debate. Here's what it will do
azcentral.com,"‘Bohemian Rhapsody’ review: Rami Malek in Freddie Mercury in safe, authorized biography"
azcentral.com,"5-year-old tests positive for meth after reportedly eating Halloween candy, police say"
azcentral.com,Arizona advocacy groups join call to protect asylum seekers from indefinite detention
azcentral.com,Expanded school voucher scam (Prop. 305) is even worse than we thought
azcentral.com,Donald Trump is (accidentally) right about 'fake news'
azcentral.com,Former Goodyear mayor dies after battle with cancer
azcentral.com,Oddsmakers give Arizona Diamondbacks 60-1 chance to win 2019 World Series
azcentral.com,What's up with all those billboards telling you to VOTE?
azcentral.com,Rep. Martha McSally: 'I'm getting my ass kicked' on vote to repeal 'Obamacare'
azcentral.com,ASU football coach Herm Edwards reveals the secret behind win over USC
azcentral.com,Watch: Migrant caravan streams through immigration checkpoints in Mexico
azcentral.com,ASU unveils Salute to Service football uniforms
azcentral.com,Halloween is the last day to mail early ballots in Arizona for Nov. 6 election
azcentral.com,"Late paperwork causes athletes to miss state swimming, diving championships"
azcentral.com,"Giants QB Kyle Lauletta arrested after nearly hitting cop with car, per report"
azcentral.com,4 new shops coming to Scottsdale Quarter
azcentral.com,Tempe officers in shooting near Baseline Road and Mill Avenue
azcentral.com,"NFL Week 9 schedule, television information: Rams, Saints fight for NFC supremacy"
azcentral.com,"Innings Festival brings Eddie Vedder, Incubus, Jimmy Eat World, Sheryl Crow to Tempe"
azcentral.com,Oakland Raiders CB Dominique Rodgers-Cromartie retires at midseason
azcentral.com,"Migrants continue moving north through southern Mexico, Oaxaca state"
azcentral.com,"Couple's $5,000 Bali honeymoon ruined because their dog chewed passport"
azcentral.com,"Honda shows off rugged, open-air concept vehicle at 2018 SEMA Show in Las Vegas"
azcentral.com,Good and bad: NBA Western Conference's surprising starts
azcentral.com,Sting and Shaggy tour in Phoenix: Every little thing they did was magic
azcentral.com,Who is feeding the thousands of Central American migrants in caravan that Trump wants to stop?
azcentral.com,NFL power rankings: Arizona Cardinals on the rise after second win over San Francisco 49ers
azcentral.com,Pac-12 football power rankings: Bottom half rises up to create major reshuffling
azcentral.com,President Trump says he plans to end birthright citizenship with an executive order
azcentral.com,Arizona Cardinals feeling good after win over San Francisco 49ers
azcentral.com,Controversies haven't dented Rep. Paul Gosar's base in Prescott
azcentral.com,Shaun White apologizes to Special Olympics community after controversial Halloween costume
azcentral.com,Chad Johnson Jr. becomes ASU football's first 2020 recruiting commitment
azcentral.com,College Football Playoff scenarios from the likely and possible to total chaos
azcentral.com,Retrial begins for neo-Nazi in racially motivated shooting death of Arizona woman
azcentral.com,Tempe police chief briefing
azcentral.com,Coyotes have earned the right to feel optimistic about this season
azcentral.com,ASU basketball's five-star guard Luguentz Dort will be on display in Tuesday's exhibition
azcentral.com,College football schedule: Alabama at LSU headlines top games in Week 10 of season
azcentral.com,ASU football looks to keep momentum with tough home game against Utah
azcentral.com,'Monster Party' review: You'll have a bloody good time at this gathering
azcentral.com,Cavaliers firing Tyronn Lue adds to NBA coaching changes since 2017
azcentral.com,NFL power rankings: Halloween tricks and treats include Eagles' return to top 10
azcentral.com,Countries that ban spanking have kids who are less likely to be violent
azcentral.com,Man shot in parking lot outside UPS building in Tempe
azcentral.com,Mother arrested after kids left in running car while she shopped in Scottsdale
azcentral.com,"Migrant caravan heads to Santiago Niltepec, Oaxaca in Mexico"
azcentral.com,Cardinals' Steve Wilks talks about Patrick Peterson
azcentral.com,Urban Meyer confirms intention to coach Ohio State in 2019
azcentral.com,Diamondbacks exercise Paul Goldschmidt’s 2019 option
azcentral.com,Diamondbacks' Jake Lamb buys Arcadia home
azcentral.com,Klay Thompson breaks Warriors teammate Steph Curry's NBA single-game 3-point record
azcentral.com,"Pentagon to deploy 5,000 active-duty troops to southern border to halt migrant caravan"
azcentral.com,Arizona Cardinals bowl to support charity during Kingpin Challenge
azcentral.com,"Of course Browns promote Gregg Williams, the coach behind Bountygate scandal"
azcentral.com,Man accused in pursuit from Mesa to West Phoenix faces multiple charges
azcentral.com,Delta Air Lines shows off its first Airbus A220 in Atlanta
azcentral.com,Fact Check: Is Arizona the most anti-abortion state in the country?
azcentral.com,Delaware RB charged with assaulting 77-year-old driver after mother hit by car
azcentral.com,Man found dead in Mesa market
azcentral.com,Suns vet Ryan Anderson does more in second of back-to-back road games
azcentral.com,Report: Packers players question Ty Montgomery's motives on kickoff return
azcentral.com,"Hue Jackson, Todd Haley fired by Browns after loss to Steelers"
azcentral.com,Migrant caravan heads for the state of Oaxaca in Mexico
azcentral.com,Photos: ASU's Salute to Service football uniforms 2018
azcentral.com,Ty Montgomery decries 'false accusations about my character' by Packers teammates
azcentral.com,Migrants hitch rides to cross through immigration checkpoint in Mexico
azcentral.com,Same-sex couple carries same 'miracle' baby in what may be fertility world first
azcentral.com,"If State Parks are bulldozing Arizona's archaeological treasures, this is why"
azcentral.com,Pittsburgh synagogue rampage spotlights rising anti-Semitism in America
azcentral.com,Why does Arizona vote to retain judges?
azcentral.com,"Pittsburgh synagogue attack worst on worshiping Jews in U.S. history, archivist says"
azcentral.com,I-17 reopens following closure at State Route 169 due to two crashes
azcentral.com,Arizona man bids $20 for storage unit and may see thousands with historic finds
azcentral.com,Arizona Senate race: McSally brings in Trump and other big names. Sinema stands on her own.
azcentral.com,"U.S., Mexico officials working together to turn away asylum seekers, lawsuit alleges"
azcentral.com,Jamal Crawford doesn't fill point-guard need for Phoenix Suns
azcentral.com,"Another big migrant caravan is headed for the United States, drawing Trump's ire again"
azcentral.com,"Kyrsten Sinema is a traitor? Yep, Martha McSally went there"
azcentral.com,"Arpaio sues New York Times, claims column damages 2020 Senate chances"
