source,title
bgr.in,Lenovo Z5 Pro to reportedly feature AI-enhanced dual cameras with 24-megapixel and 16-megapixel sensors
bgr.in,"Uber, Ola drivers’ strike in Mumbai enters second week; no end in sight to commuters' woes"
bgr.in,"Xiaomi to soon launch Mi AirDots, an affordable alternative to Apple AirPods: Report"
bgr.in,OnePlus 6T: new device renders and images leak out confirming the design and specifications
bgr.in,"Nokia 6.1 Plus to get Android 9 Pie update soon, HMD Global completes beta test"
bgr.in,"Apple iPhone XS Max beats Google Pixel 3 XL in performance, reveals speed test video"
bgr.in,"Paytm Maha Cashback Sale: Offers on smartphones, PCs, consumer electronics, and more"
bgr.in,YouTube up and running after suffering temporary outage around the world
bgr.in,"Samsung Galaxy A9 (2018) with 4 cameras announced: Specifications, features"
bgr.in,Xiaomi Mi MIX 3
bgr.in,Samsung Galaxy Tab S4 10.5
bgr.in,OnePlus has teamed up with Reliance Digital to target Tier-2 cities
bgr.in,Asus Mobile Phones
bgr.in,"Nokia 8.1 spotted on Geekbench; Nokia 6.1 to get Android Pie soon, company confirms"
bgr.in,Google Glass app to help autistic kids
bgr.in,"Vivo Z3 with gradient design, option of Snapdragon 670 and Snapdragon 710 chipset launched in China"
bgr.in,Apple iPad Pro 128GB (LTE)
bgr.in,Government to shut down MTNL among other sick PSUs
bgr.in,"Lava Iris X8 vs Xiaomi Redmi Note 4G vs Yu Yureka: Prices, specifications, features compared"
bgr.in,Realme 2 Pro Review: The New Mid-Range Killer?
bgr.in,Reliance Jio's 4G LTE Wi-Fi service soft launched in Gujarat: Report
bgr.in,"Xiaomi Mi Note launched, featuring 5.7-inch display, Snapdragon 801 chipset, 13-megapixel camera: Specifications and features"
bgr.in,"""F**k You, Xiaomi"" - A great price for a great phone isn't enough if you don't respect your customers"
bgr.in,"Apple dropped several health-oriented features in Watch due to inconsistent performance, may add them later: WSJ"
bgr.in,Asus Zenfone Max M1 (ZB556KL)
bgr.in,"Facebook, Google, Twitter and other social networks will have to host web servers in India: Centre to SC"
bgr.in,"Security firm claims Mi 4 comes preinstalled with malware, Xiaomi suggests it bought counterfeit product [confirmed]"
bgr.in,IRCTC online ticket booking: Your easy guide to book Indian Railways train tickets online
bgr.in,Xiaomi Redmi 6 Pro Review: A curious mix of old and new
bgr.in,Micromax teases the Canvas Turbo while unveiling Hugh Jackman as its new brand ambassador
bgr.in,"On Steve Jobs' second death anniversary, Tim Cook tells employees he'd have been proud of them"
