source,title
bostonherald.com,Patriots do just enough in ugly win against Bills
bostonherald.com,Alex Cora at core of Red Sox' success
bostonherald.com,Trump: End birthright citizenship for some US-born babies
bostonherald.com,Previous flight of crashed Lion Air jet terrified passengers
bostonherald.com,"Alex Cora’s words, deeds move Boston Puerto Ricans"
bostonherald.com,Trump visit stirs debate; massacre defendant in court
bostonherald.com,Analysis: Donald Trump flexing muscle for midterms
bostonherald.com,Howie Carr: Straight path into Harvard
bostonherald.com,"Boston mayor: Let's party like champions, folks"
bostonherald.com,Editorial: Maura Healey earns right
bostonherald.com,Pedro Martinez can't stop giving back
bostonherald.com,Jeff Sessions: Synagogue rampage was ‘attack on all people of faith’
bostonherald.com,Bulger back on the move; lands in W. Virginia federal penitentiary
bostonherald.com,Leaders call for 'fair' hotel strike settlement
bostonherald.com,Red Sox return to Fenway Park with World Series trophy
bostonherald.com,"US sending 5,200 troops to border, double Syria deployment"
bostonherald.com,Red Sox' Dave Dombrowski basks in culmination of hard work
bostonherald.com,Dems asked for it: Trump ’18
bostonherald.com,Baseball Hall of Fame to unveil new Red Sox artifacts today
bostonherald.com,Guregian: Patriots running game scuffles in victory
bostonherald.com,U.S. must stop being played by Saudi Arabia
bostonherald.com,Bills honor Thurman Thomas by retiring No. 34
bostonherald.com,Red Sox embody city's spirit
bostonherald.com,UMass: We'll keep transgender policy even if law repealed
bostonherald.com,"As religion wanes, ‘religious’ hatred grows"
bostonherald.com,Here’s the route to root along
bostonherald.com,Boston College football prepares for chaos of Lane Stadium
bostonherald.com,Patriots notebook: Trade winds might blow this week
bostonherald.com,Previous flight of crashed Lion Air jet scared passengers
bostonherald.com,Carey Mulligan picks up life’s pieces in ‘Wildlife’
bostonherald.com,Sessions: Shooting 'an attack on all people of faith'
bostonherald.com,Inside the vote for World Series MVP
bostonherald.com,Halloween treat: Red Sox parade to roll Wednesday morning
bostonherald.com,Charlie Baker seeks coordinated drug effort
bostonherald.com,Official: Pipe-bomb suspect had hit list of targets
bostonherald.com,"Game Day Live: Josh Gordon starts, Dont'a Hightower inactive"
bostonherald.com,Asian markets rise as weaker yuan eases fear of more tariffs
bostonherald.com,"Imai, Xaverian earn golf titles"
