source,title
cbsnews.com,Trump plans executive order to end birthright citizenship for some U.S.-born babies
cbsnews.com,"In wake of synagogue attack, Pittsburgh mayor worries Trump's visit will upstage funerals"
cbsnews.com,"Girl, 9, twin 6-year-old brothers killed in crash at Indiana school bus stop"
cbsnews.com,"Trump wants to ""put tents up all over the place"" for migrants. How much might that cost?"
cbsnews.com,"CDC director Robert Redfield says pandemic flu is ""very possible"""
cbsnews.com,Trump says asylum seekers will live in tent cities before their day in court
cbsnews.com,Rampage victims' funerals begin as Trump heads to Pittsburgh
cbsnews.com,Boston gangster Whitey Bulger found dead in West Virginia prison
cbsnews.com,"Khashoggi's fiancee Hatice Cengiz calls on Trump to prevent ""cover-up"""
cbsnews.com,Millennials aren't saving for the future? Wrong
cbsnews.com,Two who died in fall from popular Yosemite overlook identified as tourists from India
cbsnews.com,Three-quarters of Venice underwater as city hit by worst flooding in a decade
cbsnews.com,Ariana Grande gives first performance since Mac Miller’s death
cbsnews.com,"Missing professor, her husband presumed slain; son in custody"
cbsnews.com,Mom of student who died after pancake-eating contest sues Sacred Heart University
cbsnews.com,"Passengers flying same Lion Air jet night before crash described ""roller coaster"" ride"
cbsnews.com,"TV report on ""Jewish multi-millionaire"" George Soros sparks U.S. agency probe"
cbsnews.com,Selfie appears to show woman before she and husband fell to deaths at Yosemite
cbsnews.com,Viral video captures cat that crashed the fashion runway and completely stole the show
cbsnews.com,"""Beastie Boys Book"": Rap's most enduring group chronicles rise to fame"
cbsnews.com,Read the 14th Amendment's Citizenship Clause that Trump wants to challenge
cbsnews.com,"Pence honors synagogue victims with rabbi praying to ""Jesus the Messiah"""
cbsnews.com,Mother charged after 1-year-old son died in Hurricane Florence
cbsnews.com,"Trump calls stock market decline ""a little pause,"" yet investors fret"
cbsnews.com,Sen. Lindsey Graham says he'll introduce legislation to end birthright citizenship
cbsnews.com,Star-studded ad directed by Jodie Foster urges women to vote
cbsnews.com,Land O'Lakes boycott threat has company cutting ties to Iowa Congressman Steve King
cbsnews.com,"Pharrell Williams threatens to sue President Trump over use of ""Happy"""
cbsnews.com,"12-year-old girl killed by car while chasing dog, will be buried next to beloved pet"
cbsnews.com,Oakland police thought severed head brought to them was Halloween prank – it wasn’t
cbsnews.com,Gayle King inducted into Broadcasting & Cable Hall of Fame
cbsnews.com,U.S. preparing to deploy several thousand troops to southern border
cbsnews.com,"Pizza bagels, gum and bottled water could be labeled as ""healthy"" as FDA considers its definition"
cbsnews.com,Trump focuses on immigration issues ahead of midterm elections
