source,title
cbssports.com,"NFL Trade Deadline 2018: When is it, what you need to know, latest on Le'Veon Bell, other big names, trades completed"
cbssports.com,Cowboys' Amari Cooper deal is reportedly throwing off the trade market on deadline day
cbssports.com,"Mychal Kendricks' insider-trading suspension will be 8 games, Seahawks LB eligible to return for Week 14"
cbssports.com,"NBA highlights, scores: Warriors' Klay Thompson breaks Stephen Curry's NBA record with 14 3s in historic game"
cbssports.com,"UCF against the world: Do the Knights deserve more respect, or has fatigue simply set in?"
cbssports.com,"NBA Power Rankings: With Cavaliers bottoming out, Eastern Conference has new frontrunners"
cbssports.com,Bucks claim temporary Eastern Conference supremacy as last remaining undefeated NBA team
cbssports.com,Babe Ruth-signed baseball sells for $144K; Roberto Clemente jersey goes for $66K at auction
cbssports.com,"NHL DFS: Best DraftKings, FanDuel daily fantasy hockey picks for October 30"
cbssports.com,"NBA will move start of 2019-20 season and playoffs back one week, according to report"
cbssports.com,New York City Marathon 2018: Shalane Flanagan seeks to defend her title on Sunday
cbssports.com,Bottom 25 college football rankings: It keeps getting worse for Rutgers as playoff push begins
cbssports.com,World Series: David Price prepared for his dominant Game 5 start by playing 'Fortnite'
cbssports.com,"Patriots' Stephon Gilmore disses Kelvin Benjamin, says Bills wideout pushed off on big catch"
cbssports.com,NFL Trade Rumors: Patriots pursuing 'premium' star wideouts such as Lions' Golden Tate
cbssports.com,"Eagles trade for Golden Tate, reportedly give Lions third-round pick for talented slot receiver"
cbssports.com,"College basketball odds: Duke is favored to win the NCAA Tournament, but here are the best bets to consider"
cbssports.com,"NFL Week 9 Power Rankings: Rams, Saints set to battle for top spot in NFC, rankings"
cbssports.com,"Golden State Warriors owe $40 million for Oracle Arena renovations, according to arbitrator"
cbssports.com,"Fantasy Football Rankings Week 9: Model that beat experts says start Marquise Goodwin, sit Ben Roethlisberger"
cbssports.com,NFL Trade Deadline 2018: Cowboys' Amari Cooper deal is reportedly throwing off the trade market
cbssports.com,Wild's Alex Stalock: In goal Tuesday
cbssports.com,Eagles' Golden Tate: Heading to Philly
cbssports.com,Arbitrator says Golden State Warriors owe $40 million for Oracle Arena renovations
cbssports.com,2018 NFL Trade Deadline: Broncos reportedly sending Demaryius Thomas to Texans for a mid-round pick
cbssports.com,Broncos' Courtland Sutton: Moves up depth chart
cbssports.com,Capitals' Brooks Orpik: Expected to play Thursday
cbssports.com,Bears' Kyle Long: Placed in walking boot
cbssports.com,Wizards' Markieff Morris: Ruled out Tuesday
cbssports.com,Golden Knights' Malcolm Subban: Starting in Nashville
cbssports.com,Heat's Wayne Ellington: DNP-CD in loss to Kings
cbssports.com,Wizards' Kelly Oubre: Questionable with illness
cbssports.com,Canadiens' Carey Price: In goal against Dallas
cbssports.com,Golden Knights' Cody Eakin: Ready to rock
cbssports.com,Texans' Demaryius Thomas: Trade to Houston official
cbssports.com,Dolphins' Ziggy Hood: Signs with Miami
cbssports.com,Pacers' Ike Anigbogu: Back to Fort Wayne
cbssports.com,Steelers' Ben Roethlisberger: Suffers broken finger
cbssports.com,Rangers' Elvis Andrus: Not planning to opt out
cbssports.com,Oilers' Cam Talbot: Starting against Minnesota
cbssports.com,Clippers' Luc Mbah a Moute: Out again Tuesday
cbssports.com,Wild's Charlie Coyle: Bags helper Monday
cbssports.com,Kyle Allen: Joins Panthers' practice squad
cbssports.com,Bengals' A.J. Green: Dealing with foot issue
cbssports.com,Dominique Rodgers-Cromartie: Announces retirement
cbssports.com,Maple Leafs' Morgan Rielly: Stays productive without Matthews
cbssports.com,Raptors' Fred VanVleet: Questionable vs. Sixers
cbssports.com,Golden Knights' Cody Eakin: Makes quick return to practice ice
cbssports.com,Kyle Allen: Added to Panthers' Practice squad
cbssports.com,Broncos' Demaryius Thomas: Trade to Houston imminent
cbssports.com,Colts' Robert Turbin: May practice next week
cbssports.com,Red Wings' Andreas Athanasiou: Unfit to play Tuesday
cbssports.com,Stars' Ben Bishop: Starting in Montreal on Tuesday
cbssports.com,Chargers' Joey Bosa: Progressing in rehab
cbssports.com,Stars' Connor Carrick: Officially out Tuesday
cbssports.com,Thunder's Steven Adams: Going through shootaround
cbssports.com,Raptors' OG Anunoby: Out again Tuesday
cbssports.com,Islanders' Cal Clutterbuck: Remains sidelined
cbssports.com,Titans' Delanie Walker: Progresses to walking boot
cbssports.com,Red Wings' Jimmy Howard: Defending cage Tuesday
cbssports.com,Stars' Stephen Johns: Out again Tuesday
cbssports.com,Blues' Jakub Jerabek: Placed on waivers Tuesday
cbssports.com,Kings' Iman Shumpert: Will be rested Tuesday
cbssports.com,Giants' Kyle Lauletta: Gets arrested Tuesday
cbssports.com,Penguins' Derick Brassard: Ruled out against Islanders
cbssports.com,Stars' Alexander Radulov: Ready to return
cbssports.com,Sabres' Jake McCabe: Game-time call
cbssports.com,Canadiens' Noah Juulsen: Out against Stars
cbssports.com,Hurricanes' Scott Darling: Preparing for season debut
cbssports.com,Penguins' Kris Letang: Game-time decision Tuesday
cbssports.com,"Kings' Jonathan Quick: Out, but not on IR"
cbssports.com,Capitals' Brooks Orpik: Bogged down by lower-body issue
cbssports.com,Brandon Guyer: Bought out by Indians
cbssports.com,Sabres' Carter Hutton: Gets starting nod
cbssports.com,Lightning's Ondrej Palat: Unavailable against Devils
cbssports.com,Oilers' Ty Rattie: Expected to skate Tuesday
cbssports.com,Indians' Carlos Carrasco: Option picked up by Cleveland
cbssports.com,FFT: QB wavier (10/30)
cbssports.com,FFT: RB/TE Wavier Wire (10/30)
cbssports.com,Would an Alabama loss be good for the SEC?
cbssports.com,Harper has a deal in place already?
cbssports.com,Dodgers vs. Brewers score: Cody Bellinger walks it off for Los Angeles in Game 4 to tie NLCS at 2-2
cbssports.com,"Giants' owner calls out Odell Beckham, says he's 'embarrassed' about team's season"
cbssports.com,"NHL Power Rankings: From Maple Leafs to Red Wings, the best thing going for each team so far"
cbssports.com,"NFL owners reportedly worried about Chargers in L.A., team's revenue projection drops $250M"
cbssports.com,"Nuggets rally in fourth to defeat Clippers in opener, 107-98"
cbssports.com,"Dodgers' Manny Machado addresses hustle criticism, says being 'Johnny Hustle' isn't his 'cup of tea'"
cbssports.com,"Warriors vs. Thunder odds, line: 2018-19 NBA picks, predictions for Opening Night from expert who's 26-14"
cbssports.com,"NFL Week 7 Power Rankings: Ravens defense makes them legit Super Bowl contenders, big test vs. Saints looms"
cbssports.com,Indians' Mike Clevinger absolutely loves being compared to that kid in 'Dazed and Confused'
cbssports.com,Marcus Smart and J.R. Smith fined for altercation during Celtics-Cavaliers preseason game
cbssports.com,"Patriots vs. Chiefs score: Live updates, results, game stats, highlights for 'Sunday Night Football'"
cbssports.com,MLB playoffs: Bob Uecker celebrates with Brewers again after sweep over Rockies NLDS
cbssports.com,"MLB playoffs: Lack of offense has Braves, Rockies and Indians facing elimination in Game 3"
cbssports.com,"MLB playoffs 2018: If Red Sox's Chris Sale can't start ALCS Game 5, here are three alternative options"
cbssports.com,"Five-star forward Wendell Moore commits to Duke over North Carolina, NC State and Wake Forest"
cbssports.com,"Yankees vs. Red Sox Game 2: Gary Sanchez homers twice, including 479-foot behemoth"
cbssports.com,MLB playoffs: Alex Bregman says Astros belong on 'primetime television' after day-game relegation in ALDS
cbssports.com,Rockies now enter a pivotal offseason following a disappointing NLDS elimination to Brewers
cbssports.com,Yankees vs. Red Sox in MLB playoffs: David Price cheered at Yankee Stadium during pregame introductions
