source,title
chron.com,Randalls to close three Houston-area stores -- UPDATE
chron.com,"Whitey Bulger killed in prison, sources say"
chron.com,The Latest: Pence discusses changing birthright citizenship
chron.com,Younger Harris County Voters Turn Out To Polls In Force
chron.com,TxDOT reminds drivers about an important feature available on all vehicles
chron.com,PHOTO: Portland pooch ‘trick-or-treats’ at town hall
chron.com,The Latest: 2nd caravan reaches city in far-southern Mexico
chron.com,AP PHOTOS: Explorers tour old mines amid effort to seal them
chron.com,"West's old mines hold danger for some, adventure for others"
chron.com,Texans trade for Broncos WR Demaryius Thomas
chron.com,"White man dismisses connection between fire, racial graffiti"
chron.com,Former Trump strategist Bannon to appear for Rep. Brat in polarized Virginia district
chron.com,"Chesapeake Energy to buy Houston-based WildHorse, nearly $4B"
chron.com,Former grocery store worker admits role in food stamp scheme
chron.com,Indiana is the epicenter in the campaign battle over Trump's trade policies
chron.com,Florida invests $3.5M to finish Everglades highway project
chron.com,"After book flap, Case Keenum says he has no hard feelings toward Bill O'Brien"
chron.com,"James ""Whitey"" Bulger, Boston gangster who was once one of America's most wanted fugitives, found dead in prison at 89."
chron.com,"1 Canadian returned, 1 remains in US after border incident"
chron.com,"Fiery Iowa derailment caused by broken rail, poor repairs"
chron.com,Report: St. Louis has third-highest vacant house share in US
chron.com,Suspended Seahawks LB Mychal Kendricks banned 8 games for insider trading
chron.com,"Amid global uproar, some US colleges rethink Saudi ties"
chron.com,North Carolina amendments could cement GOP agenda in place
chron.com,VIP view: Rockets players team up with Children's Memorial Hermann MVPs at Toyota Center
chron.com,Missouri GOP watching suburban districts in election
chron.com,Man called 'mastermind' of prison riot severed from trial
chron.com,African leaders meet in Germany at development summit
chron.com,Pakistan set to rule on woman facing death for blasphemy
chron.com,"Pasadena mother of 5 passes bar exam, says viral photos have been a ""game changer"""
chron.com,Northeast School portables closed due to mold
chron.com,Nonprofit behind planned Houston facility for migrant kids seeks contract extension
chron.com,B.B. Lemon set to open Nov. 8
chron.com,"Power plant operator sues for pension, cleanup costs"
