source,title
cnbc.com,Southern California suffers its worst housing slump in over a decade
cnbc.com,Dow futures point to triple-digit gains as earnings take center stage; US-China trade worries linger
cnbc.com,Cryptocurrency start-up Coinbase valued at $8 billion despite bitcoin's plunge
cnbc.com,Apple's new MacBook Air blows the regular MacBook out of the water on price and power
cnbc.com,Cramer says it almost seems like Fed Chair Powell by his actions wants 'Trump to lose'
cnbc.com,Special counsel Robert Mueller accuses opponents of offering women money to make 'false claims' about him
cnbc.com,Elon Musk buys $10 million in Tesla shares and plans to purchase $20 million more next week
cnbc.com,JP Morgan's Kolanovic calls for 'rolling squeeze' that will lift the market higher
cnbc.com,Iran is still selling a lot of oil just days before Trump's sanctions deadline
cnbc.com,GE plunges 10% to below $10 a share after analysts say dividend cut to a penny may not be enough
cnbc.com,Apple says the iPad is outselling every laptop on the market
cnbc.com,"Trump says he expects a 'great deal' with China, but warned more tariffs are coming if he doesn't get it"
cnbc.com,Apple's new iPads just took a major leap forward
cnbc.com,"Stocks making the biggest move premarket: KO, GE, PFE, TPR, UAA & more"
cnbc.com,Watch Steve Jobs explain the iPhone in 2007 CNBC interview
cnbc.com,These charts show how future control of Congress could be decided by this year's statehouse elections
cnbc.com,Market bull Rich Bernstein is 'very shocked' investors are worrying about peak earnings
cnbc.com,Trump's attack on birthright citizenship is his latest attempt to rile up the GOP base
cnbc.com,China's tariff on US natural gas delays Louisiana LNG project
cnbc.com,This headband reads your brain waves to help you meditate — here's what happened when we tried it out
cnbc.com,Pharma's support of Trump's drug pricing plan is fraying heading into midterms
cnbc.com,Apple announces new iPad Pro and Mac computers at its Brooklyn launch event
cnbc.com,Trump's attack on birthright citizenship will likely hit a constitutional dead end
cnbc.com,Coca-Cola CEO: We're making Diet Coke cool again and here's how we're doing it
cnbc.com,"Rising national debt to affect voters' midterm election decisions, poll says"
cnbc.com,Amazon is having its third straight day of losses
cnbc.com,Home price gains fall below 6% for the first time in a year: August S&P Case-Shiller index
cnbc.com,Democrat Sinema leads Republican McSally in fight for key Senate seat in Arizona: NBC News/Marist poll
cnbc.com,Under Armour shares surge on earnings beat driven by strong international sales
cnbc.com,"PayPal rival Adyen expands to Canada and picks up new customers including Adidas, Dollar Shave Club"
cnbc.com,In debt trying to keep up with the Kardashians
cnbc.com,"Trump wants to sign an order to end birthright citizenship, setting up a constitutional battle"
cnbc.com,"Pfizer posts mixed third-quarter results, narrows full-year forecast, shares drop"
cnbc.com,"General Electric slashes quarterly dividend to a penny a share, starting 2019"
cnbc.com,Hospital behemoth HCA sees shares jump after strong earnings and forward guidance
cnbc.com,Robo advisor software maker SigFig releases product to make human advisors more efficient
cnbc.com,The world's first humanless warehouse is run only by robots and is a model for the future
cnbc.com,GE shares fall as SEC and DOJ expand investigations of accounting practices
cnbc.com,"Amid Fed-bashing, Jerome Powell aims for a more traditional monetary policy"
cnbc.com,Cramer: The only thing that can save the market is Powell changing course or Trump stopping tariffs
cnbc.com,Why Walmart and other F500 companies are using virtual reality to train the next generation of American workers
cnbc.com,"Boeing's 737 MAX 8 planes will not be grounded after jet crash, Indonesian government says"
cnbc.com,These are the 10 best universities in the world
cnbc.com,Robert Redford's $7.5 million Napa Valley retreat is for sale — take a look inside
cnbc.com,Akamai soars as much as 11% in premarket trading after earnings beat
cnbc.com,Elon Musk says he deleted his Tesla titles 'to see what would happen'
cnbc.com,"Google, Accel and Jay Z invest in life insurance start-up Ethos, valuing it at more than $100 million"
cnbc.com,How Kevin Hart went from sleeping in the hallway of a one-bedroom apartment to making millions
cnbc.com,Consumer confidence rises to an 18-year high in October
cnbc.com,Disney bought Lucasfilm six years ago today and has already recouped its $4 billion investment
cnbc.com,Defense firms see only hundreds of new US jobs from Saudi mega deal
cnbc.com,James Patterson on his new Facebook Messenger digital book: 'You've never seen anything like it'
cnbc.com,"Suzy Welch: What to say when a job interviewer asks, 'Who's your role model?'"
cnbc.com,"Whitey Bulger, Boston gangster, found dead in prison at 89"
cnbc.com,"US Treasury yields move higher as investors await economic data, auctions"
cnbc.com,Coca-Cola's diet soda sales drive stronger-than-expected earnings
cnbc.com,"Audi CEO to be released, over 4 months after arrest"
cnbc.com,"Oil prices fall on rising supply, trade tensions"
cnbc.com,"Stephen Hawking's personal items are up for auction (including a $189,000 thesis) — take a look"
cnbc.com,Iberdrola inaugurates $1.59 billion offshore wind farm in Baltic Sea
cnbc.com,Retired Gen. Stanley McChrystal's advice to leaders: Be more humble
cnbc.com,'I'm going to die:' Survivors relive horrors at Tree of Life
cnbc.com,Danish leader hits back at White House claims on living standards
cnbc.com,"Trump: 'If you want your stocks to go down, I strongly suggest voting Democrat'"
cnbc.com,Short-seller Andrew Left to seek investor money for his first hedge fund
cnbc.com,"The quality of Chinese audits are not a source of worry, EY CEO says"
cnbc.com,Volatile stocks set to rise | GE cuts dividend | Trump looks to end birthright citizenship
cnbc.com,Merkel's leaving so prepare for a power vacuum
cnbc.com,Spy agency chief addresses ban on Chinese telecoms in Australia's 5G rollout
cnbc.com,Uber heads to court to appeal UK workers' rights ruling
cnbc.com,Oil and arms are Saudi Arabia's saving graces amid the fallout from Khashoggi's death
cnbc.com,Mastercard profit jumps 33 percent
cnbc.com,Gold dips to near 2-wk low as trade war jitters boost dollar
cnbc.com,Sony forecasts a big jump to record annual profit on winning gaming strategy
cnbc.com,Tapestry tops sales estimates as Coach handbags draw shoppers
cnbc.com,UPDATE 3-Embraer posts $21 mln loss as it nears deal with Boeing
cnbc.com,UPDATE 3-Coke profits get health kick in third quarter
cnbc.com,UPDATE 3-Under Armour shares surge on rosy outlook as turnaround takes hold
cnbc.com,UPDATE 2-Cognizant sees weak fourth quarter as financial services growth drags
cnbc.com,"UPDATE 4-Lufthansa profit drops on Air Berlin integration, strikes"
cnbc.com,"UPDATE 2-Botox sales power Allergan's profit beat, forecast raise"
cnbc.com,"UPDATE 1-Under Armour results beat quarterly estimates, lifts profit outlook"
cnbc.com,UPDATE 2-Investment banking weakness clouds BNP Paribas' results
cnbc.com,UPDATE 1-Aluminum products maker Arconic's profit beats on strong aero parts demand
cnbc.com,"UPDATE 2-BBVA profit jumps on Mexican lending, one-offs"
cnbc.com,Under Armour quarterly revenue beats estimates on overseas growth
cnbc.com,UPDATE 2-VW operating profit drops as anti-pollution rules bite
cnbc.com,Mastercard profit jumps 33 pct
cnbc.com,What to say when you win a promotion over an older colleague
cnbc.com,Total gives itself 15 years to make its products 15 percent less carbon intensive
cnbc.com,Here's how much more money the richest US households have than everyone else
cnbc.com,Turkey asks to search the Saudi consulate for journalist Jamal Khashoggi
cnbc.com,SpaceX Falcon 9 rocket carrying an Argentinian satellite lands back at launch site
cnbc.com,This is how much a $1.7 million Bugatti hypercar's oil change costs — it's as much as another car
cnbc.com,"Grads at this college earn the most—and it's not MIT, Harvard or Stanford"
cnbc.com,US is seen likely to win in effort to shut down the WTO's appeals court
cnbc.com,Kavanaugh vows 'last-minute character assassination' will not force him to withdraw
cnbc.com,Train station in German city of Cologne closed after hostage-taking
cnbc.com,China says it's not afraid of a trade war with the US — its actions show otherwise
cnbc.com,US judge asks Tesla's Musk and SEC to justify fraud settlement as 'fair and reasonable'
