source,title
consumerist.com,Suing Big Companies In Small Claims Court Is Fun And Easy
consumerist.com,"eBay Will Send Your Full Name, Location, And Phone Number To Any Auction Bidder Who Asks"
consumerist.com,4 Things To Know About Idaho’s Non-Compete Law & The State’s Growing Tech Industry
consumerist.com,No More Free Parking At 8 Las Vegas Casinos
consumerist.com,App Called RoboKiller Takes Top Prize In FTC’s Anti-Robocall Contest
consumerist.com,"No, Target Is Not Giving You A 50% Off Everything Coupon For Liking A Page On Facebook"
consumerist.com,GameStop Launching Video Game Rental Program With Unlimited Access To Pre-Owned Titles
consumerist.com,"Subway, Burger King, Taco Bell, 17 Others Earn “F” Grades For Antibiotics Policies"
consumerist.com,"U.S. Postal Service Promises Express Mail Money-Back Guarantee, Won’t Give It To Me"
consumerist.com,Starkist Class Action Settlement Means Customers Get $25 In Cash Or $50 In Tuna
consumerist.com,Target App Now Tells You If Items Are Available In-Store And Where To Find Them
consumerist.com,"LearningRx To Pay $200K For Allegedly Unproven Claims That Brain Training Can Improve Income, Treat Autism & ADHD"
consumerist.com,Company That Sold Fake Payday Loan Debts To Collectors Must Pay $4.1M
consumerist.com,Speak Freely America: New Federal Law Outlaws Gag Clauses That Punish You For Negative Reviews
consumerist.com,Apple Promises To Fix Weird Crackling Noise On iPhone 8 And 8 Plus
consumerist.com,How Did A Coke Only Cost A Nickel For 70 Years? Because Coca-Cola Said So
consumerist.com,Florida Implements Law Protecting Consumers From Surprise Medical Bills
consumerist.com,Here Are Your Contestants For The 2013 Worst Company In America Tournament!
consumerist.com,Jury Orders Domino’s To Pay $32M In Lawsuit Over Deadly Crash Involving Delivery Driver
consumerist.com,Straight Talk’s Unlimited Data: Actually Sort Of Limited
consumerist.com,The Best Bits From John Oliver’s Takedown Of The Equifax Scandal
consumerist.com,Lumber Liquidators To Pay $36M To Settle Formaldehyde-Filled Flooring Suit
consumerist.com,Student Loan Debt Relief Operations Allegedly Bilked $95M From Borrowers
consumerist.com,"If You Haven’t Seen Your Doctor In A Few Years, Expect To Pay ‘New Patient’ Fee"
consumerist.com,"If You’re Flying To The U.S. This Week, Be Prepared For Delays, New Security Measures"
consumerist.com,State Farm Will Believe You Hit A Deer When You Serve Them Venison Steaks
consumerist.com,California Accuses Retailer Of Using Bait-And-Switch Tactics To Lure In Customers
consumerist.com,Operators Of Phony Rental Credit Check Scheme Must Pay $762K To Feds
consumerist.com,Walmart Is Selling Its Own “Craft” Beer — Not That You’d Know It
consumerist.com,"Major Student Loan Company Accused Of Overcharging, Delaying Forgiveness For Some Borrowers"
consumerist.com,"Credit Bureaus Must Pay $6M, Fix Errors More Quickly Under 31-State Agreement"
consumerist.com,"Facebook's New Terms Of Service: ""We Can Do Anything We Want With Your Content. Forever."""
consumerist.com,Reporting A Stolen iPhone To Cops Is Smart If You Didn’t Just Steal It From Someone Else
consumerist.com,"Yes, There Are Still Blockbuster Video Stores, Just Fewer Of Them After This Weekend"
consumerist.com,It’s Completely Legal To Spoof Phone Numbers
consumerist.com,Sears Can't Get Its Story Straight Regarding Rust And Craftsman Tools
consumerist.com,Here Is A Downloadable Template For Opting Out Of PayPal Arbitration Clause
consumerist.com,"Ulta Has Secret Limits On Clearance Items, Won’t Sell Me 27 Hair Straighteners"
consumerist.com,Pretty Much Every Sears And Kmart Store Is For Rent Right Now
consumerist.com,“Baby Arm Johnson” And Two Others Plead Guilty To Parts In $12M Retail Theft Ring
consumerist.com,Here Is The List Of Aerosoles Stores Closing Because Of Bankruptcy
consumerist.com,Etsy Features Seller Who May Be Blatantly Violating Etsy Policy
consumerist.com,Science Confirms In-N-Out Burger Is The Best And McDonald's The Worst
