source,title
entertainment.ie,Jennifer Zamparelli announced as the new co-host of 'Dancing With The Stars'
entertainment.ie,11 movies to catch at the Cork Film Festival
entertainment.ie,Here's what the child stars of horror movies look like now
entertainment.ie,"Yes, 50 Cent really did buy 200 front-row tickets to Ja Rule's show just so they'd be empty"
entertainment.ie,17 Topical Irish Halloween Costumes for 2018
entertainment.ie,"Attention 'Sabrina' writers and Netflix, you mispronounced Samhain"
entertainment.ie,Jimmy Kimmel and Matt Damon's took to their long-term feud to the World Series
entertainment.ie,'Bake Off''s Terry wrote the loveliest letter to the team and viewers
entertainment.ie,Review: 'Chilling Adventures of Sabrina' - a worthwhile reboot that leaves its own stamp
entertainment.ie,The final televised presidential debate gave us the best tweets
entertainment.ie,Your events guide for one hell of a Halloween Bank Holiday weekend
entertainment.ie,Here are some of the famous faces you will see in 'Gogglebox's Celebrity Special' for Stand Up To Cancer
entertainment.ie,Amy Schumer announces pregnancy with a very Amy Schumer Instagram post
entertainment.ie,Pierce Brosnan and the 'Mrs Doubtfire' kids reunited 25 years on
entertainment.ie,New 'Super Smash Bros Ultimate' roster rumour has Nintendo fans in a frenzy
entertainment.ie,Rami Malek talks living up to the legendary Freddie Mercury and working with Irish co-stars
entertainment.ie,Pipe bomb mailed to Robert De Niro
entertainment.ie,First look at Sandra Bullock and John Malkovich in Netflix's thriller 'Bird Box'
entertainment.ie,"'Avatar' sequels have done away with the Papyrus font, so we can all rest easy now"
entertainment.ie,More details emerge about the mysterious 'Deadpool 2' re-release
entertainment.ie,David Schwimmer's Twitter response to the police in Blackpool is feckin' gas
entertainment.ie,Seann Walsh was 'furious' after being booted out of Strictly
entertainment.ie,'It' director set for US remake of 'Attack on Titan'
entertainment.ie,Bon Jovi announce Irish concert date for 2019 with Manic Street Preachers supporting
entertainment.ie,An animated musical about Wyclef Jean is coming to Netflix
entertainment.ie,Bohemian Rhapsody
entertainment.ie,Funny Girl
entertainment.ie,Liam Neeson and son Micheál Richardson team up for comedy 'Made in Italy'
entertainment.ie,'Call Me By Your Name' director is turning Bob Dylan's 'Blood On The Tracks' into a movie
entertainment.ie,'Shazam!'s Zachary Levi says he was glad to be killed off in 'Thor Ragnarok'
entertainment.ie,An Evening with Beverly Luff Linn
entertainment.ie,Goosebumps 2
entertainment.ie,The Lonely Battle of Thomas Reid
entertainment.ie,Taylor Schilling’s new movie ‘The Prodigy’ had to be re-edited as it was too scary
entertainment.ie,The 10 Greatest Horrors of the '80s
entertainment.ie,The Great British Bake Off: The Final
entertainment.ie,An unexpected Doctor Strange character will be returning in ‘Avengers 4'
entertainment.ie,A Bond regular is unsure if he’ll return after Danny Boyle’s exit
entertainment.ie,First trailer for 'Cold Pursuit' sees Liam Neeson murdering drug dealers with a snow plough
entertainment.ie,The new trailer for season 9 of ‘The Walking Dead’ features Rick Grimes’ epic exit
entertainment.ie,Jet Li has revealed why he left 'The Matrix Reloaded' during production
entertainment.ie,The Big Lebowski
entertainment.ie,The Playstation Classic lineup is just a little disappointing
entertainment.ie,Anita Rani to host 'Blue Planet II - Live in Concert' at the 3Arena
entertainment.ie,"Elon Musk asked the internet for their ""dankest memes"" and oh boy, did they provide"
entertainment.ie,Why are there so many Irish people in 'Red Dead Redemption 2'?
entertainment.ie,Monty Python legend Eric Idle joins Ryan on 'The Late Late Show' this week
entertainment.ie,Tributes are pouring in for music promoter John Reynolds
entertainment.ie,Kevin Kennedy aka Curly Watts chats to us about his time on Corrie and his band with Johnny Marr
entertainment.ie,Netflix announce 3 new Christmas movies on the way this year
entertainment.ie,Here's all the winners from last night's Inside Soap Awards
entertainment.ie,Benedict Cumberbatch's 'The Current War' among Weinstein projects to get a release
entertainment.ie,Enjoy the pure delight of watching Piers Morgan get hit in the face with a pie again and again
entertainment.ie,'Dark Phoenix' could be first Fox movie released by Disney
entertainment.ie,'Willy Wonka And The Chocolate Factory' star Diana Sowle has passed away
entertainment.ie,Sean Bean is the first Elusive Target for 'Hitman 2'
entertainment.ie,Drake's birthday party was full of 2000's themed nostalgia
entertainment.ie,'Call the Midwife''s Emerald Fennell set to play Camilla Parker Bowles in 'The Crown'
entertainment.ie,"Review: 'Riverdale' season 3 episode 3 ‘As Above, So Below’"
entertainment.ie,Jeff Bridges shares a 20th anniversary reunion picture of 'The Big Lebowski' cast
entertainment.ie,Jamie Lee Curtis is delighted with how well 'Halloween' performed on its opening weekend
entertainment.ie,"'Edge Of Seventeen' director to adapt 'Are You There God? It's Me, Margaret'"
entertainment.ie,Here's a list of every show Netflix has cancelled or finished so far
entertainment.ie,Apu is being written out of 'The Simpsons'
entertainment.ie,The music video for 'I'll Never Love Again' spoils the ending of 'A Star Is Born'
entertainment.ie,Jimmy Kimmel interviewed the 'Emmys proposal couple' on his show last night
entertainment.ie,It's official - 'Orange Is The New Black' will end next season
entertainment.ie,Netflix renews 'Disenchantment' for 3 more seasons
entertainment.ie,Shayne Ward has got a new look which people are loving
entertainment.ie,'Guardians of the Galaxy Vol. 3' working titled revealed
entertainment.ie,The first trailer for Will Ferrell and John C. Reilly's 'Holmes & Watson' is here
entertainment.ie,Don't miss your chance to win tickets to Metallica at Slane Castle
entertainment.ie,Over 80 million Netflix users watched their original rom-coms this summer
entertainment.ie,"In case you didn't already know, young Netflix stars are massive social influencers"
entertainment.ie,Stephen King shares his thoughts on 'The Haunting of Hill House'
entertainment.ie,Metallica officially announced to play Slane 2019
entertainment.ie,"Joe Cornish's 'Attack The Block' follow-up, 'The Kid Who Would Be King', gets a trailer"
entertainment.ie,First official trailer drops for 'Narcos: Mexico'
entertainment.ie,James Mangold's 'Boba Fett' standalone movie has been cancelled
entertainment.ie,Inside No. 9 Live
entertainment.ie,Can you name all 13 horror movies from a single image?
entertainment.ie,Applications for 'The Late Late Toy Show' tickets are now open
entertainment.ie,Chrissy Teigen getting scared s**tless in a haunted house is all you need to see today
entertainment.ie,The Little Drummer Girl
entertainment.ie,Emma Stone patiently explains rickrolling on 'Graham Norton' with Rick Astley
entertainment.ie,Batman v Superman: Dawn of Justice
entertainment.ie,'Birds of Prey' movie shaping up nicely with a new cast member added
entertainment.ie,Idris Elba joins 'Cats' movie adaptation as Macavity
entertainment.ie,The first reviews and gameplay videos for 'Red Dead Redemption 2' are making their way online
entertainment.ie,Robert Durst of 'The Jinx' will stand trial for the murder of Susan Berman
entertainment.ie,Here's who's on 'The Late Late Show' tonight
entertainment.ie,"Holy crap, John Carpenter could be working on a sequel to 'They Live'"
entertainment.ie,Black Hollywood: 'They've Gotta Have Us'
entertainment.ie,28 Halloween movies for if you're a wuss
entertainment.ie,Tilda Swinton made an operatic music video with her dogs
entertainment.ie,This farm is making adorable Halloween costumes for puppies
entertainment.ie,Throw one hell of a Halloween party with these spooky TV theme tunes
entertainment.ie,These Halloween skeletons are actual decoration goals
entertainment.ie,Six movies to catch at IFI Horrorthon
entertainment.ie,First Dates: Celebrity Special for Stand Up to Cancer
