source,title
forexlive.com,EU: Italy's planned fiscal expansion is incompatible with a debt cut
forexlive.com,WTI crude falls to the lowest since August in another 2% decline
forexlive.com,What are China's FX options?
forexlive.com,Italy's government suffers budget setback as economic growth grinds to a stall
forexlive.com,Cable nears the August bottom in fall to a fresh session low
forexlive.com,OPEC and non-OPEC partners mulling a cut?
forexlive.com,UK PM May: We are not preparing for a general election
forexlive.com,UK's Hammond: Hopes that budget isn't a preparation for a general election next year
forexlive.com,China Press: Yuan unlikely to weaken to beyond 7.0000
forexlive.com,Japan September unemployment rate 2.3% versus 2.4% expected
forexlive.com,Australia building approvals for September 3.3% versus 3.8% expected
forexlive.com,Nikkei: Japan MOF mulls tackling tax avoidance in crypto trading
forexlive.com,China's big banks were seen buying up US dollars today
forexlive.com,GBPUSD scrapes across support. Can it stay above?
forexlive.com,Forexlive Asia-Pacific FX news wrap: Pres. Trump looks to save the day/stocks. Great deal with China ahead.
forexlive.com,EUR/USD threatens further downside after Eurozone growth misses estimates
forexlive.com,Dallas Fed services sector outlook 14.1 vs 25.6 prior
forexlive.com,Video recap: It won't be long before that soft US dollar policy theme returns
forexlive.com,Japan's Abe: Charting a course to exit deflation over these three years
forexlive.com,US October consumer confidence 137.9 vs 135.9 expected
forexlive.com,AUD/USD climbs to eight-day high
forexlive.com,Germany Oct prelim CPI +2.5% y/y vs +2.4% expected
forexlive.com,US stocks set for slight dip at the open
forexlive.com,Trump sets up battle with Supreme Court over birthright citizenship
forexlive.com,Spain October preliminary CPI +0.9% vs +0.9% m/m expected
forexlive.com,Brandenburg October CPI +0.1% vs +0.3% m/m prior
forexlive.com,Bavaria October CPI +0.2% vs +0.5% m/m prior
forexlive.com,Switzerland October KOF leading indicator index 100.1 vs 101.0 expected
forexlive.com,Eurozone October final consumer confidence -2.7 vs -2.7 prelim
forexlive.com,Hesse October CPI +0.1% vs +0.5% m/m prior
forexlive.com,USD/JPY eyes the 113.00 handle ahead of US trading
forexlive.com,Housing and consumer confidence are on the US agenda
forexlive.com,Italian bonds surrender gains as Q3 economic growth flat lines
forexlive.com,Italy's Conte reiterates that government won't change budget deficit target
forexlive.com,ForexLive European morning FX news wrap: Eurozone economic growth slumps to four-year low
forexlive.com,Yen pairs unphased even as US equity futures turn flat
forexlive.com,Saxony October CPI +0.2% vs +0.4% m/m prior
forexlive.com,UK CBI October retailing reported sales 5 vs 20 expected
forexlive.com,Baden Wuerttemberg October CPI +0.1% vs +0.6% m/m prior
forexlive.com,NZDUSD tests 200 hour MA.
forexlive.com,EURUSD continues to have trouble getting above the 100 hour MA
forexlive.com,Asian equities push higher ahead of European trading
forexlive.com,EUR/GBP rises to near one-month high as the pound slips
forexlive.com,Italy's Siri: Government not planning to alter deficit goal at the moment
forexlive.com,Optimism in the gold rebound is starting to fade
forexlive.com,Shanghai and CSI300 reverse earlier losses
forexlive.com,Gold is finding a safe haven bid. Up 0.90% and trades at highest level since July
forexlive.com,France September consumer spending -1.7% vs -0.4% m/m expected
forexlive.com,European equities open mildly higher to start the day
forexlive.com,USD/JPY marches to session high as risk extends bounce
forexlive.com,AUDJPY ticks off MA breaks on risk-on trades
forexlive.com,AUD/USD bounce so far today still isn't convincing
forexlive.com,"Nikkei 225 closes higher by 1.45% at 21,457.29"
forexlive.com,UK budget and impact on Brexit
forexlive.com,The AUD is the strongest and the CHF is the weakest as NA traders enter
forexlive.com,USDJPY cracking higher as the ups and downs continue
forexlive.com,GBPUSD breaks below lower trend line
forexlive.com,US reportedly refusing to resume trade talks without firm proposal from China
forexlive.com,USDCAD trades to new session highs. Breaks above 100 day MA today.
forexlive.com,EURGBP tests a key cluster of resistance
forexlive.com,US pending home sales for September 0.5% versus 0.0% expected
forexlive.com,The ECB doesn't need to rock the boat...yet
forexlive.com,CBRT holds one-week repo rate steady at 24.00%
forexlive.com,China says it always has sincerity for trade talk with US
forexlive.com,Ifo economist says difficult to achieve German growth forecast of 0.6% in Q4
forexlive.com,European shares ride the wave from the US equities move higher
forexlive.com,US September advance goods trade balance -$76.0 billion vs -$75.1 billion expected
forexlive.com,Goldman Sachs raises third-quarter GDP estimate to 3.6% from 3.5%
forexlive.com,CAD in focus after Governor Poloz signals quicker rate hike progression
forexlive.com,US initial jobless claims 215K versus 215K estimate
forexlive.com,"GBP/USD recovers above 1.29 to session highs, but bears are still in near-term control"
forexlive.com,German Dax erases gains. EURUSD can't get above the 1.14315 level.
forexlive.com,Japanese yen falls to session low as risk sentiment recovers on the day
forexlive.com,US stocks open with gains but only part of the decline from yesterday is erased
forexlive.com,More from Raab: Will not accept separate customs arrangement proposal
forexlive.com,US September preliminary durable goods orders +0.8% vs -1.5% expected
forexlive.com,"ForexLive European FX news wrap: Euro steady ahead of ECB, Draghi; risk recovers for now"
forexlive.com,EUR/USD rises to session high as dollar slips a little
forexlive.com,GBPUSD tumbles. Falls to new session lows.
forexlive.com,Ireland's Coveney: Sterling will drop in no-deal Brexit outcome
forexlive.com,Asian equities see no reprieve in the closing stages
forexlive.com,European equities stumble at the opening bell
forexlive.com,A busy calendar to start off the US day with Durables and Draghi presser highlighting
forexlive.com,"GBPUSD moves to lowest level since early September, but bounces. Tired?"
forexlive.com,Risk recovery shows no signs of abating for now
forexlive.com,Italy's Di Maio: Confident that Italy-Germany bond yields spread will fall over the next few weeks
forexlive.com,The economic calendar today's highlighted by the Bank of Canada rate decision
forexlive.com,"AUD/USD climbs, tests 100-hour moving average as risk sentiment recovers"
forexlive.com,European equities open with mild positive tones
forexlive.com,ECB Draghi prepared text: Anticipates adding asset purchases in December
forexlive.com,WTI crude oil futures settle at $66.43
forexlive.com,Q&A from Draghi presser: ECB has no reason to doubt confidence in inflation
forexlive.com,"Nikkei 225 closes lower by 3.72% at 21,268.73"
forexlive.com,EURUSD moves to session new highs
forexlive.com,Germany October Ifo business climate index 102.8 vs 103.2 expected
forexlive.com,Nasdaq ticks into positive territory. Bounces 2.8% from the low to the high.
forexlive.com,US stocks end the session with mixed results
forexlive.com,AUD/USD: Sellers looking towards 0.70 once again
forexlive.com,AUD/USD sags toward the October lows
forexlive.com,Japanese Candlesticks: Trading Strategies
