source,title
fox4kc.com,Police trying to ID 3 men they want to speak to about shots fired at Oak Park Mall
fox4kc.com,"Shots fired at Oak Park Mall stemmed from ‘altercation’ outside food court, police say"
fox4kc.com,Kansas City nonprofit’s ‘stolen colon’ found in vacant home after tip to police
fox4kc.com,Tenants fed up with frequent elevator woes at KCK high-rise apartment
fox4kc.com,"5 easy, pun Halloween costumes you can make at the last minute"
fox4kc.com,3 faiths surround Independence land where many believe Second Coming will occur
fox4kc.com,Kansas City police investigating life-threatening shooting near 27th and Agnes
fox4kc.com,Clay County leaders slash 2 employees’ salaries one week after big raise for 3 others
fox4kc.com,"KC police seeking ‘Ninja Burglar’ responsible for multiple thefts, including two Monday"
fox4kc.com,Kansas National Guard heading to southern border
fox4kc.com,2 more local business help Sugar Creek woman who lost $30k to shady contractor
fox4kc.com,Pittsburgh synagogue shooting brings chilling memories for families of Overland Park shootings
fox4kc.com,More than $1.3 million in lottery prizes unclaimed in October in Kansas
fox4kc.com,"FOX4, Kansas City Star, KCPT sponsor Kansas 3rd District debate between Yoder, Davids"
fox4kc.com,Man charged with burglarizing home of missing Wisconsin girl where parents were killed
fox4kc.com,Dog with terminal cancer becomes honorary K-9 for a day
fox4kc.com,A Royal wedding: Catcher Salvador Perez shares photos of big day
fox4kc.com,Family hopes someone will come forward in hit and run crash that killed KC mom
fox4kc.com,2 people shot at Kansas City bus stop at 31st and Jackson
fox4kc.com,"Student dies after shooting at North Carolina high school, police say"
fox4kc.com,Kansas leaders join growing number of states working to go after sex-buyers
fox4kc.com,Chiefs complete season sweep of Broncos with 30-23 victory
fox4kc.com,"Police warn shoppers to keep an eye on wallets, purses after seeing more thefts"
fox4kc.com,"Father shoots, kills gunman who opened fire at Alabama McDonald’s"
fox4kc.com,Couple finds hidden camera while on cruise
fox4kc.com,"Pentagon sending 5,200 troops to border"
fox4kc.com,Best Buy expands its toy section in a fight for Toys ‘R’ Us’ customers
fox4kc.com,6-year-old Mahomes mini-me turning heads with adorable Halloween costume
fox4kc.com,Metro family aims to give slain daughter new life through domestic violence awareness
fox4kc.com,Retired St. Louis police sergeant fatally shot
fox4kc.com,Suspicious package headed to CNN’s Atlanta headquarters intercepted
fox4kc.com,Local woman investing her time in younger generation receives FOX4’s Pay-It-Forward Award
fox4kc.com,Sources say Browns fire HC Hue Jackson and OC Todd Haley in third losing season
fox4kc.com,Enough is enough: Fed-up Americans crave unity amid violence
fox4kc.com,10-man Sporting KC beats LAFC for Western Conference title
fox4kc.com,Logano edges Hamlin to win stage at Martinsville
fox4kc.com,US government: Mercedes owners got recall notices too late
fox4kc.com,Missouri officer dies after falling off on-ramp to Poplar Street Bridge during struggle with 2 suspects
fox4kc.com,"1 dead, 3 injured in crash at 45th and Paseo overnight"
fox4kc.com,Midwest Center for Holocaust Education steps up security after tragic Pittsburgh synagogue shooting
fox4kc.com,Top political reporters discuss Kansas in the midterms among other national topics
fox4kc.com,Officer dies after falling off on-ramp to Poplar Street Bridge during struggle with 2 suspects
fox4kc.com,Listerine challenge has some parents concerned
fox4kc.com,Thai owner of Leicester soccer team died in helicopter crash
fox4kc.com,Muslim groups raise money for Pittsburgh synagogue shooting victims
fox4kc.com,Make sure you check your kitchen for these recalled foods
fox4kc.com,"Iowa, New York home to winning $688M Powerball tickets"
fox4kc.com,Shoppers may face hard choices again on health marketplaces
fox4kc.com,Brooklyn artists create chilling Halloween experience
fox4kc.com,Celebrate Halloween with candy invented in Missouri
fox4kc.com,38-year-old woman dead after losing control of vehicle and crashing into tree in Independence
