source,title
gothamist.com,"Trump Received 'Secret' Payments After Endorsing Pyramid Schemes Targeting Poor, Lawsuit Alleges"
gothamist.com,L'pocalypse Soon: L Train Shutdown Start Date REVEALED
gothamist.com,Will Tossing Bollards Everywhere Stop Another Hudson River Greenway Massacre?
gothamist.com,Fake Newsstand In Bryant Park Reveals Shocking Alt-Facts About Deep State Assassinations!
gothamist.com,Self-Pitying Louis C.K. Performed Announced Sets At Comedy Cellar As Protesters Stood Outside
gothamist.com,New Yorkers' True Stories Of Actually Haunting Subway Experiences
gothamist.com,MoMo Chicken Shack Serving Up Decent Fried Bird In Bushwick
gothamist.com,D Train Rider Accused Of Ejaculating On Woman Turns Himself In
gothamist.com,"Following Synagogue Massacre, Brooklyn BP Eric Adams Calls For More Guns In Houses Of Worship"
gothamist.com,Photos: Which Dog Was The Best Dog At The Great PUPkin Halloween Dog Parade?
gothamist.com,Ask A Reporter: What Ever Happened To My Participatory Budgeting Project?
gothamist.com,Ask A Climate Scientist: What's The Point Of Saving For Retirement If The Ice Caps Are Melting?
gothamist.com,Don't Forget To Vote For NYC's Cutest Pet!
gothamist.com,Photos: The NYPD's Spookiest Haunted House Returns To Brooklyn's 78th Precinct
gothamist.com,"Photos: New Venue, Same Very Good Dogs At The Tompkins Square Halloween Parade"
gothamist.com,NYPD: D Train Rider Ejaculated On Female Subway Passenger
gothamist.com,Photos: Giant Baby Trump Balloon Lands In NYC For Impeach Trump Parade
gothamist.com,"The NYPL Is Offering 70,000 Limited Edition Black Cards"
gothamist.com,That Very Rare Duck Is BACK In Central Park & It Still Won't Say Where It Came From
gothamist.com,Must-See Free Public Art Experience-Closing On Halloween!
gothamist.com,Photos: Bike Kill Gleefully Splashes Through A Nor'easter In New Cop-Free Spot
gothamist.com,NYPD Issues Long Overdue Apology To Prospect Park Rape Survivor
gothamist.com,NYU's 'Anti-P.C. Professor' Invites Milo Yiannopoulos To Class To Prove A Point About Publicity Stunts
gothamist.com,Hundreds Of New Yorkers Gather To Say Kaddish For Victims Of Pittsburgh Synagogue Shooting
gothamist.com,Photos: Chickenjoy Fanatics Wait 20 Hours For Manhattan Jollibee Opening
gothamist.com,Hillary Clinton Inspires And Frustrates At 92nd Street Y
gothamist.com,What To Know About Federal Funding For Affordable Housing When You Vote November 6th
gothamist.com,Police Identify Women Found Duct Taped Together In Hudson River
gothamist.com,Lin-Manuel Miranda's Favorite Midtown Book Store To Shutter Due To Rent Hike
gothamist.com,BREAKING: Florida Man Arrested In Connection With Mail Bomb Campaign
gothamist.com,"A First Look At 150 Rivington, The Luxury Condo Replacing The LES Matzo Factory"
gothamist.com,Would A Democratic State Senate Threaten Charter Schools' Favored Status?
gothamist.com,Image On Pipe Bombs Reportedly Featured Right-Wing Meme With ISIS Flag & 'Git 'Er Done' Catchphrase
gothamist.com,UPDATES: NYPD Investigating Suspicious Package In Hell's Kitchen
gothamist.com,Why Is BAM's Exterior Now Pimped Out With Apple Logos?
gothamist.com,What To Know About Paid Family Leave Before Voting November 6th
gothamist.com,Jeff Sessions: Mail Bomb Suspect 'Appears To Be A Partisan'
gothamist.com,What Can NYC Do To Stop Small Businesses From Dying Out?
gothamist.com,Charming New Sandwich Spot In Bed Stuy Slinging Both Po' Boys And Banh Mi
