source,title
hollywoodreporter.com,"Megyn Kelly, NBC Grapple Over Money and NDA in Exit Talks"
hollywoodreporter.com,Cate Blanchett to Play Conservative Activist in FX Women's Rights Drama 'Mrs. America'
hollywoodreporter.com,"Late-Night Hosts Argue Trump Sparks Violence With ""Enemy of the People"" Statement"
hollywoodreporter.com,"Democratic Strategist Says ""No More"" to Fox News, Will More Guests Follow?"
hollywoodreporter.com,Pharrell Williams Sends Trump Legal Threat Letter for Playing 'Happy' After Synagogue Shooting
hollywoodreporter.com,"Majority of Americans Think Cable TV Has Become ""Unaffordable"" (Exclusive Poll)"
hollywoodreporter.com,"Hollywood Reporter TV Critics Debate: 'Romanoffs,' 'Conners' and Other Fall Standouts and Stumbles"
hollywoodreporter.com,"Big Tech, Don't Keep Your Hollywood Talent in the Dark (Guest Column)"
hollywoodreporter.com,"'Jurassic World' Campaign to ""Save the Dinos"" Sparks $10M Lawsuit"
hollywoodreporter.com,How 'Bohemian Rhapsody' Costume Designer Re-created Freddie Mercury's Androgynous Glam
hollywoodreporter.com,Critic's Notebook: 'Frontline' Doc 'The Facebook Dilemma' May Scare You Off Social Media
hollywoodreporter.com,"Lucas Hedges Says 'Boy Erased' Helped Him ""Speak More Openly"" About Sexuality"
hollywoodreporter.com,Louis C.K. Greeted by Protesters at First Official Stand-Up Gig
hollywoodreporter.com,Former Mob Boss Whitey Bulger Found Dead in Prison
hollywoodreporter.com,"Trump Criticizes Media for Handling of Pittsburgh Shooting, Suspicious Packages"
hollywoodreporter.com,"Stephen Colbert Responds to Pittsburgh Shooting: ""Hate Is Not What America Stands for"""
hollywoodreporter.com,Apichatpong Weerasethakul to Receive 2018 FIAF Award (Exclusive)
hollywoodreporter.com,Jennifer Lawrence Launches Production Company Excellent Cadaver
hollywoodreporter.com,"Jodie Foster, Cher, Lily Tomlin Call on Women to Vote in Midterms in Bloomberg-Produced Ad"
hollywoodreporter.com,Anna Kendrick to Star in Sci-Fi Thriller 'Stowaway' (Exclusive)
hollywoodreporter.com,"Michael Pena, Diego Luna to Preview 'Narcos: Mexico' at Lucca Comics & Games Festival"
hollywoodreporter.com,'Love & Hip Hop' Creator Mona Scott-Young Signs Lionsgate Overall Deal
hollywoodreporter.com,Animation Exec Marci Proietto Promoted at 20th TV
hollywoodreporter.com,Sony Pictures Classics Picks Up Kenneth Branagh's 'All Is True'
hollywoodreporter.com,'Star Wars': Why Hopes for a Boba Fett Movie Won't Die
hollywoodreporter.com,"IFC Developing 'Almost Asian,' 4 Other Comedy Projects"
hollywoodreporter.com,'Red Dead Redemption 2' Breaks Records With $725 Million Opening Weekend
hollywoodreporter.com,'Jeopardy' Will Now Stream on Netflix and Hulu
hollywoodreporter.com,"Capri, Hollywood Fest to Honor 'Dogman' as Best European Film of the Year"
hollywoodreporter.com,CBS Global Distribution Head Armando Nunez Promoted in Wake of Leslie Moonves' Exit
hollywoodreporter.com,"Shaun White Apologizes for ""Offensive"" 'Tropic Thunder' Halloween Costume"
hollywoodreporter.com,"Reid Scott Previews ""Satisfying"" Final Season of 'Veep'"
hollywoodreporter.com,Bob Saget and Kelly Rizzo Are Married
hollywoodreporter.com,"Hulu's 'Looking for Alaska' Casts Kristine Froseth, Charlie Plummer as Leads"
hollywoodreporter.com,'Paradise PD' Renewed for Season 2 at Netflix (Exclusive)
hollywoodreporter.com,'Boy Erased' Trailer: Lucas Hedges Grapples With Sexuality
hollywoodreporter.com,Viola Davis to Receive Sherry Lansing Award at Hollywood Reporter Women in Entertainment Event
hollywoodreporter.com,"Jon Bernthal, Evan Peters, Charlie Plummer, Josh Gad Unite for 'Snow Ponies'"
hollywoodreporter.com,Mel Robbins to Host Syndicated Daytime Talk Show
hollywoodreporter.com,'Incredibles 2' to Receive Animation Honors at Hollywood Film Awards
hollywoodreporter.com,Freeform Stars Call on Young People to Vote Via Series of PSAs
hollywoodreporter.com,Trump Wants to End Citizenship for Babies of Non-Citizens
