source,title
hotair.com,ABC: No president has ever been more available to the media than … Donald Trump?
hotair.com,"In campus speech, David Hogg says U.S. is stolen land, justifies illegal immigration"
hotair.com,"Almost half of U.S. births happen outside marriage, signaling cultural shift"
hotair.com,Will the Blue Wave collapse before it reaches the shore?
hotair.com,That time when I totally agreed with the Washington Post on an issue
hotair.com,Pelosi: We’ll use our subpoena power as the new House majority to bargain with Trump
hotair.com,Can Trump be as tough on Saudi Arabia as he was on Canada?
hotair.com,"Kavanaugh was the “slut whore drunk” of the Ford story, Lindsey Graham says"
hotair.com,"Did Jane Mayer, Ronan Farrow, and Michael Avenatti give Trump his biggest victory yet?"
hotair.com,How it feels to be falsely accused
hotair.com,Breaking: D.C. Circuit sent complaints about Kavanaugh’s testimony to Chief Justice Roberts
hotair.com,"Google CEO: Yes, we really are helping China quash dissent and free speech. Why do you ask?"
hotair.com,Unsolicited advice to Judge Kavanaugh: Sue them all
hotair.com,Why I’m leaving the Republican Party
hotair.com,Jordan Peterson: Kavanaugh should step down from the Court to clear his name
hotair.com,Merrick Garland recuses himself from ethics complaints against Kavanaugh
hotair.com,The Kavanaugh situation has opened up a portal into everyone’s memory
hotair.com,"I was a sex-crimes prosecutor. Here’s why “he said, she said” is a myth."
hotair.com,Coons deflates Dem letter: There’s no “bombshell” in Kavanaugh’s other background checks about alcohol abuse or sexual misconduct
hotair.com,This is the race that will tell Democrats if they’re headed for a House majority
hotair.com,"An open letter to Cory Booker about the threats received by my husband, Rand Paul"
hotair.com,"If men don’t want to get Kavanaughed, they should follow the Pence rule"
hotair.com,Ford’s college best friend: She never mentioned an assault until this summer
hotair.com,"Stormy Daniels claims Hillary Clinton called Donald Trump, they talked about “our plan”"
hotair.com,I’ve re-registered as a Democrat
hotair.com,Dem senator seeks court injunction to delay tomorrow’s hearing
hotair.com,I made an appalling and inexcusable mistake last night
hotair.com,Sen. Cassidy offers sharp response to protester demanding he apologize
hotair.com,Breaking: Heitkamp to vote no on Kavanaugh
hotair.com,Maddow to Hillary: Do you support due process for Kavanaugh like after Bill Clinton sexual allegations?
hotair.com,"The Kavanaugh fight: For once, I’m grateful for Trump"
hotair.com,Former Bush official: Why didn’t the FBI interview Ford?
hotair.com,Kavanaugh has exposed the savage amorality of America’s ruling class
hotair.com,John Kerry slams Trump for Iran accusations: “You should be more worried about Paul Manafort”
hotair.com,Breaking: Sasse to vote yes on Kavanaugh
hotair.com,Emotional McConnell: “We owe it to the American people not to be intimidated by these tactics”
hotair.com,What men should know about #MeToo: It’s about them
hotair.com,A lifelong conservative’s lament over the Kavanaugh affair
hotair.com,Most white Americans’ DNA can be identified through genealogy databases
hotair.com,Brett Kavanaugh and the limits of certainty
hotair.com,CNN to Avenatti: Why didn’t Julie Swetnick report what was going on at those rape parties?
hotair.com,"Endgame: Collins to announce her vote in 3 p.m. speech, McConnell “optimistic”; Update: Collins to vote YES; Update: Manchin too"
