source,title
i24news.tv,Denmark accuses Tehran of plotting retaliatory attack on its soil
i24news.tv,Biles leads US to women's team gold
i24news.tv,"Yemen war must stop, French defense minister says"
i24news.tv,Trump offers embassy move as proof that he does not inspire anti-Semitism
i24news.tv,Second class residents: Jerusalem elections highlight city’s East-West divide
i24news.tv,Merkel says planned exit won't hurt her influence abroad
i24news.tv,"Six children, parents killed in car collision near Dead Sea"
i24news.tv,Trump says to sign executive order ending US citizenship by birth
i24news.tv,Israelis vote in local polls on new national holiday meant to boost turnout
i24news.tv,Netanyahu ally seeks Jerusalem mayor seat in Israeli local polls
i24news.tv,Israeli film pulled from Iraqi festival competition
i24news.tv,Turkey says 'plans complete' for assault on Kurdish militia in Syria
i24news.tv,Trump set to visit grieving Pittsburgh Jewish community despite backlash
i24news.tv,"Volkswagen, Mobileye to launch self-driving taxi service in Israel in 2019"
i24news.tv,IDF opens probe into death of Gazan female medic shot while treating wounded
i24news.tv,Israeli ambassador to US blames 'both sides' for Pittsburgh massacre
i24news.tv,Golan Heights Druze to vote in Israel for first time since land seized in 1967
i24news.tv,Thousands of US troops head for southern border
i24news.tv,"Israeli right-wing activists, residents of south block Gaza goods crossing"
i24news.tv,Synagogue suspect appears in US court in wheelchair
i24news.tv,Trump says US planning 'tent cities' for migrants
i24news.tv,Palestinian Central Council announces end to security coordination with Israel
i24news.tv,"Netanyahu congratulates Brazil's Bolsonaro, says Israel 'awaits his visit'"
i24news.tv,Syrian opposition draws up 'road map' for constitution
i24news.tv,Netanyahu contravenes chief Rabbi: Pittsburgh shooting was in a synagogue
i24news.tv,Second Israeli Judoka wins gold in Abu Dhabi
i24news.tv,"Canadian FM embarks on trip to Jordan, Israel, West Bank"
i24news.tv,Trump blames media in Pittsburgh synagogue massacre
i24news.tv,Woman bomber wounds 9 in first Tunisia suicide attack since 2015
i24news.tv,"Netanyahu welcomes efforts of UN, Egypt to restore calm in Gaza"
i24news.tv,Liberman says no quiet on Gaza border without severe blow to Hamas
i24news.tv,Israel’s culture minister delivers ‘message of peace’ at Abu Dhabi mosque visit
i24news.tv,Palestinian shot dead by IDF in weekly Gaza flotilla protests
