source,title
in.reuters.com,"UK, Norway agree right to remain for their citizens after Brexit"
in.reuters.com,"EU opens deeper probe into Thyssenkrupp, Tata steel deal"
in.reuters.com,"Oil prices down more than $1 on rising supply, trade war"
in.reuters.com,Soccer: Former Leicester bosses pay tribute to chairman
in.reuters.com,CDC confirms 10 new cases of rare polio-like neurological condition
in.reuters.com,"Apple spruces up Macs, iPad Pros and raises prices"
in.reuters.com,Mastercard says storing India payments data locally in face of new rules
in.reuters.com,U.S. consumer confidence at 18-year high; house price gains slow
in.reuters.com,Captured carbon dioxide turned into fish feed
in.reuters.com,"Stephen Hawking's thesis, wheelchair heading for auction"
in.reuters.com,Disney tells a different 'Nutcracker' story on the big screen
in.reuters.com,Ocean Shock - Building a Silicon Valley of the Sea
in.reuters.com,Corrected: Germany's deadliest post-war serial killer: nurse admits killing 100 patients
in.reuters.com,"Euro zone growth slows in Q3, Italy at zero"
in.reuters.com,Global Markets: Stocks struggle after trade worries send yuan to 10-year low
in.reuters.com,Special Report - Ocean Shock: Lobster's great migration sets up boom and bust
in.reuters.com,"Typhoon triggers deadly landslides in Philippines, dozens trapped"
in.reuters.com,"General Electric reveals deeper regulatory probe, restructuring"
in.reuters.com,Rohingya returns to Myanmar must not be rushed or premature - UNHCR
in.reuters.com,Democrats gain steam in analyst forecasts for U.S. House races
in.reuters.com,"Oil prices fall more than 1 percent on rising supply, trade war"
in.reuters.com,Warming waters worry Maine's lobstermen
in.reuters.com,Kids' apps may have a lot more ads than you think
in.reuters.com,Special Report - Ocean Shock: Big aquaculture bulldozes Borneo
in.reuters.com,Big aquaculture bulldozes Borneo
in.reuters.com,"Special Report: Ocean Shock - Fish flee for cooler waters, upending lives in U.S. South"
in.reuters.com,Geoffrey Rush would 'look at me' and growl: actor
in.reuters.com,Special Report: Ocean Shock - Portugal mourns sardines' escape to cooler waters
in.reuters.com,Russia's only aircraft carrier damaged after crane falls on it
in.reuters.com,Ocean Shock: Menus for a warming planet
in.reuters.com,Funerals begin for Pittsburgh synagogue victims
in.reuters.com,Details emerge on Indonesia's deadly air disaster
in.reuters.com,Fans sign book of condolence for Leicester City chairman
in.reuters.com,Cognizant sees weak fourth quarter as financial services growth drags
in.reuters.com,BP's profits thunder to 5-year high
in.reuters.com,Motor racing: Ericsson to switch from F1 to IndyCar
in.reuters.com,U.N. rights boss calls for international role in Khashoggi inquiry
in.reuters.com,"EU probes Tata Steel, ThyssenKrupp planned joint venture"
in.reuters.com,African migrants rebuild Casablanca camp destroyed by fire
in.reuters.com,Dogs snatch Halloween limelight as birth rate plummets
in.reuters.com,BP earnings soar ahead of U.S. shale deal
in.reuters.com,U.S. stocks ride higher on trade optimism
in.reuters.com,Coke profits get health kick in third quarter
in.reuters.com,U.N. nuclear chief returns to work after unspecified medical treatment
in.reuters.com,South Sudan rebel leader to return to capital to seal peace deal: spokesman
in.reuters.com,"VW profit slides, but China offers hope"
in.reuters.com,Infant formula growing pains hurt Reckitt Benckiser sales
in.reuters.com,Fiat Chrysler's lowered net cash guidance overshadows special dividend pledge
in.reuters.com,No second referendum on Brexit: PM May
in.reuters.com,"Pastor tells Jeff Sessions to ""repent"""
in.reuters.com,U.N. sets out massive benefits from air pollution action in Asia
in.reuters.com,Fiat Chrysler's net cash guidance cut overshadows special dividend pledge
in.reuters.com,Long-lasting HIV injection is a step closer after second GSK study
in.reuters.com,Libyan state oil firm demands pay increases for oil workers
in.reuters.com,Special Report - Ocean Shock: The climate crisis beneath the waves
in.reuters.com,CORRECTED-Golf-World Golf Foundation defends Hall of Fame's selection policy
in.reuters.com,Trump to push end to birthright citizenship as U.S. elections loom
in.reuters.com,Soccer: Real head to Africa to start Copa del Rey campaign
in.reuters.com,"WestJet Airlines beats on profits, but faces higher cost headwinds"
in.reuters.com,Soccer: Reggae Girlz can show Jamaica is more than just athletics at World Cup
in.reuters.com,Pittsburgh to bury synagogue massacre victims as protesters await Trump
in.reuters.com,Strong truck demand drives Cummins third-quarter profit beat
in.reuters.com,Trump pushes end to birthright citizenship as U.S. elections loom
in.reuters.com,Pittsburgh mourns synagogue massacre victims as protesters await Trump
in.reuters.com,"Apple gives aging Macs, iPad Pros an update in New York"
in.reuters.com,"Trump expects 'great deal' with China, but more tariffs if not"
in.reuters.com,"VW profit slumps, but China offers hope"
in.reuters.com,Lebanese government talks hit snag over Sunni representation
in.reuters.com,Turkish military says kills seven Kurdish militants in northern Iraq
in.reuters.com,Soccer: Stoke's McClean calls for respect over poppy decision
in.reuters.com,Trick-or-treating kids at increased risk of traffic fatality
in.reuters.com,Pittsburgh to bury synagogue shooting victims as Trump faces protest
in.reuters.com,Puma Energy seeks license for retail fuel sales in India
in.reuters.com,Bank of Baroda second-quarter profit jumps a fifth on lower bad loans
in.reuters.com,Tennis: Kasatkina outlasts Wang in Zhuhai opener
in.reuters.com,"Allergan says offers undervalue business units for sale, shares fall"
in.reuters.com,"Ocean Shock - In land of sushi, squid moves out of reach"
in.reuters.com,Coinbase valued at $8 billion in latest fundraising round
in.reuters.com,Nigerian police open fire at Shi'ite Muslim protesters in Abuja
in.reuters.com,Ocean Shock: Fishmeal factories plunder Africa
in.reuters.com,Ocean Shock: Big aquaculture bulldozes Borneo
in.reuters.com,"Nigerian police open fire, shoot tear gas at Shi'ite Muslim protesters in Abuja: witness"
in.reuters.com,Canada's WestJet Airlines beats profit estimates
in.reuters.com,"Pfizer cuts revenue forecast as supply snags, dollar strength weigh"
in.reuters.com,French fashion group Vivarte sells off Chevignon brand
in.reuters.com,Paytm says consumer data safe after founder's personal data stolen
in.reuters.com,New Zealand will not attend Saudi investment summit over Khashoggi death
in.reuters.com,M.J. Akbar resigns to fight sexual harassment accusations
in.reuters.com,Insight: Uttar Pradesh won't ease crackdown on crime despite Apple manager's death
in.reuters.com,Analysis: Defamation suits aimed at India's #MeToo complainants could stall movement
in.reuters.com,"Foreign soldiers wounded, civilians killed in suicide attack in Afghanistan"
in.reuters.com,"Football, funfairs and fortunes: In Afghan election, money talks"
in.reuters.com,Hindu hardliners defy Supreme Court order to stop women entering Sabarimala temple
in.reuters.com,Cricket: Kaneria admits guilt in Westfield spot-fixing case
in.reuters.com,Pernod Ricard cautions of slower growth after stellar quarter
in.reuters.com,Afghanistan extends election to Sunday due to chaos at polling stations
in.reuters.com,"SEBI asks Fortis Healthcare to recover $55 million from founders, eight firms"
in.reuters.com,"U.S., China, others tentatively agree to multilateral air encounter code"
in.reuters.com,Greece's NBG ends talks with Gongbao over insurance unit sale
in.reuters.com,"U.S. Senate panel wants to question Hyundai, Kia over engine fire reports"
