source,title
iraqinews.com,Iraqi servicemen arrest carrier of IS booby-trapped vehicles in Mosul
iraqinews.com,Islamic State militant apprehended during military operation in Mosul
iraqinews.com,Suicide attacker killed before targeting Shia worshippers in Baghdad: Command
iraqinews.com,"Syrian Democratic Fighters killed in bomb explosion, southeast of Hasaka"
iraqinews.com,"Four militants, involved in terrorism charges, arrested in Nineveh"
iraqinews.com,"Civilian injured in bomb blast, north of Baghdad: Source"
iraqinews.com,Booby-trapped vehicle blast kills 3 perosns in Aleppo
iraqinews.com,Islamic State executes two leaders after troops confiscate weapon stash in Diyala
iraqinews.com,Assad forces conducted artillery shelling on Turkish Checkpoint
iraqinews.com,38 Islamic State fighters found dead in mass grave in Mosul
iraqinews.com,Int’l coalition warplanes destroy four Islamic State caves in Anbar
iraqinews.com,IS bomb maker passes away while manufacturing explosives in Diyala
iraqinews.com,"Islamic State leader killed, two others arrested, northeast of Diyala"
iraqinews.com,"Three Islamic State members arrested, west of Mosul: Interior Ministry"
iraqinews.com,"Civilian killed in armed attack, southeast of Baghdad"
iraqinews.com,"Mortar missiles fired by Islamic State for the second time, northeast of Diyala"
iraqinews.com,U.S. airstrike kills Syrian family on borders with Iraq
iraqinews.com,Iraqi premier orders tightening security along Syrian border to face terrorist groups
iraqinews.com,Iraqi policeman killed in Islamic State attack on police patrol in Kirkuk
iraqinews.com,Roadside bomb wounds two Iraqi farmers in Diyala
iraqinews.com,"Five Islamic State members killed, arrested, southwest of Kirkuk"
iraqinews.com,"Iraqi Interior Ministry mourns two policemen killed, northeast of Diyala"
iraqinews.com,"Six Islamic State members, involved in terrorism charges, arrested in Mosul"
iraqinews.com,"Twelve Islamic State members arrested, west of Mosul: Interior Ministry"
iraqinews.com,"Islamic State executes civilians over cooperation with Iraqi army, west of Mosul"
iraqinews.com,Bomb blast leaves civilian seriously injured in Baghdad: Interior Ministry
iraqinews.com,Ten Iraqis wounded in car bomb blast in Mosul: security media
iraqinews.com,"Six Islamic State members arrested in refugee camps, south of Fallujah"
iraqinews.com,Abadi orders Iraqi policemen to stay alert to face regional threats
iraqinews.com,17 Islamic State members apprehended in Mosul city
iraqinews.com,Iraqi forces capture two Islamic State militants in Diyala
iraqinews.com,Iraqi troops apprehend Islamic State terrorist in southern Baghdad
iraqinews.com,"Three mortar missiles fired, likely by Islamic State members, northeast of Diyala"
iraqinews.com,"UPDATED: Mosul car bomb attack left 3 people dead, 20 injured"
iraqinews.com,Three people injured in suicide attack in Anbar
iraqinews.com,"Tens of Islamic State members killed, injured in Coalition airstrikes, east of Euphrates"
iraqinews.com,"14 Islamic State members killed in confrontations against SDF, east of Syria"
iraqinews.com,"Farmer injured in bomb explosion, northeast of Baquba"
iraqinews.com,Two IS terrorists involved in targeting Iraqi civilians arrested in Kirkuk
iraqinews.com,Sadr’s coalition says new cabinet lineup should be unveiled by Thursday
iraqinews.com,Iraqi troops arrest Islamic State’s food provider in Mosul
iraqinews.com,Iraqi security arrest two members of Islamic State’s Jund Diwan in Kirkuk
iraqinews.com,Iraqi security arrest Islamic State member at underground tunnel
iraqinews.com,Iraqi court sentences militant to death 3 times over terrorism charges
iraqinews.com,Eight bodies of Islamic State militants found in Iraq’s Anbar
iraqinews.com,"IS chief Baghdadi purportedly killed eight followers in Iraq, say sources"
iraqinews.com,"Civilian injured in armed attack, north of Baghdad: Source"
iraqinews.com,Four Iraqi police personnel killed in two Islamic State attacks in Mosul
iraqinews.com,"Paramilitary troops repulse Islamic State attack, kill militant, north of Salahuddin"
iraqinews.com,Death threats non-stop for Iraqi male beauty pageant contestant
iraqinews.com,"Iraqi police kill three terrorists, seize two explosive belts in Kirkuk"
iraqinews.com,"Islamic State leader arrested, southwest of Kirkuk: Police"
iraqinews.com,Iraqi president meets Trump envoy in Baghdad
iraqinews.com,"Civilian killed in bomb blast, west of Baghdad: Source"
iraqinews.com,Car bomb attack in Iraq leaves two people killed
iraqinews.com,Islamic State’s war council in Diyala completely destroyed — police chief
iraqinews.com,"Russia conducts 40,000 airstrikes on Syria since 2015"
iraqinews.com,Death sentences against six convicts involved in terrorism carried out: Ministry
iraqinews.com,Three people injured in Islamic State attack on Baghdad-Kirkuk road
iraqinews.com,Iraqi counter-terrorism troops kill Islamic State members in Syria
iraqinews.com,2 ISIS brits killed by coalition airstrike in Syria
iraqinews.com,Three Islamic State members arrested in Anbar: Military intelligence
iraqinews.com,"Iraqi police kill three suicide attackers, southwest of Kirkuk"
iraqinews.com,"Two people wounded in hand grenade explosion, east of Baghdad"
iraqinews.com,"Three Islamic State members killed in attempt to attack security, west of Anbar"
iraqinews.com,Imam of mosque killed in wake of sermon urging fighting Islamic State militants in Anbar
iraqinews.com,Iraqi family killed as unidentified gunmen storm house in Diyala
iraqinews.com,"Three people, including policeman, killed in bomb blast, north of Salahuddin"
iraqinews.com,More than 110.000 people infected by water pollution in Iraq’s Basra
iraqinews.com,"Iraqi troops destroy five tunnels, detonate three bombs in Ramadi"
iraqinews.com,Islamic State attack security outpost in western Iraq
iraqinews.com,"Iraqi policeman killed, two wounded in fierce clashes with IS in Kirkuk"
iraqinews.com,"Islamic State attack at borders between Iraq, Syria foiled: Troops"
iraqinews.com,"Armed Iraqi father storms school, enraged by daughter’s bad marks"
iraqinews.com,"Four paramilitary personnel killed, injured in bomb blast, northeast of Diyala"
iraqinews.com,"Three Iraqi army soldiers killed, injured in bomb blast, west of Anbar"
iraqinews.com,"Civilian killed in armed attack, south of Baghdad: Source"
iraqinews.com,Clashes break out between Islamic factions and YPG in Aleppo
iraqinews.com,"Two Islamic State members arrested, rest houses destroyed in Salahuddin"
iraqinews.com,Bomb blast leaves two people wounded in Iraq’s Kirkuk
iraqinews.com,Car bomb attack leaves Iraqi civilian wounded in Baghdad
iraqinews.com,Iraqi police kill four Islamic State militants in Kirkuk
