source,title
itv.com,Twenty-year-old Cardiff man charged with terror offences
itv.com,Man guilty of murdering Swansea pensioner
itv.com,Man arrested after double stabbing in north Belfast
itv.com,Two women escape west Belfast arson attack
itv.com,Heart of Guillemont Memorial Stone brought to Jersey for WWI centenary
itv.com,Fears for hundreds of jobs after Mike Ashley's Sports Direct buys out Evans Cycles
itv.com,Top 10 moments from this weekend's X Factor!
itv.com,Three-year-old boy left fighting for his life after being struck by van in hit-and-run
itv.com,Pride of Britain Awards celebrate region's heroes
itv.com,Over 1000 more neurology patients recalled
itv.com,Apple unveils new iPad Pro with Face ID and all-screen front panel
itv.com,"Chelsea coach Ianni fined £6,000 by FA for improper conduct"
itv.com,Vauxhall to recall more Zafira cars linked to fires
itv.com,Venice under five feet of water as the city suffers its worst floods in 10 years
itv.com,Why no budget vision for Brexit Britain?
itv.com,Greysteel victims remembered 25 years on
itv.com,"Food magazine editor suggests running a piece on 'killing vegans, one by one'"
itv.com,Jersey's Infrastructure Minister rejects petition for 50mph speed limit
itv.com,"Increase in alcohol tax 'another nail in the coffin', says Guernsey pub owner"
itv.com,Off-duty Gateshead police officer a 'hero' after river rescue
itv.com,Coronation Street's Mary and Jude
itv.com,Could a herbal remedy control cold sores?
itv.com,England drop Brown for the first time in Jones era
itv.com,Light Aircraft comes down in Coniston
itv.com,Paul Lambert: 'I'll give the Ipswich Town job everything I've got'
itv.com,People use music to express their grief at loss of Leicester City Chairman
itv.com,What surprises do IAC Extra Camp have in store for Holly?
itv.com,Row over proposed Welsh Government multi-million pound borrowing powers
itv.com,"Budget leaves UK with 'sufficient firepower' in case of no-deal Brexit, Philip Hammond claims"
itv.com,Firefighters tackle blaze on yacht
itv.com,Family hold birthday vigil for missing mum-of-two
itv.com,Briton Samantha Jones facing possible death penalty for alleged murder of husband in Malaysia
itv.com,Father jailed for 24 years for beating his two-year-old son to death
itv.com,Wembley and Tottenham to share four NFL games in 2019
itv.com,Local divers involved in Thai cave rescue among Pride of Britain winners
itv.com,"Weather with Kerrie - Less cold, more showers"
itv.com,Video of Texas school bus swept away by floodwaters released as driver sacked and arrested
itv.com,Jose Ragoobeer praises Leicester City chairman's support after losing wife and sons in fire
itv.com,View From Stormont- Episode 75
itv.com,Dylan Tiffin-Brown: Northampton father jailed for 24 years for beating his two-year-old son to death
itv.com,Lampard relishing Chelsea return with Derby
itv.com,Can you carve a better pumpkin?!? Twitter gets in the spirit for Halloween
itv.com,Renewable energy company looks to Alderney waters for tidal power project
