source,title
jezebel.com,'The Nihilistic Horniness of a Good Gothic Read': Ranking the Genre's Sexiest and Scariest Secrets
jezebel.com,Little Mix Is Somehow in the Mix of the Nicki Minaj and Cardi B Beef
jezebel.com,This Snapchat Series About a Model Scout Is As Transfixing As It Is Mind-Numbing
jezebel.com,Attorneys for Man Convicted in Plot to Kill Muslim Refugees Say the Rise of Trump Explains Their Client's Islamophobia
jezebel.com,Correction: John 'White Supremacist Dick' Mayer Says He Has Not Slept with 500 Women
jezebel.com,The Hope of Rashida Tlaib
jezebel.com,Here Is One of Your Scariest Stories of All Time
jezebel.com,Ava DuVernay Is Making the Prince Documentary We Deserve
jezebel.com,Doctor Won't Face Jail Time For Dyeing Patient's Vagina Purple as a 'Joke'
jezebel.com,The Kids Are Going to Vote (Maybe)
jezebel.com,All The Criticisms We Have About Bella Hadid's Disturbingly Perfect Fridge
jezebel.com,Cardi B and Nicki Minaj Are Having a Night
jezebel.com,Married Couple Carries Same Baby in Landmark Fertility Treatment
jezebel.com,Taylor Swift's Ex-Boyfriend Taylor Lautner Has a New Girlfriend Named Tay
jezebel.com,Pharrell Williams Asks Donald Trump to Please Not Play 'Happy' at His Rallies
jezebel.com,Sigourney Weaver Says She Would Work With Roman Polanski Again
jezebel.com,Cardi B's Fashion Nova Line Promises to Make You 'So Corporate and Poppin''
jezebel.com,Kim Kardashian Says Kanye Is 'Harassing' Her for Seven Kids
jezebel.com,These 10 Scary Stories Have Truly Fucked Me Up
jezebel.com,Busy Philipps Wants to Be Your Best Friend on Busy Tonight
jezebel.com,This Is How the Criminal Justice System Traps Women and their Families
jezebel.com,Witchin' You a Spooktacular Holiday: It's the Celebrity Halloween Costumes Roundup
jezebel.com,If Twitter Loses the Like Button You Might Have to Develop an Actual Sense of Self Worth
jezebel.com,The President Reportedly Still Dicks Around Most of the Day
jezebel.com,Far-Right Candidate Who Once Said a Congresswoman Was Too Ugly to Rape Is Elected President of Brazil
