source,title
jta.org,Pittsburgh: A city in mourning after the Tree of Life synagogue shooting
jta.org,Republican Jewish candidate defends inviting Messianic rabbi to honor Pittsburgh victims
jta.org,Government will probe US-funded report targeting ‘multimillionaire Jew’ George Soros
jta.org,Brazilians elect far-right president Jair Bolsonaro
jta.org,How the Pittsburgh synagogue shooting unfolded
jta.org,Jewish doctors treated Pittsburgh synagogue shooting suspect before his first court appearance
jta.org,Kentucky man dresses 5-year-old son as Hitler for Halloween party
jta.org,Pittsburgh is where I lived. Synagogue is where I’m home.
jta.org,Vigils held around the Jewish world for Pittsburgh shooting victims
jta.org,"In Europe, synagogues are protected like fortresses. It took decades to get there."
jta.org,Palestinian body’s decision to suspend recognition of Israel could end Oslo Accords
jta.org,"Rogerio Jonas Zylbersztajn, Jewish Brazilian real estate icon and philanthropist, dies at 58"
jta.org,"Muslim groups raise over $115,000 for Pittsburgh synagogue shooting victims and families"
jta.org,French university students accused of ranking Jewish classmates in Facebook group
jta.org,Ivanka Trump and other prominent Jews send messages of solidarity after Pittsburgh synagogue shooting
jta.org,Israeli Cabinet minister Naftali Bennett likens Pittsburgh killer to Israel’s enemies
jta.org,Here are the names of the victims of the Pittsburgh synagogue shooting
jta.org,European soccer lifts ban on airing World Cup games in Jewish settlements
jta.org,Pope Francis on Pittsburgh synagogue attack: ‘All of us are wounded by this inhuman act of violence’
jta.org,"Iranian refugee raises over $600,000 for Pittsburgh synagogue where shooting took place"
jta.org,Rep. Steve King gave sympathetic interview to far-right Austrian site after visiting Auschwitz on a Holocaust education trip
jta.org,"After a mass synagogue shooting, a post-Shabbat service draws thousands"
jta.org,How a gay Jewish Latino playwright ended up restaging a Harvey Fierstein classic
jta.org,Doll pinned to tree with knife in forehead found near Jewish school in New Jersey
jta.org,‘Our hearts are broken’: The Jewish world reacts to the Pittsburgh synagogue attack
jta.org,How ‘Brazil’s Trump’ is winning over Jewish voters
jta.org,"This woman combines Jewish and Japanese cuisines, from gyoza kreplach soup to mochi latkes"
jta.org,Headstones toppled at small Jewish cemetery in Texas
jta.org,Pittsburgh synagogue shooting shakes the city’s iconic Jewish neighborhood
jta.org,"HIAS, immigrant aid group vilified by Pittsburgh gunman, vows to not back down"
jta.org,Israel’s national anthem played in Abu Dhabi for first time at judo tournament
jta.org,"Ivanka Trump, Jared Kushner to accompany president on Pittsburgh visit"
jta.org,Fascist rally organizer in Italy wears ‘Auschwitzland’ T-shirt
jta.org,It’s time for Jews to open our eyes to the anti-Semitism building on the right
jta.org,Jewish shop owner stabbed in Paris botched robbery
jta.org,Pittsburgh tries to see the future through the darkness
jta.org,"To feel safe, Jews need a government that says and does the right thing"
jta.org,US-funded Spanish language network produced segment about ‘multimillionaire Jew’ George Soros
jta.org,"Israeli Holocaust institute stops training guides for Poland trips, citing country’s rhetoric law"
jta.org,"House Majority Leader Kevin McCarthy deletes tweet saying George Soros, Tom Steyer and Michael Bloomberg are buying this year’s elections"
jta.org,Israeli jets hit 80 Gaza targets after dozens of rockets fired at southern Israel communities
jta.org,Trump to visit Pittsburgh on Tuesday
jta.org,Names of Pittsburgh synagogue shooting victims begin tricking out
jta.org,Israel holds symbolic opening of embassy in Warsaw to mark 70 years of relations
jta.org,Israeli government minister visits UAE mosque in official state visit
jta.org,4 other recent shootings that have targeted the Jewish community
jta.org,Shimon Peres hologram reads ‘spiritual will’ at innovation summit
jta.org,This Jewish teen is helping underprivileged kids apply to college
jta.org,Israel’s Cabinet observes moment of silence for Pittsburgh synagogue shooting victims
jta.org,"Pittsburgh shooting may be ‘turning point’ for US Jewish security, says European leader"
jta.org,Chuck Schumer’s civility tweet feeds a narrative that he’s too soft on Republicans
jta.org,"Even before her name was put on bombs, Debbie Wasserman Schultz was a favorite target of the right"
jta.org,The fast train from Jerusalem to Tel Aviv isn’t fast and doesn’t go to Tel Aviv. I took it so you don’t have to.
jta.org,Pittsburgh synagogue gunman charged with 29 counts
jta.org,Netanyahu suggests support for ‘state-minus’ for Palestinians
jta.org,"11 dead, 6 injured in Pittsburgh synagogue shooting"
jta.org,Republicans and Democrats both try to paint the other side’s candidates as worse for the Jews
jta.org,Netanyahu praises Trump for condemning anti-Semitism following Pittsburgh attack
jta.org,Jewish volunteers prepare bodies of Pittsburgh shooting victims for burial
jta.org,Adam Sandler’s ‘Bar Mitzvah Boy’ song is the highlight of his new Netflix special
jta.org,"Denmark won’t fund groups that promote BDS, question Israel’s legitimacy, FM says"
jta.org,"Trump laments lack of armed guards in synagogue, strongly condemns anti-Semitism"
jta.org,Madonna advertises for private chef who cooks kosher
jta.org,Florida man arrested in connection with mail bombs sent to Trump critics
jta.org,Cardi B performed at an ‘epic’ bar mitzvah party
jta.org,Israeli leaders call on government to recognize liberal streams of Judaism in wake of Pittsburgh synagogue shooting
jta.org,Swiss kosher butcher shop vandalized 4 times in one month
jta.org,"Anti-Semitic graffiti appears almost daily at French universities, student leader says"
jta.org,British lawmaker says Pittsburgh synagogue shooting shows Israel ‘reignites’ anti-Semitism
jta.org,Fox pulls recent broadcast of ‘Lou Dobbs Tonight’ over guest’s ‘Soros-occupied State Department’ comment
jta.org,U of Winnipeg acknowledges anti-Semitic statements made at faculty-sponsored event
jta.org,2 Bloomberg-backed groups spend $11 million in online ads ahead of midterms
jta.org,Israel strikes 8 Hamas targets in Gaza after rocket fired at southern Israeli communities
jta.org,Pittsburgh Steelers hold moment of silence to honor synagogue shooting victims
jta.org,Dutch politician praises pro-Palestinian kite show featuring Nazi symbols
jta.org,"George Soros’ son says Trump fostered the vitriol, including anti-Semitism, that led to bomb attacks"
jta.org,Millionaire socialite admits to hitting lawyer with glass purse and making anti-Semitic remark
jta.org,Netanyahu makes first visit by Israeli head of state to Oman since 1996
jta.org,Police investigating suspicious package sent to Rep. Debbie Wasserman Schultz
jta.org,Jared Kushner and Steve Mnuchin walk a fine line on the Saudi crown prince
jta.org,Are the Schmaltz brothers of the National Hockey League Jewish?
jta.org,Israel sends rescue forces to Jordan following deadly floods
jta.org,China is eavesdropping on Trump’s cellphone calls with some wealthy Jewish friends
jta.org,Dutch public broadcaster calls Soros ‘a Jew with tentacles’
jta.org,British fashion mogul accused in parliament of sexual harassment
jta.org,Jewish real estate heir Robert Durst to stand trial for murder
jta.org,True crime TV star Robert Durst to stand trial for murder
jta.org,President of George Washington U student bar association ordered to resign over alleged anti-Semitic comment
jta.org,Israel’s Youth Olympic team brings home 3 medals
jta.org,Rube Goldberg did way more than draw those wacky machines
jta.org,"Lara Alqasem, US student detained in Israeli airport, can stay in country, Supreme Court rules"
jta.org,Israeli activist compares country’s policies to apartheid in speech to UN Security Council
jta.org,Police say Netanyahu corruption investigations are completed
jta.org,Medieval bath may be earliest Jewish vestige in Brazil
jta.org,Why Roseanne Barr and Shmuley Boteach need each other
jta.org,US Amb. David Friedman attends official event in West Bank settlement
jta.org,I tested positive for the cancer-causing BRCA mutation. Now what?
jta.org,A guide to the Jewish Republican House candidates in the 2018 midterm elections
jta.org,"Jewish woman, 70, kicked in the face while protesting Labour anti-Semitism, report claims"
jta.org,NY Jewish school officials knew of abuse by administrator who molested 12 students
