source,title
khaama.com,Taliban’s shadow district chief for Pacher Agam killed in NDS raid
khaama.com,Afghan forces repulse 5 coordinated attacks in Ghazni province
khaama.com,Kabul Police arrest 206 individuals in connection to various criminal incidents
khaama.com,Taliban’s shadow district chief critically wounded in Herat province
khaama.com,Gen. Votel reaffirms support to Afghanistan in the fight against terrorism
khaama.com,President Ghani met with the Commander of U.S. CENTCOM in Kabul
khaama.com,Election staff among six wounded in Kabul suicide blast
khaama.com,Finance Ministry staff on bribery charges in Kabul
khaama.com,"Militants suffer heavy casualties in separate airstrikes of Afghan, U.S. forces"
khaama.com,Plane with 189 on board crashes after take-off in Indonesia
khaama.com,U.S. drones target Taliban vehicle in Paktia leaving 5 militants dead
khaama.com,Civilians suffer casualties in IED explosion in Ghazni province
khaama.com,"Taliban IED planter, three militants killed in separate incidents in Kunar"
khaama.com,3 ISIS Khurasan members killed in Haska Mina district of Nangarhar
khaama.com,Toofan Harirod are crowned the 2018 Afghan Premier League champions
khaama.com,Hazratullah Zazai joins Rashid Khan to play for Maratha Arabians in T10 League
khaama.com,15 thousand Afghan forces assigned to ensure security during elections in Kandahar
khaama.com,"Militants suffer casualties in separate clashes, airstrikes in Balkh and Badakhshan"
khaama.com,U.S. airstrike leaves 3 ISIS IED planters dead in Nangarhar province
khaama.com,Taliban militants killed in U.S. drone strike in Nuristan province
khaama.com,Atmar reacts to propaganda surrounding the deadly Kandahar incident
khaama.com,"Kajaki Dam expansion work to begin soon, President Ghani says"
khaama.com,Abdullah vows thorough investigation into deadly Kandahar incident
khaama.com,"Taliban IED expert’s wife, children killed by own bomb in Faryab"
khaama.com,Muslimyar reacts to the alleged remarks of U.S. Senator regarding Durand Line
khaama.com,Afghan cabinet approves in principle the draft budget for 1398 fiscal year
khaama.com,NPC approves 14 new projects having a combined value of 2.2 billion Afghanis
khaama.com,"Mullah Sherin hatched assassination of Gen. Raziq, claims ex-NDS Chief"
khaama.com,NATO soldiers suffer casualties in apparent insider attack in West of Afghanistan
khaama.com,NATO SG reaffirms the alliance’s support to Afghan peace process
khaama.com,Senate House Chairman reacts to NDS Chief’s remarks regarding Kandahar incident
khaama.com,Ghani arrives in Kandahar after Thursday’s deadly incident
khaama.com,Taliban’s shadow governor for Maidan Wardak killed in ANDSF operations
khaama.com,Taliban’s shadow district chief killed in coalition airstrike in Nangarhar
khaama.com,Balkh Legends are the winners of Afghan Premier League 2018
khaama.com,Pakistan has reportedly released Taliban co-founder Mullah Baradar from jail
khaama.com,Nasrat Haqparast defeats his French rival in UFC Fight Night
khaama.com,Dead bodies of 4 election observers found in Mazar Sharif city
khaama.com,NDS Special Forces storm a key hideout of the Taliban in Nangarhar province
khaama.com,Afghan forces repulse major Taliban assault in Faryab province
khaama.com,Noor blames inner circles behind the assassination of Gen. Abdul Raziq
khaama.com,ISIS shadow judge among a dozen militants killed in Nangarhar operations
khaama.com,Elections to be conducted in 14 provinces of Afghanistan today
khaama.com,Abdullah reacts to rumors alleging foreign forces involvement in Kandahar incident
khaama.com,UN encouraged by Afghans’ desire to vote
khaama.com,Taliban militants critically wounded in an airstrike in Kabul
khaama.com,"Several feared dead, wounded during election violence in Afghanistan"
khaama.com,ANP forces thwart rocket attack on Kabul city
khaama.com,Pence congratulates Afghan nation on the steady advance of democracy
khaama.com,NDS disclose new findings regarding the deadly Kandahar incident
khaama.com,Casualties feared as suicide car bomb explosion rocks Wardak province
khaama.com,Gen. Raziq’s assassination plan hatched in Pakistan: Ghani
khaama.com,Taliban claims responsibility for the explosion in Qahraman’s office in Helmand
khaama.com,Afghanistan’s Election Commission Chief vows strict actions against corrupt candidates
khaama.com,"Kandahar Knights, Nangarhar Leopards win APL matches against Paktia, Balkh"
khaama.com,"36 dead, wounded in Kabul traffic incident"
khaama.com,Voting underway for parliamentary elections in Kandahar province
khaama.com,Seven more Afghan candidates disqualified ahead of Saturday’s elections
khaama.com,Ghani arrives in Lashkargah city the capital of Helmand province
khaama.com,Taliban claims attack that left Kandahar Police Chief Gen. Raziq dead
khaama.com,Prominent Taliban leader killed in Kunduz operations
khaama.com,Deputy Afghan FM Hekmat Karzai resigns citing ‘serious opinion differences’
khaama.com,"Fresh skirmish reported among the Afghan, Pak forces in Spin Boldak"
khaama.com,"Car bomb destroyed, several militants killed in NDS raid in Nangarhar"
khaama.com,Karzai welcomes the release of Taliban leaders from Pakistani jails
khaama.com,NATO SCR says ‘Impressed by the courage and determination of Afghan voters’
khaama.com,"Clashes reported among Afghan forces, militants in Balkh, Sari Pul provinces"
khaama.com,"Afghan, Pakistani foreign ministers discuss deadly Kandahar attack"
khaama.com,Three suspects arrested in connection to deadly Kandahar incident
khaama.com,India delivers 1998.1 tons of lentils to Afghanistan
khaama.com,IEC to extend voting time in some polling stations
khaama.com,"Voting underway for parliamentary elections in Afghanistan except Kandahar, Ghazni"
khaama.com,De Maiwand Atalan reaches semifinals of APL by defeating Simrgh Alborz
khaama.com,13 militants killed in foreign forces airstrikes in Ghazni province
khaama.com,"Samangan’s Security chief, several soldiers killed in Taliban attack"
khaama.com,"Ghani inaugurates 22.48 km road, industrial and agricultural park in Parwan"
khaama.com,Issues surrounding power shortages to be resolve soon: Ghani
khaama.com,UN Mission in Afghanistan highlights the need for elections free from fraud
khaama.com,11 of a family including a woman and children killed in Nangarhar IED blast
khaama.com,"47 militants killed, wounded in separate operations: 209th Shaheen Corps"
khaama.com,Gen. Raziq’s brother appointed as new police chief of Kandahar
khaama.com,Pentagon says a U.S. General was also wounded in Kandahar incident
khaama.com,"70,000 Afghan forces assigned to ensure security of parliamentary elections"
khaama.com,De Abasin Sape qualifies to semifinals of Afghan football premier league
khaama.com,Elections postponed in Kandahar after Thursday’s deadly incident
khaama.com,A Pakistani family having links with ISIS arrested in Nangarhar
khaama.com,"4 suicide bombers among 30 dead, wounded in U.S. airstrikes"
khaama.com,Parliamentary candidate Abdul Jabar Qahraman killed in Lashkargah explosion
khaama.com,Deputy Afghan FM Hekmatyar Karzai resigns citing ‘serious opinion differences’
khaama.com,"Six of a family killed, wounded as mortar round lands on a house in Ghazni"
khaama.com,"Several dead, wounded as explosion target election campaign in Takhar"
khaama.com,"Taliban militants, civilians suffer heavy casualties in a premature car bomb explosion"
khaama.com,Taliban release details of the meeting with the U.S. delegation in Qatar
khaama.com,Shaheen Asmayee defeats De Spinghar Bazan 3-1 to qualify to APL semi-finals
khaama.com,Drone strike kills 9 ISIS militants in Nangarhar province
khaama.com,"Airstrikes inflict casualties on militants, destroy captured Humvees"
khaama.com,Afghan forces and Taliban militants suffer heavy casualties in Paktia clashes
khaama.com,Three people wounded in an explosion in Kabul city
khaama.com,"Militants killed, APCs recaptured in Afghan Special Forces operation in Kunduz"
khaama.com,"46 militants killed, 38 thousand kgs of explosives in Farah airstrikes"
