source,title
ksl.com,Time for Penny Hardaway to transfer hoopla into hoop wins
ksl.com,"Latest: Crews hunt for bodies of Illinois professor, husband"
ksl.com,AP PHOTOS: Explorers tour old mines amid effort to seal them
ksl.com,At least 11 dead as violent storms buffet Italy
ksl.com,Party held for homeless baby born in wake of hurricane
ksl.com,African leaders meet in Germany at development summit
ksl.com,Brother: Indians died in Yosemite fall while taking a selfie
ksl.com,Ben Anderson: BYU continues to fall behind Utah football
ksl.com,A new way to the NBA: G-League select contracts
ksl.com,Spain and the Vatican at odds on possible reburial of Franco
ksl.com,Indians exercise contract option on starter Carrasco
ksl.com,Pakistan set to rule on woman facing death for blasphemy
ksl.com,AP FACT CHECK: Trump off track on birthright citizenship
ksl.com,"iPads, Macs get new screens as Apple pushes creativity"
ksl.com,Jury struggling in murder trial of ex-Michigan trooper
ksl.com,Indians exercise contract options on starter Carrasco
ksl.com,Progress? Gridlock? How midterm vote could affect US economy
ksl.com,'What didn’t go wrong?': Man convicted in 2005 killing seeks parole again
ksl.com,Veteran defensive lineman Ziggy Hood signs with Dolphins
ksl.com,The Latest: UN rights chief asks Saudis to tell site of body
ksl.com,The Latest: Pence discusses changing birthright citizenship
ksl.com,UVU settles whistleblower suit with secret agreement
ksl.com,Man convicted in 1991 murder makes 2nd pitch for parole
ksl.com,Kansas militia men blame Trump's rhetoric for planned attack
ksl.com,Manti businesses look to the future after pageant ends
ksl.com,Rep. Chris Stewart says Trump could set example to turn down political rhetoric
ksl.com,Utah weather facts to shock and surprise you
ksl.com,"Pilot crashes plane into lake, leaves wreckage, hitches home"
ksl.com,Correction: Kentucky-6th District-Fundraising story
ksl.com,Chelsea coach fined for taunting Mourinho
ksl.com,"Helped by solid earnings, US stock indexes turn higher again"
ksl.com,"West's old mines hold danger for some, adventure for others"
ksl.com,"Florida man sues Tesla over autopilot feature, crash"
ksl.com,Police: Railroad worker concealed involvement in train wreck
ksl.com,Concerns growing over rejections of vote-by-mail ballots
ksl.com,Trial begins for sports radio voice Craig Carton
ksl.com,Florida invests $3.5M to finish Everglades highway project
ksl.com,The Latest: Governor and Pittsburgh mayor won't join Trump
ksl.com,"NATO, Russia expected to behave during dueling Nordic drills"
ksl.com,"Whitey Bulger, Boston gangster, found dead in prison at 89"
ksl.com,"3 siblings struck, killed by truck at bus stop in Indiana"
ksl.com,Judge sentences woman for trying to hire hit man
ksl.com,Bosnia police move migrants camping near Croatia's border
ksl.com,"KSL Pick'em: Utes, Aggies cruise to Week 9 wins"
ksl.com,The Latest: Couple says fatal fall victim captured in selfie
ksl.com,"Amid global uproar, some US colleges rethink Saudi ties"
ksl.com,Man called 'mastermind' of prison riot severed from trial
ksl.com,The Latest: 2nd caravan reaches city in far-southern Mexico
ksl.com,US trial for 'El Chapo' set to begin next month
ksl.com,Seahawks' Kendricks banned 8 games for insider trading
ksl.com,Police: Driver shot after striking off-duty officer dies
ksl.com,"Still golden: Biles, Americans roll at world championships"
ksl.com,Some ballots still on the way to Salt Lake County voters
ksl.com,"In tight race, Ohio governor rivals hedging bets on Trump"
ksl.com,"Police, neighbors ask for help after dog shot, killed in Ogden"
ksl.com,Texas dragging death killer 1 step closer to execution
ksl.com,EU antitrust regulator investigates steel joint venture deal
ksl.com,The Latest: Mourners line up for Rosenthal brothers' funeral
ksl.com,Cavs' star Love could miss significant time with foot injury
ksl.com,"Holocaust survivor faces evil, cheats death for second time"
ksl.com,Info on drug use was concealed in report on Hernandez death
ksl.com,"The Latest: 3 siblings struck, killed by truck at bus stop"
ksl.com,Settlement reached in Ohio case of stun-gunned black girl
ksl.com,Officer who mistook detective for gunman testifies at trial
ksl.com,2 men charged after officer chasing them fell to his death
ksl.com,Man resentenced to 40 years in parents' 1996 murder
ksl.com,All-New MacBook Air Takes Flight
ksl.com,UN demands immediate halt to attacks in Ebola areas in Congo
ksl.com,Report: Human error blamed in woman's death after power cut
ksl.com,Bills lose another...Cavaliers look for first win...Red Sox back home
ksl.com,Idaho billionaire VanderSloot likes Democrat to run schools
ksl.com,"Devils, 76ers owner going all in on sports betting promotion"
ksl.com,The Latest: New iPads embrace facial recognition
ksl.com,The Latest: Casket arrives for first funeral after massacre
ksl.com,Denmark alleges Iran plotted to kill activist on Danish soil
ksl.com,"Nigerian group says troops shot, killed 27 Shiite Muslims"
ksl.com,The Latest: Migrant caravan on the move again
ksl.com,Lebanon accuses editor of harming relations with Saudis
ksl.com,Egypt's police step in to combat potato shortage
ksl.com,Greek prosecutor seeks 9 convictions in US tourist's killing
ksl.com,Bulgarian authorities bust fraudulent passport scheme
ksl.com,Court says Hopkins doctor had protection as expert witness
ksl.com,Philadelphia's decadent 'Wing Bowl' no more after 26 years
ksl.com,Harley-Davidson to recall nearly 178K bikes to fix clutches
ksl.com,Whitey Bulger transferred to prison in West Virginia
ksl.com,US consumer spirits rise to new 18-year high in October
ksl.com,Pullman officer arrested in sex assault of WSU student
ksl.com,Ex-golf course employee charged with 14 felonies in connection with sexual misconduct case
ksl.com,"Zion National Park, parts of S. Utah under flash flood warning"
ksl.com,Have You Seen This? World's largest plane lands in Oakland
ksl.com,1 dead after crash on state Route 36 north of Tooele
ksl.com,The rundown on eggs
ksl.com,Man faces 23 charges in Box Elder burglary spree
ksl.com,Utah man dies in Flaming Gorge boating accident
ksl.com,Utah man hopes 3rd startup will be the charm
ksl.com,Man stabbed in face outside 7-Eleven in West Valley
ksl.com,Algal bloom spreads to more of Utah Lake
ksl.com,Woman extremely critical after drive-by shooting in Taylorsville
ksl.com,Mayors paddle the Jordan River to highlight 'little oasis' in middle of Salt Lake County
ksl.com,Police investigating shooting that left 14-year-old injured in Tooele
