source,title
ktla.com,7 People Wounded in Shooting at Sevilla Nightclub in Riverside
ktla.com,Suspicious Device Found in Pasadena U-Haul Facility Rendered Safe; Evacuations Lifted
ktla.com,‘The Simpsons’ to Get Rid of Character Over Racial Stereotype Complaints: Report
ktla.com,Trump Administration’s Latest Plan for Families Seeking Asylum in U.S. Could Lead to Quicker Release
ktla.com,Man Who Grabbed Officer’s Taser Shot Dead by Police in Locker Room of Hollywood 24 Hour Fitness: LAPD
ktla.com,Prop 6: GOP-Backed Effort to Repeal New Gas Tax That Funds California’s Major Road Repair Program
ktla.com,Unidentified Body Found Stuffed in Bag That Was Left Inside Anaheim Dumpster
ktla.com,Shaun White Apologizes to Special Olympics for ‘Insensitive’ Simple Jack Halloween Costume
ktla.com,LAUSD to Pay $5 Million to Woman Who Was Sexually Abused as Teen by South L.A. Middle School Teacher
ktla.com,Antarctica Scientist Allegedly Stabs Colleague for Spoiling the Endings of Books
ktla.com,Health Smart: The “Guanche Lift” Facelift
ktla.com,Alleged Riverside County White Supremacist Sought in Connection With Charlottesville Riot Surrenders
ktla.com,‘Terrible Tragedy’: 3 Young Siblings Fatally Struck by Truck While Trying to Board School Bus in Indiana
ktla.com,Trump Aims to Defy Constitution With Executive Order Ending Birthright Citizenship
ktla.com,Local and National Officials Decline to Appear With Trump During His Visit to Pittsburgh
ktla.com,"German Ex-Nurse Admits to Killing 100 Patients, But Final Number May Never Be Known"
ktla.com,Notorious Gangster James ‘Whitey’ Bulger Killed After Being Transferred to West Virginia Prison: Reports
ktla.com,"Man Arrested, Released After Suspicious Device at Pasadena U-Haul Facility Triggers Evacuations"
ktla.com,Man Accusing of Burglarizing Missing Wisconsin Teen’s Home Found With Girls’ Underwear: Police
ktla.com,"In Battleground District, Newcomer Democrat Katie Hill Seeks to Unseat Republican Rep. Steve Knight"
ktla.com,Huntington Beach Uber Driver Accused of Raping Unconscious 17-Year-Old Passenger Is Declared a Fugitive
ktla.com,6 Bodies Recovered After Lion Air Flight From Indonesia Crashes Into Sea With 189 on Board; Survivors Unlikely
ktla.com,"Funerals Begin for Synagogue Shooting Victims as President, First Lady Head to Pittsburgh"
ktla.com,Holocaust Survivor 4 Minutes Late to Tree of Life Synagogue: ‘I Survived the Second Time’
ktla.com,2 Homeless Men Left in Critical Condition After Hit-and-Run in Downtown L.A.
ktla.com,Health Smart: Sleep Smart Tips with the Sleep Doctor
ktla.com,"Automakers Experimenting With Having Cars, Traffic Lights Communicate to Ease Congestion"
ktla.com,Pipe Bomb Suspect’s List of Additional Targets Including at Least 15 in L.A. Area: Sources
ktla.com,Napa Valley Vineyard Worker Dies After Getting Pulled Into Grape-Harvesting Machine
ktla.com,"Apple, Google Add Life Saving 911 Location Data to iOS & Android"
ktla.com,Best Buy Expanding Toy Inventory in Fight for Toys R Us Customers
ktla.com,Lawsuit Alleges New Hampshire Lawmaker Assaulted Porn Film Maker in Simi Valley
ktla.com,Pittsburgh Synagogue Shooting Suspect Appears in Court; Described as ‘Maniac’ by Survivor
ktla.com,Student Dies After Fight Escalates Into Shooting at North Carolina High School; Suspect in Custody: Police
ktla.com,Human Skull Found in Oakland Backyard Is Taken to Police Station; Homicide Investigation Underway
ktla.com,Police Release Footage of Suspect in Garden Grove Stabbing
ktla.com,You could win a trip to see the RAIDERS in Kansas City
ktla.com,Prop 6 Leaders Threaten Recall Campaign Against California Atty. Gen. for ‘Deceptive’ Ballot Title
ktla.com,2 Men Critically Injured in Downtown L.A. Hit-and-Run ID’d as Police Search for Driver
ktla.com,Constitutional Experts Question Trumps Ability to End Birthright Citizenship
ktla.com,North Carolina Mother of Child Killed in Florence Floodwaters Faces Charges
ktla.com,Angela Merkel Will Not Seek Re-Election as German Chancellor
ktla.com,Kiss Giveaway
ktla.com,Jessica and Levi Get Into the Halloween Spirit With Mini Caramel Apple Pops
ktla.com,"9 Dead, Venice Flooded as Extreme Weather Hits Italy"
ktla.com,"Couple Fell to Their Deaths While Taking Selfie at Yosemite’s Taft Point, Brother Says"
ktla.com,Passengers on Previous Flight of Crashed Lion Air Jet Describe Problems
ktla.com,Suspected Synagogue Gunman Took to Social Media Before Shooting; Was Obsessed With Jewish Refugee Agency
ktla.com,"Home Surveillance Video Shows Nude Man Lurking in Santa Ana Backyard, Peering Into Windows"
ktla.com,"Sisters File Lawsuits in L.A. Against USA Gymnastics, U.S. Olympic Committee Over Nassar Abuse"
ktla.com,Vigil Held at Cal Lutheran University in Thousand Oaks to Honor Victims of Synagogue Shooting
ktla.com,Pipe Bomb Suspect Cesar Sayoc Appears Emotional During First Court Appearance
ktla.com,"After Synagogue Shooting, Vigil and March Held in L.A. County Honor the Victims and Celebrate Religion"
ktla.com,Death of Man Inside Ventura Jail Ruled a Homicide With His Cellmate Named the Suspect
ktla.com,Far-Right Presidential Candidate Who Has Drawn Comparisons to Trump Wins Election in Brazil
ktla.com,"More Than 90% of World’s Children Breathe Polluted Air, World Health Organization Reports"
ktla.com,"Military to Deploy 5,000 Additional Troops to U.S.-Mexico Border"
ktla.com,Proposition 8: Union Seeks to Cap Private Dialysis Clinics’ Revenues
ktla.com,"In NorCal Forest Where Wild Horse Population Is a Problem, 1 Mountain Lion Is Considered a Serial Horse Killer"
ktla.com,"The News Director’s Office: Roland S. Martin, Journalist/Host of “Roland Martin Unfiltered”"
ktla.com,Survivors of Attack on Granada Hills Jewish Community Center in 1999 Reflect on Synagogue Massacre
ktla.com,Police Halt 2nd Migrant Group Trying to Enter Mexico
ktla.com,Identities Released of 59-Year-Old Woman and Infant Granddaughter Killed in San Gabriel Hit-and-Run
ktla.com,"Dodgers Lose World Series to Red Sox, With Boston Winning the Series 4-1"
ktla.com,North Dakota Man Gets Life in Prison in Case of Kidnapped Baby Cut From Pregnant Woman’s Womb
ktla.com,"Mistrial Declared in Case of Pomona Officers Charged With Beating Teen at Fairgrounds, Trying to Cover It Up"
ktla.com,‘He Didn’t See Us’: Survivors Tell Harrowing Details of Massacre Inside Pittsburgh Synagogue
ktla.com,Suspicious Package Investigation Prompts Evacuation of Union Station
ktla.com,"Teen, Man Arrested After 2 People Are Stabbed at Halloween Party in Victorville; Other Suspect Being Detained"
ktla.com,"Authorities ID 29-Year-Old Man, 30-Year-Old Woman Who Fell to Their Deaths at Yosemite"
ktla.com,Win a trip to Hawaii to see Guns N’ Roses
ktla.com,"Bodies Found Tied Together Near NYC’s Hudson River ID’d as Missing Virginia Teen, Her Sister"
ktla.com,"Hoover High Students Stage Walkout After Homecoming Game, Dance Canceled"
ktla.com,Faithful Dodgers Fan Carries ‘Lil Puig’ Into World Series Game 5 — Hoping for a Comeback
ktla.com,Toddler Shot in Head During Road-Rage Incident in Florida
ktla.com,‘I Am White and Hot’: North Carolina Woman Fired After Video Captures Racist Rant Against Neighbor
ktla.com,"Spoken Dreams: Rose Emanuel, Actress"
ktla.com,Suspicious Package Addressed to CNN’s Atlanta Headquarters Intercepted at Post Office
ktla.com,Dodgers Fans Hold Onto Hope as the Boys in Blue Keep Fighting in World Series Game 5
ktla.com,Armed Father Kills Masked Gunman During Shootout at McDonald’s in Alabama
ktla.com,2 Drivers Killed in Violent Head-on Crash in Antelope Valley
ktla.com,Contentious Inglewood Election Pits Mayor Against Clergyman
ktla.com,"Trump Calls ‘Fake News Media’ the ‘Enemy’ in Wake of Mass Shooting, Bomb Plot"
ktla.com,Heal the Bay Holds ‘Save the Rain’ Rally in Favor of Measure W
ktla.com,"Alhambra Man, Woman Identified as Couple Captured in Yosemite Proposal Photo"
ktla.com,Plane With 188 People Aboard Crashes into Sea Just Minutes After Takeoff From Indonesia
ktla.com,"Suspected Killer Who Shot, Ran Over His Victim in Woodland Hills Is Detained in Germany: LAPD"
ktla.com,Migrant in Second Caravan Killed in Clashes With Authorities Near Guatemala-Mexico Border
ktla.com,Small Plane Crashes on 101 Freeway in Agoura Hills; Lanes Fully Reopen: CHP
ktla.com,Chaos Erupts After UC Irvine Cancels Concert on Campus; Police Investigating Gun Sighting
ktla.com,"Nevada’s Famous Pimp, Dennis Hof, Expected to Win Election Despite His Death"
ktla.com,Authorities Search Malibu Creek State Park for Evidence Following Burglary Suspect’s Arrest
ktla.com,Baby Trump Balloon Makes L.A. Stop Outside Convention Center
ktla.com,Central American Migrants in Caravan Continue Trek to U.S. Despite Threats From Trump
ktla.com,93 More Women Accuse USC Gynecologist of Sexual Misconduct; Attorney Calls for Investigation by State AG
ktla.com,O.C. Surgeon Charged With Sexually Assaulting 5 Additional Victims; Girlfriend Connected to 3 Assaults
ktla.com,Pompeo Warns Saudi Prince His Future as King in Peril Over Khashoggi: Source
ktla.com,Trump Threatens to Use Military to Close Border Over Caravan of Central American Migrants Heading to U.S.
ktla.com,Officials Euthanize Mountain Lion Cub Who Wandered Into NorCal Bakery
ktla.com,State Regulators Push Ahead With Plan to Allow Weed Home Deliveries in California Cities Where Dispensaries Are Banned
