source,title
kwch.com,"iPads, Macs get new screens as Apple pushes creativity"
kwch.com,"When to turn the clocks back in 2018, ending Daylight Saving time?"
kwch.com,"Gum, bottled water, pizza bagels want to be called 'healthy'"
kwch.com,"Wichita State to kick-off basketball season with bonfire, pep rally"
kwch.com,"3 Indiana children struck, killed by truck at bus stop"
kwch.com,"USD 259 unveils upgrades to ""Speak Up"" program"
kwch.com,Official: Pipe-bomb suspect had hit list of targets
kwch.com,Taliban: 5 freed from US military prison now in Qatar office
kwch.com,6-year-old mini Mahomes turning heads
kwch.com,One hurt in S. WIchita shooting
kwch.com,Khashoggi's fiancee calls on Pres. Trump to prevent 'cover-up'
kwch.com,Brother: Indians died in Yosemite fall while taking selfie
kwch.com,Shockers to host exhibition against Catawba College
kwch.com,Pres. Trump to visit a Pittsburgh scarred by violence at synagogue
kwch.com,"US sending 5,200 troops to border, double Syria deployment"
kwch.com,Previous flight of crashed Lion Air jet terrified passengers
kwch.com,Man arrested on suspicion of attempted murder
kwch.com,Gusty winds and MUCH cooler temps today
kwch.com,Trump: End birthright citizenship for some US-born babies
kwch.com,"Markets Right Now: Stocks sink again, extending dismal month"
kwch.com,Kansas troops headed to U.S.-Mexico border
kwch.com,Video shows school bus swept away by floodwaters
kwch.com,Where's Shane? Romesburg Haunted Maze
kwch.com,Illinois officer dies after falling 50 feet during chase
kwch.com,Suspect in deadly hoax call to change plea on federal court
kwch.com,FBI says suspicious parcel was addressed to CNN in Atlanta
kwch.com,MBB: Shockers ink four-game series with Oklahoma State
kwch.com,Andover City Council decision could delay construction on new high school
kwch.com,NJ sending training teams to centers amid fatal outbreaks
kwch.com,The Latest: Feds want no bond for pipe-bomb suspect
kwch.com,Police halt 2nd migrant group trying to enter Mexico
kwch.com,Russian held as agent studied US groups' cyberdefenses
kwch.com,Russian minister warns Europe over US exit from nuclear pact
kwch.com,$1.3 million in lottery prizes unclaimed in Kansas
kwch.com,No charges filed in KBI investigation involving Phillips County Sheriff's Office
kwch.com,Statewide survey: Kelly holds slight lead over Kobach in governor's race
kwch.com,Blind customers sue Walmart over self-service accessibility
kwch.com,K-State athlete dies of rare illness
kwch.com,Venice inundated by exceptional tide; flooding hits Italy
kwch.com,Work on 45th and Hillside on track for completion in late November
kwch.com,Hubble Space Telescope working again after 3-week shutdown
kwch.com,Police chief: Race was a factor in Kentucky grocery slayings
kwch.com,Synagogue suspect at courthouse; survivors recall ordeal
kwch.com,Day care centers to open at schools after Hurricane Michael
kwch.com,Student dies after fight ends in gunfire at NC high school
kwch.com,Kansans choose Reese's Peanut Butter Cups as top Halloween candy
kwch.com,"Trump says media is 'Enemy' after shooting, bomb plot"
kwch.com,Suspicious package addressed to CNN intercepted at Atlanta post office
kwch.com,Newton family makes change after stranger walks into home in middle of night
kwch.com,New renderings released of downtown baseball stadium
kwch.com,Next cold front arrives
kwch.com,Pres. Trump faces complaints that new Iran sanctions are too weak
kwch.com,"Update: Police find stolen inflatable colon in KC, Mo."
kwch.com,Indonesia says survivors unlikely from Lion Air plane crash
