source,title
kwtx.com,"James ""Whitey"" Bulger, Boston gangster, found dead in prison at 89"
kwtx.com,Texas dragging death killer 1 step closer to execution
kwtx.com,Big 12 accepts report of independent review of BU
kwtx.com,Local couple wins $500K in suit over land lost to I-35 expansion
kwtx.com,Central Texas man pleads not guilty to drug distribution charges
kwtx.com,"Gum, bottled water, pizza bagels want to be called 'healthy'"
kwtx.com,Taliban: 5 freed from US military prison now in Qatar office
kwtx.com,Official: Pipe-bomb suspect had hit list of targets
kwtx.com,Khashoggi's fiancee calls on Pres. Trump to prevent 'cover-up'
kwtx.com,Brother: Indians died in Yosemite fall while taking selfie
kwtx.com,Local backup emergency communications center poised for upgrades
kwtx.com,Police say missing 2-year-old's clothing found in dumpster near park
kwtx.com,Pres. Trump to visit a Pittsburgh scarred by violence at synagogue
kwtx.com,Previous flight of crashed Lion Air jet terrified passengers
kwtx.com,"US sending 5,200 troops to border, double Syria deployment"
kwtx.com,Trump: End birthright citizenship for some US-born babies
kwtx.com,Three more Texas city leaders get prison for corruption
kwtx.com,Don't let meth disguised as Sweet Tarts 'trick' you on Halloween
kwtx.com,Man pleads guilty in deadly shooting near local cemetery
kwtx.com,Synagogue massacre defendant appears in court in wheelchair
kwtx.com,Central Texas doctor to be arraigned on federal child porn charge
kwtx.com,NJ sending training teams to centers amid fatal outbreaks
kwtx.com,McLennan County: Data gathered from cities for emergency plan update
kwtx.com,UMHB remains #2 in national polls
kwtx.com,Russian minister warns Europe over US exit from nuclear pact
kwtx.com,Blind customers sue Walmart over self-service accessibility
kwtx.com,Charlie Brewer's status uncertain against Oklahoma State
kwtx.com,"Coryell County still assessing storm, flood damage"
kwtx.com,Day care centers to open at schools after Hurricane Michael
kwtx.com,2nd migrant group seems set for new try to push into Mexico
kwtx.com,Cowboys fire offensive line coach
kwtx.com,2 injured with burns after explosion levels Central Texas home
kwtx.com,Multiple agencies searching for missing Bryan 2-year-old
kwtx.com,Police: Student shoots fellow student at NC high school
kwtx.com,"Students at one local school could go, but they couldn’t flush"
kwtx.com,Killeen: Shred Day gives safe and secure disposal option
kwtx.com,Indonesia says survivors unlikely from Lion Air plane crash
kwtx.com,Pres. Trump faces complaints that new Iran sanctions are too weak
kwtx.com,Police chief: Race was a factor in Kentucky grocery slayings
kwtx.com,Central Texas Heroes: Leatherneck Run
kwtx.com,Reward offered in search for local man’s missing service dog
kwtx.com,Bomb suspect set for Florida court appearance
kwtx.com,Man arrested in Central Texas in death of Nebraska man found in street
kwtx.com,Grieving family collects blankets for needy after toddler’s death
kwtx.com,"Saudi, Turkish prosecutors discuss Khashoggi killing probe"
kwtx.com,No trials in Texas biker fight until new prosecutor starts
kwtx.com,Indonesia says no survivors from plane crash
kwtx.com,Video shows Central Texas school bus swept away by floodwaters
kwtx.com,Police convince local man pointing gun at himself to surrender
kwtx.com,CNN Atlanta was mailed suspicious package
kwtx.com,Temple: Police investigating a questionable death
kwtx.com,1 person taken to hospital after house fire in Waco
kwtx.com,Red Sox beat Dodgers 5-1 in Game 5 to win World Series title
kwtx.com,Texas attorney general favored to win while under indictment
kwtx.com,Morning Buzz: Unplugged Retreat
kwtx.com,UMHB's Miller named ASC Co-Offensive Player of the Week
kwtx.com,Ironman 70.3 Waco arrives with thousands participating in triathlon
kwtx.com,"Deputies solve welding theft, help capture suspected gang members"
kwtx.com,Classroom Champions: Midway's Jeremy Bellert
kwtx.com,Suspect in custody in deadly Pittsburgh synagogue attack
kwtx.com,Local DPS trooper honored for talking woman out of suicide
kwtx.com,"MGM, plaintiffs agree to mediation in Vegas shooting cases"
kwtx.com,Three sought after local Walmart cashier conned
kwtx.com,KILLEEN: Police respond to shooting
kwtx.com,"Bonds total $150,000 for teen who led local officer on a chase"
kwtx.com,"In longest World Series game, Dodgers outlast Red Sox in 18"
kwtx.com,Swim portion of the 2018 Ironman triathlon cancelled
kwtx.com,New blow to GRU: More Russian military spies exposed
kwtx.com,"10 players suspended, coach on leave after incident during football game"
kwtx.com,Fort Hood: Battalion commander to attend service for Korean War soldier
kwtx.com,"Liver transplant recipient among 3,000 Waco Ironman competitors"
kwtx.com,Texas A&M upset in Starkville by Mississippi State
kwtx.com,Belton: Firefighters speak out about pay and staffing issues
kwtx.com,Cameron Yoe wins back the bell over Rockdale in our Marquee Matchup
kwtx.com,Killeen: Superheroes take over elementary school
kwtx.com,Officials say Austin boil-water notice could end by Sunday
kwtx.com,San Antonio Archdiocese removes priest accused of sex abuse
kwtx.com,Ashes of LGBTQ movement symbol Matthew Shepard laid to rest
kwtx.com,"WACO: 4 yr old found, police need help to find parents"
kwtx.com,UMHB wins in blowout on homecoming
kwtx.com,Waco: Man arrested after chase pleads guilty in firearms transport case
kwtx.com,Surge of water from dam release causes widespread flooding
kwtx.com,Homeless residents help owners of burned-out Central Texas wood shop
kwtx.com,Boat capsizes as cattle herded to higher ground; 2 men rescued
kwtx.com,CTC annual haunted house/fall carnival open
kwtx.com,Fort Hood: Thousands attend Operation Phantom Warrior Salute event
kwtx.com,Shooting at local convenience store sends one to local hospital
kwtx.com,Central Texas flooding could affect mail delivery
kwtx.com,Man wanted in Kansas shooting arrested in Central Texas
kwtx.com,"Police find stabbing victim in vehicle near local park, schools"
kwtx.com,Brady's Friday Morning FastCast
kwtx.com,"In final debate Cruz, O'Rourke cite taxes, immigration"
kwtx.com,"No Mega Millions winner, jackpot climbs to $1.6 billion"
kwtx.com,Midway grad back in the octagon for 2nd pro fight
kwtx.com,Ex-Central Texas grain company bookkeeper agrees to plea deal
kwtx.com,Cattle rescued from field as Central Texas river rises
kwtx.com,Sheriff: Stolen truck crashes into area deputy’s vehicle during chase
kwtx.com,Flooding still an issue in parts of Central Texas
kwtx.com,Execution date set for local man who killed 3 over failing marriage
kwtx.com,Here are the winning numbers for Tuesday's Mega Millions $667 million prize
