source,title
kxan.com,UT student groped while walking in West Campus
kxan.com,"FACT CHECK: Texas voting machines are old, not switching votes"
kxan.com,"3 siblings struck, killed by truck at bus stop in Indiana"
kxan.com,Northbound lanes of I-35 near William Cannon closed after two semi-trucks crash
kxan.com,City of Georgetown wins $1 million to help develop 'virtual power plant'
kxan.com,APD seeking help tracking down package thief in northeast Austin
kxan.com,Trump to visit a Pittsburgh scarred by violence at synagogue
kxan.com,Brother: Indians died in Yosemite fall while taking selfie
kxan.com,Search for witnesses after one killed in crash in Liberty Hill
kxan.com,Austin man found guilty of killing girlfriend's 2-year-old girl
kxan.com,Area law enforcement increase security after synagogue shooting
kxan.com,The Latest: President Donald Trump will visit Pittsburgh
kxan.com,"One dead in crash off SH 71 in Lakeway, TSCO and DPS investigating"
kxan.com,Fact check on reports of Texas voting machines switching votes
kxan.com,"TxDOT revamps recruiting efforts, tackles ‘unconscious bias'"
kxan.com,Former Austin Mayor wonders if city water treatment needs expanding
kxan.com,"LCRA to provide $200,000 for Hill Country flood recovery"
kxan.com,Central Texas blood bank transforms into Hogwarts for Halloween
kxan.com,OU coach not interested in the NFL right now
kxan.com,COTA pulls funding from anti-stadium group after controversial image
kxan.com,"Woman hit, killed by semi truck on I-35 near US 183"
kxan.com,"After the boil water notice, the City Manager wants the utlity to put together an in-depth review of operations"
kxan.com,"Pentagon sending 5,200 troops to secure border"
kxan.com,Flood victims say it'll take months for lives to return to normal
kxan.com,"At the moment, Texas remains in control of Big 12 fate"
kxan.com,How old is cacao? New research pushes back date
kxan.com,Satellite shows murky Colorado River floodwaters reaching Gulf
kxan.com,Lawsuit filed after 18-wheeler hits Bastrop ISD bus
kxan.com,Austin ISD asks state for larger class sizes at two schools
kxan.com,Young Texas girl receives gift from her favorite UPS delivery lady
kxan.com,State of Texas: Tracking early voting turnout by party history
kxan.com,"Poll: Cruz leads O'Rourke by 5 points, Gov. Abbott ahead by 14"
kxan.com,Mystery illness paralyzing Central Texas children
kxan.com,Wait times for citizenship applications stretch to 2 years
kxan.com,Red Sox win 4th World Series in 14 years
kxan.com,Two hurt when car crashes into tree in south Austin
kxan.com,An inside look at the decisions behind Austin's boil water notice
kxan.com,Shalom Austin holds vigil for peace and healing after Pittsburgh shooting
kxan.com,AFD: South Austin house explosion caused by natural gas build-up
kxan.com,"Pot, property values are focus of upcoming federal trial"
kxan.com,City of Austin lifts boil water notice; restrictions still in place
kxan.com,Mom says child disappeared from stroller at College Station park
kxan.com,'In one day' safety of longtime Jewish enclave shattered
kxan.com,Many of bomb suspect's conspiracy theories tracked Trump's
kxan.com,Indonesia says survivors unlikely from Lion Air plane crash
kxan.com,Relief fund started for Burnet County flood victims
kxan.com,Time off for workers to vote? Here's what Texas and other states say
kxan.com,"Reports planned on what went wrong, right during boil water situation"
kxan.com,Texas' comeback bid falls short in 38-35 loss to Oklahoma State
kxan.com,Synagogue attack shatters safety of longtime Jewish enclave
kxan.com,Christmas cookie-flavored Blue Bell arrives in time for Halloween
kxan.com,Austin family transforms home into Harry Potter's Diagon Alley
kxan.com,The Latest: South Dakota inmate makes joke during execution
kxan.com,Bomb scare rattles those touched by past political violence
kxan.com,Synagogue massacre defendant appears in court in wheelchair
kxan.com,Learn more about who the Pittsburgh synagogue shooting victims were
kxan.com,Williamson County deputies have found missing man last seen in Hutto
kxan.com,APD and CSU investigating skeletal remains found in south Austin
kxan.com,Small fire forces partial evacuation at east Austin nursing home
kxan.com,"Adopted woman reunited with biological mom, sisters after 60 years"
kxan.com,Police: Missing woman found after asking community for help
kxan.com,More Than the Score crew talking Longhorns after loss to OSU
kxan.com,More police patrolling downtown during busy weekend before Halloween
kxan.com,FBI says suspicious parcel was addressed to CNN in Atlanta
kxan.com,Longhorns take a tumble in the polls after Oklahoma State loss
kxan.com,"After 24 years, Washington state charter school law stands"
kxan.com,Chip Roy and Joseph Kopser on immigration and healthcare
kxan.com,Program helping first-time moms increases influence in Texas
kxan.com,Longhorns ranking on the line at Oklahoma State
kxan.com,"An Austin food truck will win $10,000 at Trucklandia this weekend"
kxan.com,Texas on the road at Oklahoma State
kxan.com,South Dakota to carry out first execution since 2012
kxan.com,"Report: With 2 weather extremes, Texans urged to conserve water"
kxan.com,Crews responding to reported south Austin house explosion; 2 injured
kxan.com,The Latest: Florida man accused of sending mail bombs
kxan.com,Suspect in custody in deadly Pittsburgh synagogue attack
kxan.com,NYPD commissioner apologizes over mishandled 1994 rape case
kxan.com,Hate crime considered in Kentucky grocery shooting
kxan.com,Austin Water issues city-wide boil water notice
kxan.com,"Raikkonen wins USGP, Hamilton's championship celebration postponed"
kxan.com,85-year-old man missing in northwest Austin
kxan.com,"Boats, jet skis litter the Granite Shoals shoreline after flooding"
kxan.com,Austin Pets Alive needs foster homes as it prepares for flooding
kxan.com,Child rescued after Leander ISD bus was swept away; driver arrested
kxan.com,Man rescued after going over Starcke Dam and floating downstream
kxan.com,Graveyard Point residents pack up before Lake Travis floods homes
kxan.com,"LIVE BLOG: Colorado, Llano River flooding updates"
kxan.com,"List of evacuations for 'disastrous' Llano, Colorado River flooding"
kxan.com,Driver killed after bridge beams fall onto I-35 in Salado
