source,title
latimes.com,Apple unveils lighter MacBook Air and revamped iPad Pro
latimes.com,These Orange County supermoms weren't very politically active. Now they're a major force fighting Trump in the midterm election
latimes.com,"When a woman wants an abortion but can’t get it, the children she already has suffer the consequences"
latimes.com,Ben Silverman's Propagate acquires Electus — his former shop — and a stake in Artists First management company
latimes.com,A brazen job scam exposes an employment crisis in India
latimes.com,The rise and fall of Megyn Kelly and what it says about the state of the media
latimes.com,"'Whitey' Bulger, the notorious Boston mobster found secretly living in Santa Monica, dies at 89"
latimes.com,Cartoon Network is opening its first hotel
latimes.com,A chat with Kathleen Zellner — the attorney who has 'Making a Murderer' devotees talking
latimes.com,Anti-Semitic incidents are surging across the U.S. Here are the numbers
latimes.com,Body found in trash bin at Anaheim condo complex prompts homicide investigation
latimes.com,"Police search for man suspected of beating, stabbing an 89-year-old having breakfast with church group"
latimes.com,"Disney's Cars Land at Halloween, where weird is welcome and the characters find new storylines"
latimes.com,Lawsuit seeks to overturn plan that would allow taller buildings along the Metro Expo Line
latimes.com,"In Georgia gubernatorial race, Stacey Abrams has a real chance to make history"
latimes.com,Keep an eye on California's down-ballot races — they could shape the state's politics and policy for years to come
latimes.com,Review: Phil Collins is back on the road. But does he know why?
latimes.com,Metrolink train crashes into bus stalled on tracks in San Bernardino; no serious injuries reported
latimes.com,Is winter coming for Southern California's housing market? Sales are falling and price cuts are more common
latimes.com,"After the Tree of Life shooting, my children will grow up less secure than their parents"
latimes.com,"Cities in north Orange County step up with housing for homeless, with Santa Ana leading the way"
latimes.com,'Global warming is nonsense' and the 'tax scam is a massive middle finger' to families: House candidates on the issues
latimes.com,Angels hire Doug White as pitching coach
latimes.com,Investigation into source of suspicious device in Pasadena led to arrest of Glendale man on drug warrants
latimes.com,"If other countries can balance human rights and border security, so can the United States"
latimes.com,Here are the candidates running for statewide office in California
latimes.com,"In deepest red Orange County, a blue flame of hope flickers in Newport Beach"
latimes.com,Ava DuVernay plans to make Prince film with 'love and great care'
latimes.com,"Russia's only aircraft carrier, in port for upgrades, is damaged in dock accident"
latimes.com,Suit says New Hampshire lawmaker struck partner in porn film project
latimes.com,"Lakers falter again in the stretch, losing to Minnesota 124-120"
