source,title
maannews.com,"It's a New Era, But China's Balancing Act Will Fail in the Middle East"
maannews.com,"Japan funds new classrooms, solar energy system projects in Ramallah"
maannews.com,"WHO: 93% of the world's children breathe toxic, polluted air every day"
maannews.com,"Erekat: 'Israel plots to separate Gaza from West Bank, East Jerusalem'"
maannews.com,EU launches 'Know Europe' competition across 80 West Bank schools
maannews.com,PCC decides to suspend recognition of Israel
maannews.com,Israel demolishes house near Jerusalem leaving family homeless
maannews.com,Ashrawi: 'Israel's deliberate killing of children is a war crime'
maannews.com,"Israeli forces detain 17 Palestinians, including minor"
maannews.com,Australia and Palestine-Israel: The threat of the far right
maannews.com,"Palestinian killed, dozens injured during Gaza's 14th naval march"
maannews.com,Israel releases detained Palestinian sisters
maannews.com,MOH: 80 Palestinians injured during naval march in Gaza
maannews.com,Funeral processions of killed Palestinian minors commence in Gaza
maannews.com,"Israel levels 33 dunams, uproots 550 trees in Hebron"
maannews.com,Israel sentences hunger-striking Palestinian prisoner to one year
maannews.com,3 minors among 21 Palestinians detained by Israeli forces
maannews.com,In video - Israeli settlers prevent entry of goods into Gaza
maannews.com,Israeli airstrike kills 3 Palestinian minors in Gaza
maannews.com,Palestinian prisoner refuses to drink on 57th day of hunger strike
maannews.com,"Israel approves 20,000 settlement units in Maale Adumim"
maannews.com,Israeli settler attacks 2 Palestinians in Nablus
maannews.com,In video - Israeli settlers seize Palestinian homes in Hebron
maannews.com,High school near Gaza evacuated due to rocket remains
maannews.com,"Indonesian plane crashes with 189 on board, no survivors expected"
maannews.com,"Israeli airstrikes damage buildings, including hospital in Gaza"
maannews.com,"Israeli bulldozers raze, level lands in Gaza"
maannews.com,In video - Israel launched over 80 airstrikes across Gaza
maannews.com,In video - Funeral procession of slain Palestinian father commences
maannews.com,Nearly 100 airstrikes - Islamic Jihad declares ceasefire with Israel
maannews.com,Israeli forces kill Palestinian father in protests near Ramallah
maannews.com,Israeli forces deliver summon notice to Palestinian youth
maannews.com,"Israeli forces open fire, injure Palestinian farmer in Gaza"
maannews.com,PLO Central Council to convene in Ramallah City
maannews.com,World Bank increases allocations to Palestine to $90 million
maannews.com,Schools suspended in Gaza due to Israeli airstrikes
maannews.com,Total number of Palestinians killed since Friday rises to 6
maannews.com,"Two Palestinians shot, killed by Israel at eastern borders of Gaza"
maannews.com,Israeli forces detain 5 Palestinians across West Bank
maannews.com,"5 Palestinians killed, hundreds injured during Gaza protests"
maannews.com,Ramallah Council of Churches condemns Israeli assault of Coptic monks
maannews.com,3 Israeli soldiers injured in clashes near Ramallah
maannews.com,Injuries reported as Israel suppresses weekly Kafr Qaddum march
maannews.com,"Palestinian killed, 3 injures in Gaza explosion"
maannews.com,Israeli settlers steal Palestinian olive harvest in Nablus
maannews.com,ICC prosecutor: Transfer of occupied population constitutes war crime
maannews.com,In video - Israel detains 18-year-old Palestinian at Khan al-Ahmar
maannews.com,Israel measures family home of Palestinian prisoners for demolition
maannews.com,Israel places Addameer coordinator under administrative detention
maannews.com,"Knesset member, dozens of Israeli settlers storm Al-Aqsa"
maannews.com,Israeli forces hold 100 Palestinian athletes inside stadium
maannews.com,Israel seals off entrance to East Jerusalem neighborhood
maannews.com,Israeli settlers uproot hundreds of grape trees near al-Khader
maannews.com,Palestinian succumbs to wounds after brutal assault by Israeli forces
maannews.com,Mladenov condemns attack killing Palestinian mother
maannews.com,Israel approves $6 million settlement expansion in Hebron City
maannews.com,"Israeli settlers uproot dozens of olive trees, raze land in West Bank"
maannews.com,"Israel seals off, declares Khan al-Ahmar closed military zone"
maannews.com,American student still detained by Israel for BDS links
maannews.com,"Israeli forces detain 23 Palestinians, including woman, in West Bank"
maannews.com,Israeli settlers uproot dozens of olive trees in Bruqin village
maannews.com,"Trump set to meet with world leaders, including Israel's PM"
maannews.com,Merkel heads to Israel amid calls to halt demolition of Khan al-Ahmar
maannews.com,UK announces increase of aid support to UNRWA
maannews.com,Israeli forces suppress protest in Ramallah-area village
maannews.com,PPS: Israel detained 80 Palestinians from Hebron district in September
maannews.com,Israel orders evacuation of 4 Palestinian families in Jordan Valley
maannews.com,Trump to close PLO office in Washington
maannews.com,"Knesset approves law deducting funds to PA, Palestinian officials condemn approval"
maannews.com,Freedom Flotilla activist: 'Gaza needs to be remembered'
maannews.com,"Israeli forces kill 15-year-old Palestinian, injure dozens in Gaza"
maannews.com,Israeli settlers set house on fire in Hebron's Old City
maannews.com,Al-Quds Bard College Arts and Master's graduates ready to make change
maannews.com,"7 injured, 4 detained, including Israelis, at Khan al-Ahmar"
maannews.com,In photos - 3 Palestinians killed in Gaza laid to rest
maannews.com,Israel to transfer fuel shipments to Gaza's only power plant
maannews.com,Ministry of Education condemns Israeli plan regarding UNRWA
maannews.com,Real Madrid honors Ahed al-Tamimi at home stadium
maannews.com,Melania Trump ends four-state tour of Africa in Cairo
maannews.com,"Dead Sea nature reserve blazes, 3 Palestinians detained"
maannews.com,WHO: Israeli restrictions major obstacle to health access for Gazans
maannews.com,Qatar pledges $150 million in aid to Gaza
maannews.com,Solidarity buses to set off towards Khan al-Ahmar
maannews.com,Israeli settler attacks Palestinian child in Hebron
maannews.com,Shooting attack near illegal settlement leaves 2 Israelis dead
maannews.com,Erekat: 'No one can remove refugees from the negotiations table'
maannews.com,BDS win: 15 artists cancel performances in Israel's Meteor Festival
maannews.com,Clashes erupt during Israeli raids on West Bank areas
maannews.com,"Israeli forces shoot, injure 13-year-old Palestinian in Kafr Qaddum"
maannews.com,UN Guterres: 4 proposals to improve Palestinian protection
maannews.com,UK affirms commitment of continued support to UNRWA
maannews.com,In video - Israeli settlers storm Hebron-area village
maannews.com,Israel extends detention of Palestinian woman on day of release
maannews.com,Merkel: 'Germany is making efforts to advance Israel-Gaza deal'
maannews.com,Israel to remove UNRWA to 'end lie of Palestinian refugee problem'
maannews.com,Israeli forces kill 78-year-old Palestinian in central Gaza
maannews.com,Netanyahu accuses Abbas of 'choking flow of funds to Gaza'
maannews.com,Israeli forces detain 5 Palestinians during clashes in Beit Ummar
maannews.com,PCBS: Illiteracy rate in Palestine one of the lowest in the world
maannews.com,In video - Israeli forces assault Muslim worshipers at Al-Aqsa
