source,title
macrumors.com,Apple Releases tvOS 12.1 Update for Fourth and Fifth-Generation Apple TV
macrumors.com,"Apple Updates Shortcuts App With New Weather, Alarm, Conversion and Photos Options"
macrumors.com,New 11 and 12.9-Inch iPad Pro Models Have No Headphone Jack
macrumors.com,Apple's New iPad Pro Models Ship With New 18W USB-C Power Adapter
macrumors.com,Apple Launches New USB-C Accessories for USB-C iPad Pro Models
macrumors.com,"New Apple Pencil, Smart Keyboard Folio, and Smart Folio Accessories Now Up for Pre-Order"
macrumors.com,Apple Quietly Announces AMD Radeon Pro Vega Graphics Options Coming to MacBook Pro
macrumors.com,Apple Quietly Eliminates Rose Gold 12-Inch MacBook
macrumors.com,Apple Announces New Magnetic Apple Pencil Featuring Tap Gestures and Wireless Charging
macrumors.com,Leaked 2018 iPad Pro Case Render Depicts TrueDepth Camera Built into Slimmer Bezel [Update: Fake]
macrumors.com,"Apple Announces New Space Gray Mac mini With 4-Core or 6-Core Intel Processor and Up to 64GB RAM, Starting at $799"
macrumors.com,2018 iPad Pro Hands-On Impressions: 'Might Be the Truest Embodiment of a Tablet Yet'
macrumors.com,"Apple Highlights Mac Mini Use in Live Concerts, Theater, and Data Centers"
macrumors.com,Apple's October 2018 Media Event: Spoiler-Free Video Stream
macrumors.com,"Apple Store Expansion in China Said to Have Slowed Due to Red Tape, Fraud, and Other Factors"
macrumors.com,Apple Shares Full Video of Today's iPad and Mac-Centric Event
macrumors.com,WeTransfer Relaunches Mobile File-Sharing App as 'Collect'
macrumors.com,"Apple Online Store Lists Blackmagic eGPU 'Pro', Available Late November for $1,199"
macrumors.com,Twitter May Soon Remove 'Likes' in Ongoing Effort to Promote Healthy Conversations
macrumors.com,Apple Watch Series 4's ECG Feature Will Work Internationally When Set to U.S. Region
macrumors.com,Apple Store Down Ahead of Today's Event in New York City
macrumors.com,Camera Comparison: iPhone XR vs. iPhone XS Max
macrumors.com,"Apple Pencil 2 Rumored to Feature Gesture Support, New Charging Method and Minimalistic Design"
macrumors.com,Newly Found Icon in iOS 12 Supports iPad Pro Redesign Rumors
macrumors.com,"What to Expect at Apple's October 30th Event: New iPad Pros, Mac Mini, Low-Cost Retina Notebook and More"
macrumors.com,iPhone XR Just as Breakable as iPhone XS Based on SquareTrade Drop Test
macrumors.com,MacRumors Giveaway: Win a 'Side Winder' Cable Organizer for MacBook Pro or MacBook Air
macrumors.com,Sleek Concept Imagines New Mac Mini in Space Gray With Apple Display and Magic Keyboard With Touch Bar
macrumors.com,Halide Developers Enable Portrait Mode on iPhone XR for Objects and Pets
macrumors.com,First iPhone XR Orders Begin Arriving to Customers in Australia and New Zealand
macrumors.com,Review: Eve Aqua Brings HomeKit Automation to Your Irrigation Sprinklers
macrumors.com,"Snap Launches Snap Camera App for Mac With Twitch, Skype, and YouTube Integration"
macrumors.com,HomePod Launches in Spain and Mexico
macrumors.com,Shot on iPhone XR: Real-World Photos and Portraits With Depth Control From New York City
macrumors.com,Review: The ZENS Dual + Watch Wireless Charger Offers Versatile iPhone and Apple Watch Charging
macrumors.com,Tim Cook Calls for US Privacy Law to Protect Citizens From Growing 'Data Industrial Complex'
macrumors.com,"Anker Unveils Miniature 27-Watt USB-C Charger, Premium Smart Speaker, and Pocket Cinema"
macrumors.com,"Review: Kano's Harry Potter Coding Kit Teaches Kids to Code in a Fun, Engaging Way"
macrumors.com,iPhone XR Launch Day Continues Around the World
macrumors.com,Apple Stores in Thailand and Texas Planned for Grand Openings in November
macrumors.com,AT&T and WarnerMedia Announce Closure of Classic Movie Streaming Service 'FilmStruck'
macrumors.com,"iPhone XR Reviews Roundup: Best LCD Display Yet, Decent Single-Lens Camera, Excellent Performance and Battery Life"
macrumors.com,Italy Fining Apple 10M Euros for 'Dishonest Commercial Practices' Related to iPhone Throttling
macrumors.com,WhatsApp Announces Support for Sticker Packs
macrumors.com,Apple Highlights iPhone XR Reviews
macrumors.com,Kuo: iPhone XR Pre-Order Demand Over First Weekend Exceeded That of iPhone 8 and iPhone 8 Plus
macrumors.com,Apple Seeds Fifth Beta of tvOS 12.1 to Developers [Update: Public Beta Available]
macrumors.com,Qualcomm Says Apple is $7 billion Behind in Royalty Payments
macrumors.com,iPad Pro
macrumors.com,Apple Planning to Fix 'BeautyGate' Skin-Smoothing Camera Effect in iOS 12.1 Update
macrumors.com,Tim Cook Visits Europe Ahead of Brussels Privacy Conference
macrumors.com,Steve Carell to Star in Apple's Morning Show Drama Alongside Reese Witherspoon and Jennifer Aniston
macrumors.com,First Impressions From New iPhone XR Owners
macrumors.com,"Tim Cook: If Data Privacy Isn't Addressed, the Problem 'Gets So Large It May Be Impossible to Fix'"
macrumors.com,Apple Seeds Fifth Beta of macOS Mojave 10.14.1 to Developers [Update: Public Beta Available]
macrumors.com,A Day With the iPhone XR: Unboxing and First Impressions
macrumors.com,"Yahoo Agrees to Settlement Following Massive 2013 Data Breach, Including $50M Fund for Victims"
macrumors.com,"Shazam Informing Users About Apple Acquisition, Account Data Now Aligned With Apple's Privacy Policy"
macrumors.com,Google Follows in Apple's Footsteps With Free 4K Movie Upgrades and Cheaper Prices of $20 and Under
macrumors.com,"Phil Schiller on iPhone XR Display: 'If You Can't See the Pixels, at Some Point the Numbers Don't Mean Anything'"
macrumors.com,Happy 17th Birthday to Apple's Original iPod
macrumors.com,Apple Plans to Expand Uses of Haptic Touch on iPhone XR Over Time
macrumors.com,Human Curation Sets Apple News Apart From Algorithm-Focused News Sources Like Google and Facebook
macrumors.com,Google's Upcoming 'Night Sight' Mode for Pixel Phones Captures Remarkable Low-Light Photos
macrumors.com,"Kuo: New iPad Mini Coming as Soon as Next Week's Event, AirPower in Late 2018/Early 2019"
macrumors.com,Apple Seeds Fifth Beta of watchOS 5.1 to Developers
macrumors.com,Apple Identifies Issue With GasBuddy App Causing Some iPhones to Become Unresponsive
macrumors.com,Deals: eBay Debuts New 10% Off Sitewide Code and Best Buy Launches 2-Day Sale
macrumors.com,Billy Crudup and Gugu Mbatha-Raw Join Apple's Upcoming Morning News Drama
macrumors.com,Multiple iCloud Services Experiencing Issues
macrumors.com,Facebook Rolling Out Redesigned Messenger App With Simplified Interface and Customizable Chat Bubbles
macrumors.com,"Industry Group Representing Apple, Google, Amazon and Others Releases User Privacy Framework to Guide Policymakers"
macrumors.com,Nuance Discontinues Dragon Professional Individual for Mac
macrumors.com,"Apple Signs Lease for Large Manufacturing Facility in Milpitas, California"
macrumors.com,Stardew Valley for iOS Now Available Worldwide
macrumors.com,eBay Debuts New Smartphone Trade-In Program 'Instant Selling'
macrumors.com,October 2018 event
macrumors.com,Apple Stores
macrumors.com,'GrayKey' iPhone Unlocking Box No Longer Works After iOS 12 Update
macrumors.com,Apple Self-Driving Car Involved in Minor Collision on October 15
macrumors.com,Intel Says 10nm Chip Development is On Track
macrumors.com,Apple CEO Tim Cook Calls on Bloomberg to Retract Supply Chain Hack Story: 'There's No Truth to This'
macrumors.com,"Latest WhatsApp Update Adds iPhone XS Max Support, Hints at Future Dark Mode"
macrumors.com,Piper Jaffray
macrumors.com,Supermicro CEO Joins Cook in Calling for Bloomberg to Retract Supply Chain Hack Story
macrumors.com,This is Apple's 'Zombie Check' Tool Used to Reduce iPhone Repair Fraud
macrumors.com,Apple Invites Media to October 30th Event in New York City
macrumors.com,"Ember Temperature Control Mug Adds Support for Apple Health, Exclusive Colors Now Sold in Apple Stores"
macrumors.com,When You Can Pre-Order the iPhone XR in Every Time Zone
macrumors.com,Google Maps Can Now Help Users Find Electric Vehicle Charging Stations
macrumors.com,How to View Folder Sizes on Your Mac Using Finder
macrumors.com,Review: The Philips Hue Outdoor Lightstrip With HomeKit Integration Lights Up Your Backyard
macrumors.com,"Deals: Save $200 on 2018 MacBook Pro, $80 on 2017 iPad, $100 on iPad mini 4, and More"
