source,title
marketplace.org,"""The Facebook Dilemma"" documentary explores the company's global impact"
marketplace.org,Stephen Moore talks trade and Trump's economics
marketplace.org,5 things you didn’t know about the history of the Myers-Briggs system
marketplace.org,How companies use the Myers-Briggs system to evaluate employees
marketplace.org,IBM bets $34 billion on cloud computing with Red Hat purchase
marketplace.org,When the family business is the most famous basketball team in the world
marketplace.org,California voters to have their say on gas tax hike
marketplace.org,Coke earnings don't tell the whole tariff story for beverage suppliers
marketplace.org,Study finds many parents are not using 529 college saving plans
marketplace.org,Talking tax overhaul and Trumponomics with Stephen Moore
marketplace.org,Meet the fact-checkers trying to clean up Facebook
marketplace.org,The rekindling of fire lookout towers
marketplace.org,"As the midterm elections near, candidates weaponize mountains of cash"
marketplace.org,U.K. towns turn to criers to boost downtown fortunes
marketplace.org,The privacy debate is starting to pit tech against tech
marketplace.org,"Why Nobel Prize winner Paul Romer sees the economy as a ""huge innovation discovery machine"""
marketplace.org,She's a trainer who was schooled by dogs
marketplace.org,It's the beginning of the end of an era for German Chancellor Angela Merkel
marketplace.org,The women-led business whose real business is more women-led businesses
marketplace.org,Consumer spending increases again. How long will that last?
marketplace.org,Silver is the new gold
marketplace.org,"In an effort to save money, day care centers in New England are forming purchasing groups"
marketplace.org,When the family business is the Lakers
marketplace.org,Foreign infant milk formula still highly coveted in China 10 years after the melamine scandal
marketplace.org,Billionaire donations are driving midterm spending
marketplace.org,"A tale of two cities: How drag performers in Los Angeles and Moscow, Idaho, spend their money"
marketplace.org,Voting machines are totally hackable. But who's going to pay to fix them?
marketplace.org,For many grocery stores and pharmacies offering the flu shot is just a way to get you in the door
marketplace.org,Market volatility? Let's not worry like it's 1987
marketplace.org,What if the weakest link in election security is ... confidence?
marketplace.org,"With midterm elections just days away, candidates focus on health care"
marketplace.org,Game theory suggests the trade war could last a long time
marketplace.org,Saudi hopes for foreign investment dim after Khashoggi death
marketplace.org,Trump aims to lower drug prices by basing them off what other countries pay
marketplace.org,Former NFL player Marcellus Wiley on the economic realities of football careers
marketplace.org,"More students push up housing costs in Flagstaff, Arizona"
marketplace.org,"Town criers are back in Britain, and they're here to save retail"
marketplace.org,A long quest in Texas for a better voting machine
marketplace.org,Netflix to borrow an additional $2 billion to fund new shows
marketplace.org,California pot delivery businesses face digital disruption
marketplace.org,What kind of 'intelligent' is your artificial intelligence?
marketplace.org,Businesses attend Saudi conference despite questions around slain journalist
marketplace.org,Why lottery jackpots keep getting bigger
marketplace.org,Why RuPaul is the 'Queen of Queens'
marketplace.org,Why tariffs threaten to raise the cost of drinking water
marketplace.org,"With holiday shopping approaching, consumers weigh pocketbook issues"
marketplace.org,Toy manufacturers adjust to a post-Toys R Us world
marketplace.org,"If you want to retire your debt before you retire, be a man"
marketplace.org,"When it comes to the new tax law, lots of people just aren't feelin' it"
marketplace.org,Retaliatory tariffs could be a boon for U.S. food banks
marketplace.org,"Toys R Us is gone, but fret not, retailers say"
marketplace.org,"For RuPaul, ""drag is a miracle"""
marketplace.org,Millennials believe more money is the way to improve public education
marketplace.org,Weather and trade tensions worry tobacco farmers
marketplace.org,"As corporate earnings season rolls on, winners and losers emerge"
