source,title
mashable.com,"Apple Store is down, and you know what that means"
mashable.com,"Apple's iOS 12.1 update is coming Oct. 30, with Group FaceTime"
mashable.com,Apple unveils new MacBook Air with retina display
mashable.com,What to expect from Apple's iPad event in Brooklyn
mashable.com,Apple's Oct. 30 iPad and Mac event: live blog
mashable.com,The 747 that went to Burning Man: What really happened
mashable.com,Looking for cheap flights? These are the sites (and apps) you'll need to find the best deals.
mashable.com,"Apple's iPad Pro might get a redesign inspired by the old, boxier iPhone 5"
mashable.com,"Snap is still losing users, blames its Android app"
mashable.com,Twitter's cleanup efforts resulted in its biggest drop ever in monthly users
mashable.com,Amazon Echo Dot (2018) review: Alexa's gateway drug is more potent than ever
mashable.com,Global partnerships and human rights take center stage at this year’s Social Good Summit
mashable.com,Why 2018's 'Halloween' is the slasher movie made for the #MeToo era
mashable.com,These are the most incredible space photos of 2018
mashable.com,Dell's rugged notebooks get slimmer and a chip upgrade
mashable.com,Apple's subscription TV service might be coming sooner than you think
mashable.com,28 Halloween group costume ideas that are perfect for any squad
mashable.com,"Samsung still has no idea what to do with that foldable phone, report says"
mashable.com,Gifts for people who learned everything they know from watching period dramas
mashable.com,GLAAD reports a record-shattering year for LGBTQ people on TV
mashable.com,Let's talk about that last-minute twist in the end credits of 'Halloween'
mashable.com,Everything coming to Hulu this November
mashable.com,Everything coming to Netflix in November 2018
mashable.com,"'Halloween' opened with $77.5 million, the second highest ever for a horror movie"
mashable.com,"We officially have a Fat Bear Week champion, and she's glorious"
mashable.com,OnePlus 6T launch date moved because of Apple iPad event
mashable.com,"Apple sends invites to Oct. 30 event, new iPad Pros expected"
mashable.com,New Zealand Prime Minister Jacinda Ardern & Nobel Peace Laureate Leymah Gbowee join 2018 Social Good Summit lineup
mashable.com,"Columbus Day sales 2018: Macy's, Target, Amazon, and others have deals on 4K TVs, tablets, laptops, mattresses, clothing, and more"
mashable.com,"6 of the best Chromebooks: Comparing Google, HP, Asus, and more"
mashable.com,Donald Trump fist pumped on his way to a 9/11 memorial service and it's not going over well
mashable.com,"Emmy winner proposes to his girlfriend on stage, and it was adorable"
mashable.com,Donald Trump used a noticeably out-of-date photo to commemorate 9/11. Ugh.
mashable.com,"Tim Cook talks iPhones, Apple Watch, and then quickly gets out of the way at Apple event"
mashable.com,John Legend is the youngest ever to achieve EGOT status
mashable.com,"Look out, iPhone XS: A boatload of powerful Android phones are coming in October"
mashable.com,Uzo Aduba delivers a moving and passionate speech about her work with Heifer International
mashable.com,Here's all the milestones Tim Cook boasted about at the 2018 Apple Event
mashable.com,Save up to $200 on select Dell laptops (which are great for students) before the sale ends July 20
mashable.com,Shop 4K TVs by Sceptre on sale at Walmart — the 75-inch one is $850 off (!)
mashable.com,Let's bring back the super weird 1990 Rock the Vote campaign
mashable.com,"Bitdefender is offering its antivirus software for 60% off, the highest discount we've seen from them"
mashable.com,"1,600 men sign full page New York Times ad in support of Dr. Christine Blasey Ford"
mashable.com,All-girl engineer team invents solar-powered tent for the homeless
mashable.com,"Get a brighter, better, and bigger TV with this 65-inch LG OLED that's $800 off at Walmart"
mashable.com,Mari Copeny continues to fight for clean water and inspires other folks to stand up and speak up
