source,title
mobilemarketingmagazine.com,Far right social network taken offline following US synagogue shootings
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective RCS Campaign
mobilemarketingmagazine.com,Google pledges $25m towards creating 'good' AI
mobilemarketingmagazine.com,Freshworks launches AI engine aimed at enriching customer experience
mobilemarketingmagazine.com,UK media brands expand presence on Snapchat
mobilemarketingmagazine.com,Tech giants face new 'digital services' tax following UK budget
mobilemarketingmagazine.com,77 per cent of brands investing in in-app inventory
mobilemarketingmagazine.com,Twitter considering removing the 'like' button in effort to kickstart dialogue
mobilemarketingmagazine.com,"Xiaomi hits annual target two months early, shipping 100m phones"
mobilemarketingmagazine.com,Amazon has donated $100m in sales since 2013
mobilemarketingmagazine.com,Snapchat launches Snap Camera for desktop
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Use of Video
mobilemarketingmagazine.com,TikTok-owner Bytedance becomes world's most valuable internet startup
mobilemarketingmagazine.com,AnyMind secures $13.4m from LINE Corporation and Mirai
mobilemarketingmagazine.com,Yolt announces Wealthify app integration
mobilemarketingmagazine.com,IBM acquires Red Hat for $34bn
mobilemarketingmagazine.com,LoopMe secures $17m in additional funding
mobilemarketingmagazine.com,Snapchat announces further user loss as shares sink to a new low
mobilemarketingmagazine.com,Amazon’s underwhelming holiday projection hurts share price
mobilemarketingmagazine.com,BA investigation reveals additional victims of data breach
mobilemarketingmagazine.com,Pokémon Go introduces new ‘Adventure Sync’ mode to reward exercise
mobilemarketingmagazine.com,Dozens of Google employees sacked over sexual harassment
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Brand Campaign
mobilemarketingmagazine.com,"Apple boss Tim Cook fires shots at likes of Facebook, Google for 'weaponisation' of data"
mobilemarketingmagazine.com,Industry report places UK in pole position for AI investment
mobilemarketingmagazine.com,Mobile learning tool Quizlet reaches 50m monthly users
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Mobile-first Service
mobilemarketingmagazine.com,MEPs demand full audit of Facebook in wake of data breaches
mobilemarketingmagazine.com,Samsung sues brand ambassador for £1.25m for using an iPhone
mobilemarketingmagazine.com,It’s all about context
mobilemarketingmagazine.com,"Facebook fined £500,000 by UK information watchdog over Cambridge Analytica"
mobilemarketingmagazine.com,Alphabet shares fall after missing revenue estimates for Q3
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Travel & Tourism Campaign or Solution
mobilemarketingmagazine.com,Investment in OTT set to reach almost $130bn by 2023
mobilemarketingmagazine.com,"Rimmel to tackle beauty cyberbullying with backing of Rita Ora, Cara Delevingne"
mobilemarketingmagazine.com,Buzzfeed investigation uncovers massive ad fraud scheme
mobilemarketingmagazine.com,Is your app your business?
mobilemarketingmagazine.com,Honda enlists SoundHound to help on an in-car AI assistant
mobilemarketingmagazine.com,"Digital skills gap is still threatening UK growth, says BIMA"
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Cross-screen Campaign
mobilemarketingmagazine.com,Arsenal FC embraces tech with AI club bot
mobilemarketingmagazine.com,WhatsApp has been overflowing with fake news during Brazil election
mobilemarketingmagazine.com,"Oxford researchers expose how apps share data with likes of Google, Facebook"
mobilemarketingmagazine.com,Yahoo to pay $50m to settle data breach class action
mobilemarketingmagazine.com,Twitter's profitability rolls on despite active user slump
mobilemarketingmagazine.com,Viewpoint: Putting our power to good use
mobilemarketingmagazine.com,JICWEBS and TAG to align UK and US ad fraud measures
mobilemarketingmagazine.com,What the future holds for Apple Search Ads
mobilemarketingmagazine.com,MPs accuse government of not doing enough to tackle 'fake news'
mobilemarketingmagazine.com,BBC overhauls kids digital offerings with Bedtime Stories for smart speakers
mobilemarketingmagazine.com,Turner's Adult Swim launches 360° VR ad campaign to drive TV viewership
mobilemarketingmagazine.com,Facebook searching for security acquisition as Japan criticises data protection efforts
mobilemarketingmagazine.com,Lufthansa partners with IBM for Watson-powered interactive ad campaign
mobilemarketingmagazine.com,Amazon is accounting for 63 per cent of the US smart speaker market
mobilemarketingmagazine.com,Byron launches Facebook Messenger payment bot in its restaurants
mobilemarketingmagazine.com,"Rovio partners with Chicago Bulls for ""Angry Birds Eye View Cam"""
mobilemarketingmagazine.com,Instagram overtakes Snapchat in popularity with teens
mobilemarketingmagazine.com,"Movers and Shakers: Kelkoo, Journey Further and Equiis Technologies"
mobilemarketingmagazine.com,Facebook hires former UK deputy PM Nick Clegg as head of global affairs
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Automotive Campaign or Solution
mobilemarketingmagazine.com,Addison Lee wants to deploy self-driving cars on London roads by 2021
mobilemarketingmagazine.com,Pro-Brexit 'dark ads' campaign may have reached over 10m Brits on Facebook
mobilemarketingmagazine.com,UK marketing budget growth slows amid continued Brexit uncertainty
mobilemarketingmagazine.com,Taboola and Vivo partner to compete with Apple News
mobilemarketingmagazine.com,Dmexco 2018 - Exploring AI with Tealium
mobilemarketingmagazine.com,Have apps reached their sell-by date?
mobilemarketingmagazine.com,Facebook rolls out simplified Messenger 4
mobilemarketingmagazine.com,Leading ad exchanges make programmatic transparency pledge
mobilemarketingmagazine.com,Virgin Trains: RCS could impact app development
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Chatbot Solution
mobilemarketingmagazine.com,Snapchat names Tenjin as latest Mobile Measurement Partner
mobilemarketingmagazine.com,Consumers tend to look to Amazon first when searching for product information
mobilemarketingmagazine.com,New tech platform launches to get more women on stage at industry events
mobilemarketingmagazine.com,Apple App Store ads set to become a $2bn business by 2020
mobilemarketingmagazine.com,American Express and PayPal extend partnership to allow rewards points payments
mobilemarketingmagazine.com,eBay takes Amazon to court over alleged poaching of sellers
mobilemarketingmagazine.com,Facebook brings Instant Games to Groups and Lite
mobilemarketingmagazine.com,Samsung buys AI tech firm to help with 5G transition
mobilemarketingmagazine.com,Ticketmaster buys blockchain ticketing company
mobilemarketingmagazine.com,Android creator's Essential lays off 30 per cent of its workforce
mobilemarketingmagazine.com,Government lays out plans to modernise NHS services
mobilemarketingmagazine.com,Uber is piloting an on-demand staffing business
mobilemarketingmagazine.com,Dunkin' wants to see your best Halloween costumes on Instagram
mobilemarketingmagazine.com,Spotify Premium gets a redesign
mobilemarketingmagazine.com,Facebook is reportedly working on a TV video chat device
mobilemarketingmagazine.com,"The who, how and why of app install fraud"
mobilemarketingmagazine.com,2018 Awards Preview - Most Effective Programmatic Campaign
mobilemarketingmagazine.com,Wes Nichols joins Urban Airship board
mobilemarketingmagazine.com,Vodafone begins first full 5G trial in the UK
mobilemarketingmagazine.com,YouTube links up with Eventbrite to sell concert tickets below music videos
mobilemarketingmagazine.com,Uber brings a bunch of safety features to the UK and EMEA
mobilemarketingmagazine.com,YouTube changes what is deemed 'engagement' and 'conversion' on TrueView for action ads
mobilemarketingmagazine.com,Facebook accused of covering up video metric errors for more than a year
mobilemarketingmagazine.com,2018 Awards Preview – Most Effective Email Campaign
mobilemarketingmagazine.com,UK consumers are comfortable with AI if it means personalisation from brands
mobilemarketingmagazine.com,UK government gains support from HP and Centrica on IoT device security guidelines
mobilemarketingmagazine.com,Twilio to buy email technology firm SendGrid for $2bn
mobilemarketingmagazine.com,In-app advertising set for growth on the back of increasing brand demand
mobilemarketingmagazine.com,AppsFlyer surpasses $100m in annual recurring revenue
mobilemarketingmagazine.com,Apple streaming service could be available to device users for free
