source,title
nbcnews.com,Immigrant rights groups blast Trump's call to end birthright citizenship
nbcnews.com,"Top congressional leaders from both parties decline to join Trump in Pittsburgh, sources say"
nbcnews.com,How one scientist convinces skeptics that faith and climate action aren't at odds
nbcnews.com,Notorious mob boss Whitey Bulger found dead in prison
nbcnews.com,"Get the lead out of hair dyes, FDA orders"
nbcnews.com,Ask a nutritionist: Should I eat the same foods every day?
nbcnews.com,Woman declaring 'I'm white and I'm hot' fired from job after harassing two black women in North Carolina parking lot
nbcnews.com,Holocaust survivors shaken by Pittsburgh synagogue attack
nbcnews.com,"World's vertebrate population dropped by an average of 60 percent since 1970, WWF says"
nbcnews.com,China to allow 'strictly controlled' rhinoceros and tiger trade
nbcnews.com,Kristin Chenoweth on 'Wicked': 'It was life-changing'
nbcnews.com,How a right-wing troll and a Russian Twitter account created 2016's biggest voter fraud story
nbcnews.com,'Crazy Rich Asians' sequel to shoot in China
nbcnews.com,Venice streets under water in worst flooding in a decade amid deadly storms throughout Italy
nbcnews.com,California rent control initiative leaves communities of color split
nbcnews.com,"Couple died in Yosemite fall while taking selfie, man's brother says"
nbcnews.com,Aly Raisman calls for greater transparency from USA Gymnastics after sexual abuse scandal
nbcnews.com,German nurse Niels Hoegel goes on trial over 100 patient deaths
nbcnews.com,Trump wants to end birthright citizenship with an executive order
nbcnews.com,Pharrell Williams sends Trump cease-and-desist for playing 'Happy' at rally
nbcnews.com,N.J. sends in expert health team after 9 children die at facility
nbcnews.com,"Bullying sparked fatal shooting at NC high school, police say"
nbcnews.com,Facebook looks to recover from recent struggles with third-quarter earnings
nbcnews.com,Pittsburgh synagogue shooting took place in Mr. Rogers’ actual neighborhood
nbcnews.com,Pence sets off firestorm with campaign prayer by 'Christian rabbi'
nbcnews.com,Son charged with murder in deaths of his missing Illinois parents
nbcnews.com,Missing teen Jayme Closs' home burglarized the same day as funeral for parents
nbcnews.com,Soon you'll be able to check out at Walmart without going to the register
nbcnews.com,Steve Kornacki breaks down key midterm governor’s races
nbcnews.com,Three Indiana children boarding school bus killed by pickup truck
nbcnews.com,Lion Air passengers recall 'roller coaster' ride on doomed jet
nbcnews.com,Apple expected to unveil iPads with facial recognition
nbcnews.com,Some Pittsburgh residents want Donald Trump to stay away from their city
nbcnews.com,South Korea orders Japanese firm to pay for WWII forced labor
nbcnews.com,"One week out, Democrats still have a path to winning the Senate. But it's extremely narrow."
nbcnews.com,Fact check: Did Elizabeth Warren lie about her heritage?
nbcnews.com,South Korea asks U.S. for 'maximum flexibility' on Iran sanctions waiver
nbcnews.com,Americans really want to believe in alternative therapies for cancer
nbcnews.com,Video shows white woman harassing black women for no reason
nbcnews.com,GOP lawmaker says Trump administration to name anti-Semitism envoy soon
nbcnews.com,Pence: Supreme Court hasn't ruled on whether 14th amendment applies to undocumented
nbcnews.com,Inmate makes joke in last words before execution for killing South Dakota prison guard
nbcnews.com,Local Florida Republican Party office sprayed with gunfire
nbcnews.com,'Defying gravity': A Broadway star's unlikely journey from Wall Street to 'Wicked'
nbcnews.com,Snowboarding superstar Shaun White apologizes over 'Simple Jack' costume
nbcnews.com,Synagogue massacre suspect pushed caravan conspiracies far-right has embraced
nbcnews.com,Obama and Biden are on mission to win back swing state voters
nbcnews.com,"Home prices continue to cool, in a sign the housing market is slowing down"
nbcnews.com,Consumer confidence is at its highest level since 2000
nbcnews.com,Poll: Sinema leads McSally in Arizona Senate race
nbcnews.com,Sisters Tasha and Jordan Schwikert sue USA Gymnastics and USOC over Larry Nassar abuse
nbcnews.com,Progressive Democrats have a solution for America's distrust of politicians: Stop accepting corporate PAC money
nbcnews.com,"In the dark corners of white nationalism, the talk is of Trump"
nbcnews.com,"Gillum says Trump, Republicans providing cover for violent extremists"
nbcnews.com,U.S. government broadcaster to punish workers for Soros 'Jewish multi-millionaire' report
nbcnews.com,Democrats launch first multi-state Spanish language TV ad to turn out Latino vote
nbcnews.com,Trump calls Gillum a 'thief' without evidence. What's the federal investigation all about?
nbcnews.com,Filipino cultural schools help bridge Filipino Americans and their heritage
nbcnews.com,First Read's Morning Clips: Obama and Biden on a mission
nbcnews.com,"Ministers interrupt Sessions, are removed from religious freedom conference"
nbcnews.com,Bullying led to Butler high school fatal shooting
