source,title
newrepublic.com,America’s First ‘Fake News’ Crisis
newrepublic.com,"Enter, stage right: President Trump, announcing the end of birthright citizenship."
newrepublic.com,Mike Pence got a rabbi who is really a Christian to pray for synagogue dead.
newrepublic.com,If Trump Fires Mueller
newrepublic.com,Shepard Smith’s voice-of-reason schtick is wearing thin.
newrepublic.com,When Prosecuting Far-Right Violence Fails
newrepublic.com,The Climate Is Doomed Without Brazil
newrepublic.com,Are Hurricanes Changing How We Talk?
newrepublic.com,The Promise of Polarization
newrepublic.com,Trump’s birthright citizenship move is the latest example of his embrace of political theater.
newrepublic.com,"Yes, Trump Is Culpable"
newrepublic.com,"Report: The vast majority of Trump’s day is “unstructured” TV watching, tweeting and phone chats."
newrepublic.com,Kellyanne Conway links synagogue massacre to “anti-religiosity” of “late-night comedians.”
newrepublic.com,Trump’s Extreme (and Extremely Boring) U.S. Tour
newrepublic.com,Lou Dobbs is too extreme even for Fox Business News.
newrepublic.com,Brazil’s next president is a far-right extremist.
newrepublic.com,Angela Merkel prepares to exit politics.
newrepublic.com,"Whitey Bulger, legendary mobster who spent 16 years on the lam, is killed in prison."
newrepublic.com,How Would a Good Leader Respond to Jamal Khashoggi’s Killing?
newrepublic.com,The Growing Inequality of Civil Rights in Trump’s America
newrepublic.com,Is the Democratic Party Progressive Enough for Muslims?
newrepublic.com,The Essential Difference Between Bernie Sanders and Elizabeth Warren
newrepublic.com,Can State Courts Save the Liberal Agenda?
newrepublic.com,A man has been arrested in the massacre at a Pittsburgh synagogue.
newrepublic.com,America’s Relentless Suppression of Black Voters
newrepublic.com,The BBC’s Best Drama in Years Comes to Netflix
newrepublic.com,Are Chinese and Russian spies getting the goods from Trump’s iPhone?
newrepublic.com,White nationalist Richard Spencer accused of assault by his wife.
newrepublic.com,The Moral Dilemma of Jamal Khashoggi’s Killing
newrepublic.com,"Sheldon Whitehouse’s Frustrating, Illogical Remarks on D.C. Statehood"
newrepublic.com,Newt Gingrich is counting on Brett Kavanaugh to protect Donald Trump from investigation.
newrepublic.com,Prominent right-wingers spread false-flag conspiracy theories about bombing attempts.
newrepublic.com,Trump is considering a migrant ban on the southern border.
newrepublic.com,A Super Typhoon Is Pummeling the United States
newrepublic.com,Did anyone not see this Megyn Kelly fiasco coming?
newrepublic.com,"Despite the president’s theatrical tweets, authorities arrest a mail-bombing suspect."
newrepublic.com,Trump hopes to prevaricate his way to victory with immigration hysteria.
newrepublic.com,How Colleges Fail Young Trump Supporters
newrepublic.com,Bible museum acknowledges some of its prize holdings are forgeries.
newrepublic.com,Commerce Secretary Wilbur Ross has another conflict of interest that needs investigating.
newrepublic.com,Michael Avenatti’s “better be a white male” comment damages his presidential bid.
newrepublic.com,"As wave of attempted bombing continues, Trump chooses to blame the victims."
newrepublic.com,The free market harshly judges Steve Bannon’s value as a dining companion.
newrepublic.com,"As authorities arrest suspect in attempted bombings, Trump claims he’s the real victim."
newrepublic.com,White House Chief of Staff John Kelly really does seem to have a temper.
newrepublic.com,Trump calls for “love” in event organized by activist who blames mail bombs on “leftists.”
newrepublic.com,Virginia becomes the latest state to begin investigating the Catholic church.
newrepublic.com,How the Bank Bailout Hobbled the Climate Fight
newrepublic.com,"White House Council of Economic Advisers denounces socialism, Marx, Lenin, Mao, Bernie Sanders, and Elizabeth Warren."
newrepublic.com,Prominent right-wingers spread alse flag conspiracy theories about bombing attempts.
newrepublic.com,The free market makes a harsh evaluation of the worth of Steve Bannon as a dining companion.
newrepublic.com,How Trump Is Warping the Debate on Trans Rights
newrepublic.com,"Republicans decry toxic politics amid bomb scares, but refrain from self-reflection."
newrepublic.com,Megyn Kelly fiasco was entirely predictable -- and predicted.
newrepublic.com,Climate change keeps wiping out Pacific islands.
newrepublic.com,A War Without Civilian Deaths?
newrepublic.com,White House Chief of Staff John Kelly keeps displaying a violent temper.
newrepublic.com,Is someone trying to assassinate top Democrats?
newrepublic.com,Beto O’Rourke Isn’t Running for Senate Anymore
newrepublic.com,The Megyn Kelly fiasco was entirely predictable—and predicted.
newrepublic.com,Don’t Count on Republicans to Punish Saudi Arabia
newrepublic.com,How Dark Money Groups Keep Their Donors Hidden
newrepublic.com,Here’s the hard truth about the air pollution report Trump tweeted.
newrepublic.com,The Mueller Report Is More Important Than Ever
newrepublic.com,The voter suppression in Georgia is even worse than previously thought.
newrepublic.com,When Violence Broke Out in Congress
newrepublic.com,Republican congressman mocked women who complained of sexual harassment.
newrepublic.com,Trump wildly exaggerates benefits of selling arms to Saudi Arabia.
newrepublic.com,Ryan Zinke Is in a Real Mess
newrepublic.com,Trump’s tweet linking migrants to “unknown Middle Easterners” is a reprise of old GOP rhetoric.
newrepublic.com,Trump wildly exaggerate benefits of selling arms to Saudi Arabia.
newrepublic.com,Jamal Khashoggi’s killing casts a shadow over Saudi conference.
newrepublic.com,"White House decries the socialism of Marx, Lenin, Mao, Bernie Sanders and Elizabeth Warren."
newrepublic.com,Georgia’s midterm election will be a test of the power of voter suppression.
newrepublic.com,The Rise of Sucker-Punch Hurricanes
newrepublic.com,"Russia is still interfering in American elections, the Justice Department says."
newrepublic.com,A South Carolina foster care agency wants permission to discriminate against non-Protestants.
newrepublic.com,New York Mayor Bill de Blasio’s bid for progressive power was a sad farce.
newrepublic.com,Some Trump allies decide to defend his Saudi policy by smearing Jamal Khashoggi.
newrepublic.com,The Reality Behind ‘Migrant Caravans’
