source,title
news.vice.com,"Eric Holder on the bomb threats: ""It is a sign of the times"""
news.vice.com,Trump is having trouble getting officials to be seen with him as he visits Pittsburgh
news.vice.com,Trump plans to end birthright citizenship by executive order
news.vice.com,We posed as 100 senators to run ads on Facebook. Facebook approved all of them.
news.vice.com,NASA just broke 2 world records with its solar probe
news.vice.com,“Be likable”: How female candidates are navigating sexism and racism in 2018
news.vice.com,Why young people helped elect a far-right authoritarian in Brazil
news.vice.com,Everything we know about the Pittsburgh synagogue shooting suspect
news.vice.com,"Ecuador tells Julian Assange that cleaning the cat box is not ""violating his fundamental rights"""
news.vice.com,Far-right authoritarian Jair Bolsonaro is Brazil's new president. Here's what you need to know.
news.vice.com,These countries are warning their citizens not to smoke weed in Canada
news.vice.com,Trump sometimes doesn’t start his work days until 1 p.m. and has tons of free time
news.vice.com,Pittsburgh’s Jewish leaders to Trump: Stay away until you denounce white nationalism
news.vice.com,These are some of the most racist political ads of 2018
news.vice.com,"The writer and director of ""Halloween"" tell how they set out to erase the rest of the gory franchise"
news.vice.com,Not all female candidates are running because of Trump
news.vice.com,"Our podcast about El Chapo could “derail” jury selection, prosecutors say"
news.vice.com,Gab booted off the internet after Pittsburgh shooting
news.vice.com,Everything we know about the Lion Air flight that crashed into the Java Sea
news.vice.com,Another suspicious package sent to CNN
news.vice.com,Facebook's political ad tool let us buy ads “paid for” by Mike Pence and ISIS
news.vice.com,Multiple fatalities at mass shooting in Pittsburgh synagogue
news.vice.com,This D.C. hotel is pushing the boundaries of #resistance capitalism
news.vice.com,Even Trump is losing patience with the Saudis' “worst cover-up in history”
news.vice.com,Macy Gray still makes her entire crew do shots of Fireball before shows
news.vice.com,Trump is trying to use the migrant caravan as an excuse to shut down the border
news.vice.com,Police are investigating a suspicious package sent to Robert De Niro
news.vice.com,The U.S. Catholic Church is facing an unprecedented wave of sex abuse investigations
news.vice.com,Saudi Arabia finally let Khashoggi’s son to leave — but only after U.S. pressure
news.vice.com,Two new pipe bombs said to target Joe Biden
news.vice.com,The Trump administration just found 14 migrant kids they forgot they separated from their parents
news.vice.com,"Erdogan says Khashoggi’s death was a ""vicious, violent murder"" — but gives the Saudi Prince a pass"
news.vice.com,Saudi Arabia doesn't think it will face economic fallout for the premeditated murder of Khashoggi
news.vice.com,Trump is touting his response to the opioid crisis. Advocates say he's failing.
news.vice.com,Republicans say they’re protecting people with pre-existing conditions. That’s not true.
news.vice.com,Experts say the bomber left these key clues behind
news.vice.com,Bashing Nancy Pelosi is officially a bipartisan sport
news.vice.com,Megyn Kelly is reportedly on her way out from NBC show
news.vice.com,Everything we know about suspected mail bomber Cesar Sayoc
news.vice.com,Prominent conservatives accuse liberals of sending the bombs to themselves
news.vice.com,Trump and Pence say China is hacking the midterms. Facebook and Twitter says they’re wrong.
news.vice.com,Donald Trump Jr. might actually be better than his father at campaigning
news.vice.com,How the Trump administration could make trans people invisible under the law
news.vice.com,What we know about the bombs sent to Trump's biggest critics
news.vice.com,Putin just threatened Europe: no new U.S. nukes on the continent
news.vice.com,CNN anchors evacuate on-air after report of bomb
news.vice.com,"Erdoğan is happy to talk about Khashoggi, but not the hundreds of Turkish journalists he's thrown in jail"
news.vice.com,Authorities arrest Florida man in his 50s in connection with mail bombs
news.vice.com,WhatsApp is managing its fake news crisis in Brazil from an office in Silicon Valley
news.vice.com,How Bernie Sanders is trying to help progressives in red states
news.vice.com,"Some Georgia voting machines aren't counting votes for Democrat Stacy Abrams, NAACP says"
news.vice.com,The FBI’s nationwide manhunt for the bomber zeros in on Florida
news.vice.com,Another bomb said to target Rep. Maxine Waters discovered in Congressional mail office
news.vice.com,Meet four female candidates aiming to make political history
news.vice.com,New York Gov. Andrew Cuomo says someone mailed a bomb to his office too
news.vice.com,Office of Rep. Debbie Wasserman Schultz evacuated due to suspicious package
news.vice.com,"This young immigrant from Liberia came to the U.S. for safety, only to be shot dead on the streets of Chicago"
news.vice.com,Saudi prince finally addresses Khashoggi murder 3 weeks later
