source,title
nydailynews.com,Boston mob boss Whitey Bulger killed in West Virginia prison
nydailynews.com,Lisa Lampanelli retires from stand-up comedy
nydailynews.com,Ben & Jerry's launches Pecan Resist ice cream to fight 'Trump administration’s regressive and discriminatory policies'
nydailynews.com,"Dave Chappelle jokes that despite election meddling, Russia didn't make us racist"
nydailynews.com,Early childhood apps use manipulative and disruptive advertising methods
nydailynews.com,"Arizona man fought rattlesnakes, sucked on his blisters to survive in remote mine shaft"
nydailynews.com,Woman who left racist letter on neighbor's door claims it helped her release anger
nydailynews.com,"Local, national officials of both parties decline to appear with President Trump in Pittsburgh after synagogue shooting"
nydailynews.com,German nurse confirms patient death charges are mostly true
nydailynews.com,Trump demands eye-popping sum from Stormy Daniels over her rejected defamation bid with his lawyer charging $841 per hour
nydailynews.com,Mary Lou Retton reveals she divorced husband of 27 years on 'Dancing with the Stars' episode
nydailynews.com,Burglar accused of breaking into home of missing teen Jayme Closs and taking her underwear
nydailynews.com,You can't be deported for crimes committed after you became a citizen
nydailynews.com,Family of student who died at pancake eating contest sues university
nydailynews.com,Senate in play as midterms are all about Trump and Democrats tamp down expectations of a 'blue wave'
nydailynews.com,"Three children from same family, including twins, killed as they prepared to board school bus in Indiana"
nydailynews.com,Texas mother of missing 2-year-old girl arrested; cops say she lied to them and left child 'near a body of water'
nydailynews.com,Migrant caravan moving through Mexico is a lot more complex — and desperate — than Trump wants you to believe
nydailynews.com,Anti-Semitic incidents were on the rise in NYC and U.S. before Saturday's shooting massacre in Pittsburgh temple
nydailynews.com,Package containing Journey cassette tape causes evacuation at Charlotte building
nydailynews.com,'Today' show hosts embrace a 'new chapter' without Megyn Kelly
nydailynews.com,Red Sex and prison time: CNN apologizes for `embarrassing' typos
nydailynews.com,Red Dead Redemption II delivers with story and beautiful vistas: review
nydailynews.com,"Shooting at North Carolina high school: One student dead, another in custody"
nydailynews.com,"STASI: Keep out of Pittsburgh, Trump"
nydailynews.com,Nintendo’s Labo is going into classrooms thanks to The Institute of Play
nydailynews.com,Why it's good that the annoying Lena Dunham was picked to tell a story about the Syrian war
nydailynews.com,Unstable man with knives nabbed outside Brooklyn synagogue
nydailynews.com,NYS controller debate between DiNapoli and Trichter turns nasty
nydailynews.com,City plans $1.9 million expansion to Louis Armstrong Museum in Queens
nydailynews.com,"Craig Carton used investors' money like 'personal piggy bank,' prosecutor says"
nydailynews.com,"City agencies sent two families from shelters to apartments with lead paint, records show"
nydailynews.com,Suspected mail bomber Cesar Sayoc appeared in a scene cut from Michael Moore's 'Fahrenheit 11/9'
