source,title
ottawacitizen.com,Two drunk drivers arrested in same car in Brockville
ottawacitizen.com,Roddy Ellias's best artistic year ever continues with concerts this weekend with Jean-Michel Pilc
ottawacitizen.com,"James 'Whitey' Bulger, gangster who was once a fugitive, found dead"
ottawacitizen.com,"Ottawa Valley farm plans to build cannabis grow-op, spa and 'canna-tourism' complex"
ottawacitizen.com,Six displaced by Gloucester South kitchen fire
ottawacitizen.com,Coyne: Which electoral system for B.C.? Any option is better than the status quo
ottawacitizen.com,Drugs in jails: Ministry says it doesn't keep track of overdoses and naloxone use
ottawacitizen.com,Canadian Forces Ombudsman speaks out about poor treatment of Canadian Rangers
ottawacitizen.com,'Woman of action': New councillor Laura Dudas sees so much to do in so little time
ottawacitizen.com,Not your grandmother's commercials: 'Kidvertising' in the digital age
ottawacitizen.com,DiNardo: Fear of teaching Mockingbird isn't helping our students
ottawacitizen.com,Sharpe: Ottawa school board must properly and fully engage black community
ottawacitizen.com,Indonesian plane carrying 189 people crashes into the sea just after take-off
ottawacitizen.com,Cohen: Tree of Life synagogue shooting affects Jews everywhere
ottawacitizen.com,"iPads, Macs get new screens as Apple pushes creativity"
ottawacitizen.com,Periods of snow (or rain) and then a chilly night. Happy Monday!
ottawacitizen.com,"After beating 16 others in Orléans, army veteran finds another way to serve, this time at city hall"
ottawacitizen.com,Guest column: We dare not let murderers define who we are
ottawacitizen.com,Injured man shows up at hospital after shots fired into window of Centretown home
ottawacitizen.com,Police probe death of baby in Hull
ottawacitizen.com,"Gatineau residents a happy lot, except for snow removal issues, poll shows"
ottawacitizen.com,"Update: Police identify Mechanicsville homicide victim as Toronto man, 23"
ottawacitizen.com,Hoffer: Pilot project at the Perley could help seniors live independently for longer
ottawacitizen.com,Today's letters: Why we must tackle the carbon problem
ottawacitizen.com,Kingston pair charged in alleged attempt to import banned weapons via mail
ottawacitizen.com,"Police board keeps background checks free for volunteers, but hikes fees for jobseekers"
ottawacitizen.com,Parents of Humboldt victims put focus on mandatory seatbelts
ottawacitizen.com,"Denley: Ottawa, there might be a better way to choose city councillors"
ottawacitizen.com,Portage Bridge closed this week for repairs during off-peak hours
ottawacitizen.com,Klay Thompson hits NBA record 14 3s as Warriors top Bulls 149-124
ottawacitizen.com,Incumbent B.C. mayor wins election decided by pulling a name out of a box
ottawacitizen.com,"Mechanicsville homicide victim identified as Toronto man, 23"
ottawacitizen.com,"House Works: Your questions on well depth, cold room moisture, basement mould"
ottawacitizen.com,"Happily married, but swiping on Tinder"
ottawacitizen.com,Gatineau police handing out light collars to make trick-or-treaters visible
ottawacitizen.com,This elegant nut tart is surprisingly easy to prepare
ottawacitizen.com,JETS SNAPSHOTS: Who’s the daddy?...Laine knows what he wants to improve on…Trading places…Perreault recalls Liiga experience
ottawacitizen.com,'Goals are contagious': Matt Duchene is playing with confidence - and the proof is on the scoresheet
ottawacitizen.com,Canadian Catholic pastor placed on leave over alleged sexual misconduct
ottawacitizen.com,"Missing children cases can have happy endings, says mom who reunited with son after 31 years"
ottawacitizen.com,Two wounded late Monday in day's third shooting
ottawacitizen.com,Sam Smiderle takes the 3-Minute Dash shopping spree at Toys “R” Us
ottawacitizen.com,"Dorion eager to have Duchene long-term, happy with young team so far"
ottawacitizen.com,'A very special person:' Toronto native Joyce Fienberg killed in Pittsburgh
ottawacitizen.com,Borowiecki hit again with NHL suspension
ottawacitizen.com,"Tuesday looking pretty fair, but rest of week all wet"
ottawacitizen.com,KISS will rock Ottawa's Canadian Tire Centre next April on 'End of Road' tour
ottawacitizen.com,"Ontario, Saskatchewan premiers vow to reduce provincial trade barriers"
ottawacitizen.com,The Latest: Couple says fatal fall victim captured in selfie
ottawacitizen.com,Award-winning Ottawa nurse says advances in cancer treatment have been 'amazing'
ottawacitizen.com,The story of the 'Ottawa prophet': Ezekiel Stone Wiggins and his many (dubious) predictions
ottawacitizen.com,"What the Puck: Will Habs' autumn heat wave lead to cold, dead spring?"
ottawacitizen.com,"Toronto and U.S. stock markets traded higher at late-morning, loonie edges lower"
ottawacitizen.com,Court says Hopkins doctor had protection as expert witness
ottawacitizen.com,"Behind the rising level of anxiety, a manic push for happiness by the ‘unusually privileged’"
ottawacitizen.com,Latest OrderDynamics Global Research Finds Only 37.6% of Retailers Offer Click & Collect
