source,title
pcmag.com,Apple's Dual-SIM Tech Ruins Verizon Coverage
pcmag.com,iOS 12.1 Enables 32-Person Group FaceTime Video Chats
pcmag.com,Most People Don't Even Know What 5G Is
pcmag.com,"OnePlus 6T launched in India starting at Rs 37,999 with launch offers worth Rs 3,000"
pcmag.com,Apple’s new iPad Pros come with iPhone like screens and desktop class performance
pcmag.com,US Restrict Exports to Chinese Chip Maker Over Technology Theft
pcmag.com,Google Pixel 3 XL Gets Extra Notch Thanks to Software Bug
pcmag.com,Google Offers $25M for AI Projects That Benefit Society
pcmag.com,Pornhub Launches New Domain to Beat Adult Website Ban in India
pcmag.com,Walmart Launches Trio of Gaming Desktops and Laptops
pcmag.com,eSports focused ‘GamingMonk’ raises 4 crores in funding
pcmag.com,Apple’s new MacBook Air channels the past and zooms to the future
pcmag.com,"New iPad Pro Adds Face ID, USB-C and Ditches the Home Button"
pcmag.com,Sam's Club Now Store in Dallas Will Swap Cashiers for an App
pcmag.com,GoDaddy and PayPal Ban Gab After Pittsburgh Shooting
pcmag.com,"Amazon Great Indian Festival Sale: Discounts, cashback and more"
pcmag.com,T-Mobile Is Happy to Take a Haircut on the OnePlus 6T
pcmag.com,Report: Chinese Students Illegally Forced to Make Apple Watches
pcmag.com,Under Attack: How Election Hacking Threatens the Midterms
pcmag.com,Nintendo Switch Surpasses GameCube Lifetime Sales
pcmag.com,Apple announces powerful new Mac mini geared for creatives
pcmag.com,What to Expect From Apple's October Mac Event
pcmag.com,IBM Acquires Red Hat for $34B
pcmag.com,"Valve Gets 2,663 Windows-Only Steam Games Running on Linux"
pcmag.com,7 Tips for Becoming a Candy Crush Friends Saga Master
pcmag.com,19 Must-Have Tech Gifts Under $50
pcmag.com,Breaking Down a Decade of Google Play Data
pcmag.com,HP 'Cuts Corners' on New Spectre x360
pcmag.com,"It Will Soon Be Legal to Repair Your Own Echo Speaker, Smartphone"
pcmag.com,Tim Cook: Our Data Is Being 'Weaponized Against Us'
pcmag.com,Watch Tiny Flying Robots Work Together to Open a Door
