source,title
pressgazette.co.uk,Budget: Chancellor announces new UK 'digital services tax' on tech giants such as Facebook and Google
pressgazette.co.uk,Fashion and lifestyle website Buro 24/7 opens London HQ ahead of website relaunch as it declares itself the 'new face of luxury media'
pressgazette.co.uk,UK news brands launch first 'shows' using new Snapchat video format as they claim audience reach more important than making money
pressgazette.co.uk,Trump calls media 'true enemy of the people' in tweet following CNN bomb scare and synagogue shooting
pressgazette.co.uk,Death of Saudi journalist Jamal Khashoggi to be marked by week of vigils as Saudi top prosecutor meets Turkish officials
pressgazette.co.uk,Speaker warns peers to avoid 'conflict' with courts after naming of Sir Philip Green as tycoon behind Telegraph gag
pressgazette.co.uk,BBC launches Today spin-off podcast with 'conversational and punchy' tone to reach younger on-demand audience
pressgazette.co.uk,2018 British Journalism Awards shortlist revealed: 'This is what Dame Cairncross needs to protect'
pressgazette.co.uk,Daphne Caruana Galizia to be honoured posthumously at freelance journalism awards for her 'extraordinary dedication and courage'
pressgazette.co.uk,Journalists left thousands of pounds out of pocket as publisher behind Smallish parenting magazine goes into liquidation
pressgazette.co.uk,Fiancée of killed journalist Jamal Khashoggi says Saudi regime 'knows where his body is'
pressgazette.co.uk,Waitrose says in-house food mag editor's ‘killing vegans’ reply to freelance pitch went 'too far'
pressgazette.co.uk,The Sun digital editor: ‘When will social media platforms recognise the cost of quality journalism?’
pressgazette.co.uk,Labour drops complaint against six newspapers over Corbyn wreath coverage after email leak ‘unacceptably compromised’ IPSO process
pressgazette.co.uk,"New York Times boss Mark Thompson: 'When it comes to news, Facebook still doesn’t get it'"
pressgazette.co.uk,News diary 29 October-4 November: Ofcom bosses appear before 'fake news' inquiry and Paul Dacre gives Society of Editors annual lecture
pressgazette.co.uk,Google offers funding for 'creative approaches' to sustainable business models for news
pressgazette.co.uk,Digital Journalism Summit: The future of journalism in 13 slides
pressgazette.co.uk,Top magazine editors back campaign to cut ‘digital reading tax’ ahead of Chancellor's budget
pressgazette.co.uk,Tommy Robinson supporters chant 'scum' at journalists as EDL founder calls media 'enemy of the people' in attack on free press outside court
pressgazette.co.uk,Wikileaks publisher Julian Assange sues Ecuador over ‘continued gagging’ and violation of ‘fundamental rights’
pressgazette.co.uk,Jimmy Wales ditches editorial team at crowd-sourced news website Wikitribune and gives users power to publish
pressgazette.co.uk,"'Barbaric assassination' of journalist Jamal Khashoggi was planned days in advance, Turkish President says"
pressgazette.co.uk,Ofcom to review depth of analysis and impartiality of BBC news and current affairs output
pressgazette.co.uk,The Sun and the i come down on gagging laws with front page follow-ups to Telegraph's 'gagged' #MeToo scandal scoop
pressgazette.co.uk,Facebook accused of 'censorship' after deleting video on Christopher Columbus by Guardian journalist George Monbiot
pressgazette.co.uk,Leeds-based investigative news website set up to target working class millennials outside 'London bubble' marks a year of publishing
pressgazette.co.uk,Largest Johnston Press shareholder Christen Ager-Hanssen says he wants to 'remove the board' and has an 'appetite' for the company
pressgazette.co.uk,PMQs: Theresa May rejects Saudi claim Jamal Khashoggi 'died in fight' as 'not credible' and says NDAs 'cannot stop people whistleblowing'
pressgazette.co.uk,Geoffrey Rush's lawyer accuses journalist of reporting 'bald-faced' lies as actor's sex harassment libel case heard by judge
pressgazette.co.uk,New guidance on dealing with press for court staff made public for first time to enhance 'open justice'
pressgazette.co.uk,Donald Trump says Saudi response to killing of journalist Jamal Khashoggi was 'worst cover-up ever'
pressgazette.co.uk,Tortoise editor James Harding says move to 'slow news' follows 'lesson' at Times and BBC that journalism that took longer had 'real impact'
pressgazette.co.uk,Facebook hires former deputy prime minister Nick Clegg as its head of global affairs and communications
pressgazette.co.uk,CNN president blasts Trump for 'complete lack of understanding' over seriousness of attacks on media
pressgazette.co.uk,Topshop boss Sir Philip Green named in Parliament as businessman behind gag on Telegraph #MeToo revelations
