source,title
q13fox.com,Boston gangster James ‘Whitey’ Bulger killed in West Virginia prison
q13fox.com,"Report: Mychal Kendricks suspended 8 games, can play week 14"
q13fox.com,"Seattle Police: Two arrested, three wanted in Dunlap neighborhood home invasion and robbery"
q13fox.com,Seattle landlords giving tenants a month of free rent: ‘It’s more of a blessing to give than to receive’
q13fox.com,Trump claims he can defy Constitution and end birthright citizenship
q13fox.com,AG Bob Ferguson threatens to sue Trump administration over birthright citizenship
q13fox.com,Synagogue shooting victim Dr. Jerry Rabinowitz gave compassionate care for HIV patients
q13fox.com,"Apple unveils new iPad Pro, MacBook Air and Mac Mini"
q13fox.com,"Pentagon to send 5,000 troops to US-Mexico border as migrants inch closer"
q13fox.com,"Man stole girl’s underwear from missing teen Jayme Closs’ home, police say"
q13fox.com,"Two whooping cough cases confirmed in Washington state, more cases possible"
q13fox.com,More Seahawks: Flyaway to LA
q13fox.com,CDC’s handling of polio-like illness criticized by its own advisers
q13fox.com,Fight over carbon fee initiative shaping up to be costliest in state history
q13fox.com,"Showers likely on Halloween, but will trick-or-treaters get wet?"
q13fox.com,Seattle woman has first human case of West Nile virus contracted in King County
q13fox.com,Pittsburgh mayor suggests Trump should wait to visit
q13fox.com,Small 2.9 earthquake hits in Tacoma early Tuesday
q13fox.com,Pharrell Williams threatens to sue Trump over use of ‘Happy’ at rally after Pittsburgh shooting
q13fox.com,Pipe bomb suspect Cesar Sayoc formally charged at first court appearance
q13fox.com,Seattle activists rally in support of stalled climate change lawsuit
q13fox.com,"Man used dogs’ injuries to get pain pills in ‘disturbing’ case of animal cruelty, police say"
q13fox.com,Nearly 400 Tacoma students left to find ride after 24 bus drivers call in sick
q13fox.com,Rapper 50 Cent buys 200 Ja Rule concert tickets to keep seats empty in ongoing feud
q13fox.com,Video shows funnel cloud in Western Washington
q13fox.com,Record-setting $25 million pours into Washington state House race
q13fox.com,‘Bus helper’ accused of raping 6-year-old on Ohio school bus
q13fox.com,Seattle Cancer Care Alliance offers free yoga class for patients
q13fox.com,Seahawks put themselves in playoff conversation with win over Lions
