source,title
reason.com,Indiana Democrats Encourage Conservatives to Vote for Libertarian Lucy Brenton for Senate
reason.com,"The Media Keeps Saying Anti-Semitism Spiked 57% Under Trump, but That Statistic Is Really Misleading"
reason.com,Angela Merkel’s Exit Is Bad News for Europe
reason.com,Trump’s Unconstitutional Attack on Birthright Citizenship
reason.com,Rep. Justin Amash Slams Trump's Birthright Citizenship Threat: POTUS Can't 'Amend Constitution' With Executive Order
reason.com,4 More States Could Legalize Medical or Recreational Marijuana Next Week
reason.com,"Hard at Work: Government Network 'Exploited' by Malware, Thanks to Russian Porn Sites"
reason.com,Trump's Executive Order Ending Birthright Citizenship Is All About the Midterms
reason.com,"Trump's Rhetoric Is Divisive, Contemptible, Un-Presidential. It's Also Not Responsible for the Synagogue Shooting."
reason.com,Voters in Two Deeply Conservative States Look Set to Approve Minimum Wage Increases Next Week. That's a Bad Idea.
reason.com,Policing for Profit? California Towns Bill Residents Thousands for Nuisance Violations
reason.com,Embrace the Dirt Nap
reason.com,Angela Merkel’s Exit Is Bad News for Europe: New at Reason
reason.com,"Fourth Circuit Rejects Gag Order on Parties and Potential Witnesses, in Murphy-Brown Nuisance Litigation"
reason.com,Will Supreme Court Tackle More LGBT Cases Next Term?
reason.com,"I’d Like to Teach the World to Troll, in Perfect Harmony!"
reason.com,PTSD Study Finds Dramatic Improvement With MDMA-Assisted Psychotherapy
reason.com,Has There Been a Surge of Anti-Semitism Under and Because of Trump?
reason.com,Mail Bomber Cesar Sayoc Threatened Me on Facebook
reason.com,Trump Plan to End Birthright Citizenship Via Executive Order Is Unconstitutional: Reason Roundup
reason.com,Taxpayer-Funded Propaganda Station Aired Anti-Soros Hit Piece in Cuba
reason.com,Liberty Is Still Popular
reason.com,"Alleged Synagogue Shooter May Be a Monster, but He Shouldn't Be Executed"
reason.com,How Third Parties Are Getting Screwed This Election Season
reason.com,A National Debt 6 Times the Size of the Economy? That's Where America is Heading.
reason.com,Policing for Profit? California Towns Bill Residents Thousands for Nuisance Violations: New at Reason
reason.com,Fargo Considers Whether to Turn Local Elections into a Voting System of Likes (and Dislikes)
reason.com,Trump's Tariffs Aren't Even Helping Steelmakers
reason.com,"The Feds Want To Tackle Causes of Food Waste, Except Their Own"
reason.com,FDA Recognizes Psilocybin As 'Breakthrough Therapy' for Depression
reason.com,European Court: Woman's Defamation of Muhammad Doesn't Count as Free Expression
reason.com,This Isn't the Most Important Election of Your Lifetime. Not Even Close
reason.com,Gary Johnson Polling in 3rd Place With 22%
reason.com,California's Animal Rights Initiative Is an Abuse of the Ballot Box
reason.com,Embrace the Dirt Nap: New at Reason
reason.com,Chuck Grassley Asks the Justice Department to Investigate Michael Avenatti and Julie Swetnick for False Statements
reason.com,Suspect Arrested in Attempted Mail Bombings
reason.com,"If You Want Political Violence To End, Make Politics Less Important"
reason.com,"The Synagogue Shooting Survivors Need Blood, but Government Prevents Gay Men From Donating"
reason.com,"Gab Dumped by Tech Companies Over Synagogue Shooter Posts but Twitter, Facebook, and Other Social-Media Giants Get a Pass: Reason Roundup"
reason.com,Voters Want More Liberty than Major Parties Offer: New at Reason
reason.com,Extending the Electric Vehicle Tax Credit Undermines Tax Reform
reason.com,World Series Games Don't Have to Take So Long
reason.com,World Series Games Don't Have to Take So Long: New at Reason
reason.com,Criticizing a Drag Show Earned This Catholic College Student a Visit From the Title IX Coordinator
reason.com,Do Partisans Hate Each Other More Than Ever?: New at Reason
reason.com,Trump’s New Middle Class Tax Cut Is Fake News
reason.com,Do Trump's Tariffs Actually Exist? Donald Trump Debates Donald Trump.
reason.com,Why You Are Not a Conservative: New at Reason
reason.com,11 Dead in Mass Shooting at Pittsburgh Synagogue
reason.com,Orson Welles Defends the Freedom to Publish Gruesome Horror Comics
reason.com,Libertarian Candidate Will Almost Certainly Be Blamed as 'Spoiler' in Georgia Gubernatorial Race
reason.com,"Trump’s Anti-Press Rhetoric Is Irresponsible, Even If the Bomber Is Just a Crazy Person"
reason.com,How Third Parties Are Getting Screwed This Election Season: New at Reason
reason.com,DEA Says Meth Use Has Never Been Higher; Survey Data Say Otherwise
reason.com,"The Feds Want To Tackle Causes of Food Waste, Except Their Own: New at Reason"
reason.com,California's Animal Rights Initiative Is an Abuse of the Ballot Box: New at Reason
reason.com,Blockchain Is Changing Lives in Africa
reason.com,"The Prohibition Party Returns to New York, Thanks to Andrew Cuomo"
reason.com,Chicago Seized a Disabled Woman's Van. Now It's Scrap Metal.
reason.com,How I Became a Libertarian
reason.com,Men and Women Are Less Alike in More Feminist Countries
reason.com,Harvard's Recruitment Efforts Prioritized White Students Over High-Achieving Asians
reason.com,Socialism vs. Capitalism—Jacobin's Bhaskar Sunkara and Economist Gene Epstein Debate: New at Reason
reason.com,"'Do the Rich Capture All the Gains from Economic Growth?' No, He Explains Convincingly."
reason.com,'Fairness' Outweighs Objective Data When Americans Evaluate Risks
reason.com,"Why the Obsession with the Migrant Caravan, Mr. President?"
reason.com,San Francisco Activists Irate That Developer Wants To Replace Burned Out Apartment Building With—Wait for It—More Apartments
reason.com,Los Angeles Owes Billions in Pension Debts. Now It's Asking Citizens for Permission to Run a Bank.
reason.com,More Suspicious Packages Intercepted Friday as Migrant Caravan Captivates Trump: Reason Roundup
reason.com,Candidates Oppose Safe Injection Sites to Get an Edge Over the Other
reason.com,The Most Depressing Aspect of the 'Non-Player Character' Meme
reason.com,E.U. Parliament Votes to Ban Plastic Straws
reason.com,Planned Parenthood and NARAL: 'We Still Believe Julie Swetnick'
reason.com,De Niro and Biden Latest Targets of Suspected Pipe Bombs: Reason Roundup
reason.com,Julia Roberts Anchors Hitchcockian Mystery Homecoming
reason.com,Blockchain Is Changing Lives in Africa: New at Reason
reason.com,Extending the Electric Vehicle Tax Credit Undermines Tax Reform: New at Reason
reason.com,"Live Debate in LA on 11/1: Ken White of Popehat, Thaddeus Russell of Renegade U"
reason.com,"When It Comes to Sowing Discord in America, Russians Can't Compete with Americans"
reason.com,European Court: OK to Criminalize Calling Mohammed a Pedophile
reason.com,Do Partisans Hate Each Other More Than Ever?
reason.com,Does the First Amendment Protect a Presumptive Right to Access Criminal Court Records?
reason.com,"Injunction Against ""Harassing"" Online Speech Struck Down on First Amendment Grounds"
reason.com,"Claire McCaskill -- ""Not One of Those Crazy Democrats"""
reason.com,Why You Are Not a Conservative
reason.com,Party Like It's 1799
reason.com,Calvin Bryant Got 17 Years In Prison Under Tennessee’s Drug Laws. Now He’s Asking The Governor For Clemency
reason.com,A Texas Police Officer Is Charged After Mishandling 130 Sex Crime Cases
reason.com,Newly Released Video Challenges Cop's Story in Shooting of Autistic Teen
reason.com,4 Ways Legal Pot Will Be Better in Canada Than in the U.S.
reason.com,Libertarian Larry Sharpe Brings New Ideas to New York: New at Reason
