source,title
religionnews.com,Church-run credit unions keep the faith despite challenges
religionnews.com,"In Colombia, the Avivamiento megachurch hopes former FARC rebels will get religion"
religionnews.com,"Jeff Sessions speech interrupted by Methodist, Baptist clergy"
religionnews.com,Is a priest who died in World War I relevant to Catholics today?
religionnews.com,"Pittsburgh suspect’s hatred of Jews, HIAS part of larger anti-immigrant surge"
religionnews.com,Pittsburgh synagogue shooting shakes the city’s iconic Jewish neighborhood
religionnews.com,"Vatican synod calls for women leaders ‘at all levels,’ avoids using LGBT or gay"
religionnews.com,The Pittsburgh massacre was about refugees
religionnews.com,Americans want peace in politics
religionnews.com,Why Pittsburgh matters
religionnews.com,NCLCI calls on Christians to stand in solidarity with Jews after synagogue attack
religionnews.com,Pope Francis condemns ‘inhuman’ attack on Pittsburgh synagogue
religionnews.com,Police: Synagogue gunman said he wanted all Jews to die
religionnews.com,At least 10 dead in Pittsburgh synagogue attack
religionnews.com,Catholic bishops end synod with controversy and compromise
religionnews.com,Muslim #MeToo isn’t just a man problem. It’s also a male-led theology problem
religionnews.com,Suspect in custody in deadly Pittsburgh synagogue attack
religionnews.com,"Matthew Shepard, symbol for gay rights, laid to rest in DC"
religionnews.com,Bible museum is first in US to show mile-long illustrated Bible
religionnews.com,Why the Christian idea of hell no longer persuades people to care for the poor
religionnews.com,"Real-life chaplain behind ‘Indivisible’ movie on confronting war in field, at home"
religionnews.com,Legal battle continues over religious leader housing tax break
religionnews.com,"At Vatican summit, millennial Catholics have no vote but do have a voice"
religionnews.com,"Elaine Pagels on grief, her #MeToo story, and why we find meaning in religion"
religionnews.com,"For ICE detainees, access to clergy is infrequent or absent altogether, rights groups say"
religionnews.com,The Benedict Option for discrimination
religionnews.com,Amy Julia Becker reflects on the burden of white privilege
religionnews.com,Dear America: Please stop expecting us to whitewash our names
religionnews.com,Cory Booker could be a candidate for the ‘religious left’
religionnews.com,Cory Booker: ‘I’m calling for a revival of grace in this country’
religionnews.com,Full interview with Cory Booker: ‘I’m calling for a revival of grace in this country’
religionnews.com,"Eugene Peterson, author of ‘The Message’ and pastor to other pastors, dies at age 85"
religionnews.com,Power in numbers on display as Ahmadi Muslim spiritual leader tours US
religionnews.com,Young Catholics urge Vatican to issue inclusive LGBT message
religionnews.com,Why suing Notre Dame over ‘secret’ birth control settlement isn’t kosher
religionnews.com,"Pastor talks of breakdown in Turkey, but also forgiveness"
religionnews.com,"For Mexico’s Virgin of Zapopan, a 300-year-old journey home from Guadalajara"
religionnews.com,"‘Acknowledging reality,’ a splinter church in Kenya ordains married Catholic priests"
religionnews.com,Freedom from Religion Foundation group sues IRS over tax exemption
religionnews.com,Data mining gets religion as campaigns target voters of faith
religionnews.com,Photos of the Week
religionnews.com,A protest against the US travel ban: Statement of the AAR Board
religionnews.com,A preacher plumbs the art of the sermon by yielding the pulpit to passers-by
religionnews.com,"At long last, Muslim high fashion catapults into the mainstream"
religionnews.com,Controversy over Wheaton professor’s hijab captures evangelical rift in new film
religionnews.com,"Eugene Peterson, pastor and author of ‘The Message,’ is under hospice care"
religionnews.com,‘The Trump Prophecy’ includes troubling parallels for American democracy
religionnews.com,Nadia Murad’s Nobel win explained: Who are the Yazidis?
religionnews.com,"In Kenya, locals debate a boom in witch doctor tourism"
religionnews.com,Surgeon who recites Bible and Quran to patients wins UN award
religionnews.com,"Who you calling the anti-Christ, Rudy?"
religionnews.com,‘Nuns on the Bus’ launch new nationwide tour ahead of midterms
religionnews.com,Jewish lobby in far-right German party denounced for anti-Muslim views
religionnews.com,California’s Catholic bishops targeted in sex abuse lawsuit
religionnews.com,NCR board chair announces changes in leadership
religionnews.com,Why the Catholic Church can’t move on from the sex abuse crisis
religionnews.com,Will Graham: It’s ‘daunting’ to portray his famous granddad in ‘Unbroken’ sequel
religionnews.com,"US cardinal, critic of pope, still waiting for answers"
religionnews.com,New Religion News Service editor-in-chief to be interviewed at Columbia University
religionnews.com,Real or fake? The Shroud Center of Southern California launches Kickstarter Campaign
religionnews.com,"In Nigeria, fears that a crackdown on Muslim group will court another Boko Haram"
religionnews.com,"The Christian Broadcasting Network launches CBN News Channel, the first 24-hour news channel from a Christian perspective, on October 1"
religionnews.com,Mormon Tabernacle Choir changing its name but not its tune
religionnews.com,Pastor and activist William J. Barber II wins MacArthur ‘genius’ grant
religionnews.com,Seminary investigation to begin in wake of sexual misconduct allegations
religionnews.com,Religion News Foundation to explore the changing religious and spiritual landscape
religionnews.com,What is the best way to fight BDS?
religionnews.com,"Amish not immune to #MeToo, victims say"
religionnews.com,Surveys show sharp differences between Jews in US and Israel
religionnews.com,Photos of the Week
religionnews.com,Mormon church backs deal to allow medical marijuana in Utah
religionnews.com,Five common characteristics of child sexual offenders: Eliminating the edge
religionnews.com,"Justice Kennedy, key vote on abortion and gay marriage, quits Supreme Court"
religionnews.com,What do denominational leaders want to do with $368 billion more a year?
religionnews.com,"Defending Islam, gays and Blackpool, Brits oppose Franklin Graham’s UK visit"
religionnews.com,Survey: Summer camp may be key to fostering Reform Jewish values
religionnews.com,What’s in a name? Episcopalians move to change their words for God
religionnews.com,"At Catholic bishops conference, a deeper embrace of Pope Francis — and relevancy"
religionnews.com,Pope Francis closes Ireland visit with appeals to divided Catholics
religionnews.com,Call to pause: Evangelical men join evangelical women in the call to hit pause on culture war
religionnews.com,"Shuttered houses of worship get a reboot, find new life"
religionnews.com,"How many Mormons use marijuana, anyway?"
religionnews.com,Watch these movies before Yom Kippur!
religionnews.com,Turkey: American pastor on trial for terror let out of jail
religionnews.com,Mormonism and the persistent dream of 2-hour church meetings (oh please can we?)
religionnews.com,Pope says he’s thought about when it’s time to ‘take leave’
religionnews.com,Kenyan religious leaders fight to rescue young girls from child marriage
religionnews.com,Last-minute invite appears to treat White House call with rabbis as an afterthought
religionnews.com,It is almost too late to save our planet
religionnews.com,How we can all repent on Yom Kippur — even if it means losing an election
religionnews.com,"Unlikely visitor, Rev. Graham campaigns in liberal Berkeley"
religionnews.com,Liberty University professor accused of sexual exploitation
religionnews.com,Cardinal McCarrick scandal inflames debate over gay priests
religionnews.com,Rhode Island Council of Churches director takes leave for gender transition
religionnews.com,Supreme Court nominee dishes out mac and cheese to homeless
religionnews.com,How Willow Creek exposed our sins
