source,title
siliconangle.com,Google brings its Lens AI recognition service into image searches
siliconangle.com,Google adds more machine learning features to Firebase
siliconangle.com,Edgeworx touts fog computing platform for IoT deployments at the network edge
siliconangle.com,Microsoft completes $7.5B acquisition of code hosting platform GitHub
siliconangle.com,Avi Networks simplifies network load balancing for multiclouds
siliconangle.com,Fortnite scams break records as the game continues to surge in popularity
siliconangle.com,Google updates its reCAPTCHA tool to limit human interaction
siliconangle.com,Qualcomm tells court that Apple is trying to destroy its business
siliconangle.com,Google to fund AI ‘social good’ projects with $25M in grants
siliconangle.com,"Adding to mounting global pressure on tech giants, UK to levy ‘digital services tax’"
siliconangle.com,"With Pilot, TeamViewer 14 brings augmented reality support to workers and customers"
siliconangle.com,"IBM’s acquisition of Red Hat is a pivot to growth, but many questions remain"
siliconangle.com,Is the $34B acquisition of Red Hat a game changer for IBM?
siliconangle.com,Data discovery firm Waterline Data grabs $14.5M funding round
siliconangle.com,Iguazio revamps its Nuclio serverless computing platform
siliconangle.com,AWS announces plans for first cloud data centers in Africa
siliconangle.com,Israeli blockchain ‘zero-knowledge proof’ authentication startup StarkWare raises $30M
siliconangle.com,Sales AI provider Conversica lands $31M in new funding
siliconangle.com,"Open-source software will eat everything in its path, says VC"
siliconangle.com,Microsoft shrugs off market swoon thanks to success of its hybrid cloud strategy
siliconangle.com,"Amazon and Alphabet show strong cloud growth, but investors wanted more"
siliconangle.com,"After IBM buys Red Hat, will you trust Big Purple?"
siliconangle.com,SAP debuts new enterprise AI tools for automating customer support and more
siliconangle.com,Cohesity and Azure do data-backup backflips in hybrid cloud
siliconangle.com,"Following HipChat sale, Atlassian offloads its Jitsi video conferencing platform"
siliconangle.com,Cloud security-as-a-service startup Arctic Wolf lands $45M Series C round
siliconangle.com,Italy’s antitrust watchdog fines Apple and Samsung for slowing users’ phones
siliconangle.com,Japan gives local cryptocurrency industry self-regulatory status
siliconangle.com,DexFreight delivers its first truckload of seafood using blockchain technology
siliconangle.com,Could AI go rogue? Analysts debate obstacles for enterprise machine intelligence
siliconangle.com,Machine learning automation startup DataRobot lands $100M round
siliconangle.com,"After torrent of criticism for allowing hate speech, social network Gab goes offline"
siliconangle.com,Oracle to acquire Goldman Sachs-backed sales intelligence startup DataFox
siliconangle.com,"Chinese and Russian spies are listening into Donald Trump’s phone conversations, says US intelligence"
siliconangle.com,"In a bombshell deal, IBM acquires open-source pioneer Red Hat for $34B"
