source,title
slate.com,Trump’s Embrace of Racial Bigotry Has Shifted What Is Acceptable in America
slate.com,Could Steve King Finally Lose?
slate.com,"Many in Pittsburgh Don’t Want Trump to Visit, and Congressional Leaders Won’t Join Him"
slate.com,"Trump Played “Happy” at a Rally Hours After the Pittsburgh Shooting, and Pharrell Is Not Okay With It"
slate.com,"Why Are Pelvic Exams on Unconscious, Unconsenting Women Still Part of Medical Training?"
slate.com,How Democrats Can Reverse Years of Voter Suppression
slate.com,The 10 Commandments of Baby Halloween Costumes
slate.com,In Brighter News: Paul Manafort
slate.com,Simone Biles’ New Vault Will Destroy the Competition
slate.com,Why Does My Dog Hate My Elderly Aunt?
slate.com,Republicans Scrambling
slate.com,"Pence Invites “Christian Rabbi” to Offer Campaign Event Prayer, an Inflammatory and Very On-Brand Move for Trump Administration"
slate.com,"The Google X Executive Accused of Sexual Harassment Still Works There, Employees Say"
slate.com,"Help! My Daughter Got Some Quack to Diagnose Her With ADHD, but I Think She’s Just Lazy."
slate.com,Trump Makes a Run for the Border
slate.com,“A Very Sorry Kind of Festival”: Read the Los Angeles Times’ Case Against Halloween From 1901
slate.com,How Dare People Accuse Trump of Fomenting Hatred and Violence With His Rhetoric!
slate.com,Nightmare on Dilbert’s Street
slate.com,Trevor Noah Asks If Trump’s Rhetoric Helped Cause the Mail Bombings
slate.com,Trump’s Response to the Pittsburgh Shooting Proves He Doesn’t Actually Care About Religious Liberty
slate.com,The Moral Bankruptcy of Hate Speech on Gab
slate.com,The Death of FilmStruck Is a Dark Day in the History of Movies
slate.com,“I’m Not Dealing With Alternative Hypotheticals”
slate.com,The Many Right-Wing Memes Covering the Suspected Mail Bomber’s Van
slate.com,Kellyanne Conway Says Pittsburgh Synagogue Shooting Should Be Blamed on “Anti-Religiosity” in America
slate.com,How Julie Doucet Taught Me to Make Art out of My Life
slate.com,The Snap-On Smartphone Projector That Saved Storytime
slate.com,What Problem Is Universal Basic Income Really Trying to Solve?
slate.com,Claire Greenstein
slate.com,Plane That Crashed with 189 Passengers Aboard Had Technical Problem on Previous Flight
slate.com,Steve James on How Oak Park Has Reacted to America to Me
slate.com,Why Just Existing as a Queer Muslim Woman Is a Radical Act
slate.com,HBO Sex Scenes Will Be Monitored by “Intimacy Coordinators” From Now On
slate.com,Lawyers for Kansas Man Convicted in 2016 Mosque Bomb Plot Ask for Leniency Because of Trump’s Rhetoric
slate.com,Help! My 11-Year-Old Daughter Has Ruined My Oldest Friendship.
slate.com,Matthew Shepard’s Interment Ceremony and the Grace of the Christian Left
slate.com,Prisons Are Using Video Visitation as Punishment
slate.com,Trump Wants to Make the Word “Beautiful” Great Again. He’s the One Who Ruined It.
slate.com,Have a Spooktacular Halloween With Bobby “Boris” Pickett’s Increasingly Desperate Follow-Ups to “Monster Mash”
slate.com,“We Nicknamed Them Posh and Becks”
slate.com,“Burned-Over Territory”
slate.com,Kanye West Helped Design Clothes to Convince Black People to Abandon the Democratic Party
slate.com,"For Every Brand, a Backstory"
slate.com,Watch Seth Meyers Run Down the Latest Long List of Horrible Things That Happened
slate.com,Why Did Synagogue Suspect Believe Migrant Caravan Is Jewish Conspiracy? Maybe He Watched Fox News.
slate.com,Leicester City Chairman Confirmed Dead in Post-Match Helicopter Crash
slate.com,Hang Up and Listen: The How Not to Get Fired Edition
slate.com,Stop Trying to Understand What Trump Says and Look at What His Followers Do
slate.com,How Does a Dispensary Compliance Specialist Do Her Job?
slate.com,Tyronn Lue Fired for Believing He Could Win in Cleveland Without LeBron James
slate.com,The Blame Game
slate.com,"Shooting at Pittsburgh Synagogue Kills 11 People, Six Others Injured"
slate.com,Tim Heidecker Is Raising Money for the Hebrew Immigrant Aid Society With a Song About a Trump Rally Called “The Ballad of the Incel Man”
slate.com,Trump Lies About Sept. 11 to Justify Holding Campaign Rally After Synagogue Shooting
slate.com,Trump’s Saudi Arabia Response Shows His Foreign Policy Is Only About Money
slate.com,The Pipe Bomb Suspect Appears to Have Tweeted Death Threats. Twitter Saw No Problem.
slate.com,Lawyer for Mail Bomb Suspect’s Family: “He Found a Father in Trump”
slate.com,Home Sales Are Getting Rekt. It’s Maybe Time to Worry.
slate.com,Synagogue Shooting Suspect Robert Bowers Appears to be Anti-Semite Who Hates Trump
slate.com,The Blue Blizzard
slate.com,The Angle: Ontological Meltdown Edition
slate.com,The Nature of Trump’s Culpability in the Pittsburgh Synagogue Massacre
slate.com,Phoebe Friesen
slate.com,Red Sox End Five-Year World Series Drought
slate.com,"Far-Right, Pro-Torture, Anti-Gay Candidate Bolsonaro Easily Wins Brazil Presidential Election"
slate.com,Trump Warns Migrant Caravan to “Go Through the Legal Process” and That “Our Military Is Waiting for You”
slate.com,"35,000 Feet Away"
slate.com,Trump: Synagogue Shooting Could Have Been Avoided if Temple Had Armed Guard
slate.com,Maybe You’d Feel Better If You Watched Tilda Swinton’s Dogs Running Around in This Music Video She Co-Directed?
slate.com,Trump Mocks “Stumbling Lunatic” Tom Steyer Days After He Was Mail Bomb Target
slate.com,"After Synagogue Shooting, Trump Retweets Supporter Who Had Retweeted Anti-Semitic Hashtag"
slate.com,Lena Dunham Will Adapt the Story of a Syrian Refugee’s Survival at Sea
slate.com,Rabbi of Pittsburgh Synagogue Blasted Politicians in July for Failure to Act on Gun Violence
slate.com,Another Suspicious Package Mailed to CNN; Suspected Bomber Had List of Hundreds of Targets
slate.com,Fox News Is the Tarp on the MAGA Van
slate.com,Obama Slams Trump in Impassioned Speeches: “Nobody in My Administration Got Indicted”
slate.com,"Hours After Synagogue Massacre, Trump Jokes About His Hair, Elizabeth Warren"
slate.com,That North Carolina High School Didn’t Make Kids Sit in Normal Classes After a Fatal Shooting on Campus
slate.com,Tiffany Haddish and Billy Eichner Accost New Yorkers to Cast a Hypothetical Hocus Pocus Remake
slate.com,John Oliver Explains How the Most Tedious-Sounding Race on Your Midterms Ballot Is One of the Most Important
slate.com,"Lawyer Jokes and Folk-Rock Pretzels, on a Perfectly Ordinary Episode of Crazy Ex-Girlfriend"
slate.com,Women in Charge: Julia Turner
slate.com,Slate News Quiz
slate.com,"There Has Been Sharp Rise in Anti-Semitic Attacks on Twitter, Instagram"
slate.com,Docket Deep Dive and Is It Time to Freak Out About Voting?
slate.com,Using Data Visualization to Better Understand a Truly Epic World Series Game 3
slate.com,"Husband and Wife, Two Brothers, 97-Year-Old Among Dead in Synagogue Shooting"
slate.com,Faiza Patel
slate.com,Isabela Dias
slate.com,Mueller on the Mind
slate.com,A Clock in the Sky
slate.com,The Star-Shaped Sand of Okinawa
slate.com,"Cyclists Who Hate Hills, Meet Norway’s Bike Escalator"
slate.com,Incredible Images Capture WWII New York
slate.com,What Does That Arrow on a Hotel Room Ceiling Mean?
slate.com,Did Cory Booker Create an Imaginary Friend?
slate.com,Look at All These Countries That Are Better at Fighting Inequality Than the United States
slate.com,Tsar Bomba: The World's Most Powerful Nuclear Weapon
slate.com,The Kids Are Not Really Alright
slate.com,"This Dreamy, Glow-in-the-Dark Bike Path Was Inspired by Starry Night"
