source,title
techcrunch.com,Assessing IBM’s $34 billion Red Hat acquisition
techcrunch.com,Up close and hands on with the new MacBook Air
techcrunch.com,True Ventures has two new funds totaling $635 million to plug into a wide range of startups
techcrunch.com,Apple introduces a new magnetic Apple Pencil
techcrunch.com,"The new iPad Pro features less bezel, larger screens and USB-C"
techcrunch.com,The new Mac Mini is up to five times faster and starts at $799
techcrunch.com,Long-awaited brand-new MacBook Air finally gets retina display and Touch ID
techcrunch.com,Concord raises $25 million for its contract management platform
techcrunch.com,Freebird flies off with $8M to rescue passengers after flight cancellations
techcrunch.com,"Conversica, which uses AI to replicate sales agents, raises $31M, now valued around $300M"
techcrunch.com,Emotional wellness startup Aura raises $2.7 million from Cowboy Ventures and Reach Capital
techcrunch.com,Apple ditches the headphone jack on latest iPad Pro models
techcrunch.com,What the Bolsonaro victory means for Brazil’s startup ecosystem
techcrunch.com,The iPad finally moves to USB-C
techcrunch.com,Apple’s new T2 security chip will prevent hackers from eavesdropping on your microphone
techcrunch.com,Here’s everything Apple announced today at its big hardware event
techcrunch.com,"Apple adds 60 more ‘Today at Apple’ sessions covering Pro tools, Siri Shortcuts, AR and more"
techcrunch.com,There are now 100 million Macs in use
techcrunch.com,"Valued at $500M, investors say HeadSpin is ‘one of the fastest-scaling software companies’ ever"
techcrunch.com,"A fully loaded iPad Pro will cost you $2,227"
techcrunch.com,Live from Apple’s iPad event
techcrunch.com,AppZen nabs $35M for AI that audits expenses in real time for non-compliance and fraud
techcrunch.com,Cockroach Labs launches CockroachDB as managed service
techcrunch.com,I tried meditating with a brain-sensing headband — and I didn’t hate it
techcrunch.com,Coinbase is now valued at $8B after closing new $300M round
techcrunch.com,Snap expands Snapchat Shows with 25 new series out of the UK
techcrunch.com,Nintendo turns to old favorites Mario and Pokémon to hit lofty Switch target
techcrunch.com,Apple’s new iPads delete the home button for good
techcrunch.com,Sony posts $2.1B profit as PlayStation sales keep on growing
techcrunch.com,One of crypto’s longest-running exchanges has been sold
techcrunch.com,"Say ‘Hi’ to Nybble, an open-source robotic kitten"
techcrunch.com,Lime hires its first chief business officer amid push into car-sharing
techcrunch.com,Airobotics raises another $30 million for its automated drone technologies
