source,title
thecannabist.co,"Marijuana dispensary comes to NYC’s Fifth Avenue, just in time for 4/20"
thecannabist.co,Terrapin Care Station offers discounted weed for registered voters
thecannabist.co,Synthetic cannabinoids are not “synthetic marijuana”: What you need to know about Spice and K2
thecannabist.co,Police suspect FSU QB Deondre Francois of selling marijuana out of his apartment. He wasn’t.
thecannabist.co,Police raid eight Sweet Leaf Marijuana Center locations in Denver and Aurora
thecannabist.co,"Live coverage from 4/20 in Colorado, from the block to the Capitol"
thecannabist.co,"PHOTOS: Lil Wayne, Lil Jon headline Mile High 420 Fest"
thecannabist.co,13 Sweet Leaf budtenders swept up in Denver police raids
thecannabist.co,"Cannabis firms Canopy Growth, Organa and Green House team up on a joint venture in Canada"
thecannabist.co,New Belgium’s new hemp beer is on tap now. Except in Kansas. Here’s why.
thecannabist.co,Job applicants failing drug tests for marijuana and other drugs at highest rate in 12 years
thecannabist.co,“A significant event”: CBD-based pharma drug Epidiolex presented to FDA for approval
thecannabist.co,Which city consumes the most marijuana in the world?
thecannabist.co,Canada’s marijuana stocks so hot it’s difficult to bet against them
thecannabist.co,This Colorado dispensary has a 270-degree viewing window into its grow
thecannabist.co,Here’s how much marijuana you’d need to be eligible for the death penalty under federal law
thecannabist.co,Munchies guide: 7 places with 4/20 restaurant deals in the Mile High City
thecannabist.co,Airport “amnesty boxes” for weed? Denver International Airport doesn’t see the need
thecannabist.co,“I’m a healer now”: Former football star Ricky Williams launches his own cannabis brand
thecannabist.co,"Google and Facebook won’t advertise marijuana, even where it’s legal"
thecannabist.co,"$750,000 illegal marijuana grow bust: more than 110 pounds seized, 2 arrested in Colorado"
thecannabist.co,Trump is backing off the marijuana fight. Jeff Sessions has not.
thecannabist.co,"National drug ring disguised as medical marijuana grow traded in cryptocurrency, feds say"
thecannabist.co,CBD could be in the fast lane to Colorado pharmacies
thecannabist.co,"Amendment to allow Colorado schools to administer medical marijuana passes House, heads to Senate"
thecannabist.co,"American Legion poll: Veterans overwhelmingly support medical cannabis research, legalization"
thecannabist.co,Forbidden medicine: Caught between a doctor’s CBD advice and federal laws
thecannabist.co,Public support for medical and recreational marijuana legalization hits all-time high
thecannabist.co,Federal appeals court hears hemp industry lawsuit challenging DEA’s position on CBD
thecannabist.co,Patient-focused report graded medical marijuana programs. No states received an A.
thecannabist.co,From horses to hemp: Colorado rancher eyes second calling
thecannabist.co,"Pennsylvania medical marijuana program to allow sale of flower, expand list of qualifying conditions"
thecannabist.co,These 5 California high school stoners claim to have invented 4/20
thecannabist.co,Wholesale cannabis prices tumbled in 2017 — and they have yet to hit rock bottom
thecannabist.co,Study: Legalizing marijuana nationally could generate more than $132 billion in tax revenue and 1 million jobs
thecannabist.co,"Op-ed: DEA position statement on CBD, hemp and Farm Bill “reckless and illegal”"
thecannabist.co,New federal bill would allow banking for marijuana businesses
thecannabist.co,"No, Colorado McDonald’s are not converting PlayPlaces into marijuana lounges"
thecannabist.co,Federal marijuana bills boosted by new supporters as Congress gets back to work
thecannabist.co,Buyers beware: California cannabis sold Jan. 1 could be tainted
thecannabist.co,Maine House passes new compromise on legal marijuana sales
thecannabist.co,Denver cannabiz-focused credit union gets OK from Federal Reserve — with conditions
thecannabist.co,Poll finds 87% of millennials believe marijuana is safer than alcohol
thecannabist.co,"Seattle clears marijuana convictions, following San Francisco lead"
thecannabist.co,Price of marijuana has collapsed in legal era
thecannabist.co,PHOTOS: Denver celebrates 4/20
thecannabist.co,Idaho Senate vacates vote that killed CBD legalization bill for open meeting law violation
thecannabist.co,Sessions rescinds Cole Memo that kept feds out of legal marijuana states
thecannabist.co,"Americans strongly oppose enforcement of federal marijuana laws, few approve of Jeff Sessions: new Quinnipiac poll"
thecannabist.co,Cannabis-infused beer is coming to Colorado
thecannabist.co,Hemp Farming Act of 2018 introduced by Sen. Mitch McConnell
thecannabist.co,Pass the hemp: Colorado prepares to regulate the plant like any other food ingredient
thecannabist.co,Colorado cannabis company to expand in Florida county despite marijuana moratorium
thecannabist.co,How to make cannabis oil for homemade weed edibles: Cooking tips and tricks
thecannabist.co,Aspen to get two new marijuana shops competing in Durant Mall
thecannabist.co,Nevada marijuana industry experts share tips on edibles consumption
thecannabist.co,"FDA sends warning letters to CBD companies, including Colorado’s CW Hemp"
thecannabist.co,"Colorado cannabis safety regs limit edible shapes, enlarge potency labels"
thecannabist.co,Cannabis Trade Federation forms in wake of Gardner-Trump marijuana deal
thecannabist.co,Arkansas names five companies permitted to grow medical marijuana
thecannabist.co,Launch of cannabis beverages in Canada could be “big business” for alcohol Goliath
thecannabist.co,Man sentenced to 13 years for 3 grams of marijuana has been freed
thecannabist.co,Colorado marijuana dispensary challenges IRS in U.S. Tax Court
thecannabist.co,A cannabis health and wellness fair is coming to Denver
thecannabist.co,Tourists visiting Colorado can now buy an ounce of weed
thecannabist.co,Molson Coors calls legal marijuana a “risk factor” for its beer business
thecannabist.co,Teen marijuana use in Colorado down post-legalization
thecannabist.co,"Las Vegas: no marijuana lounges until 2019, monitoring Denver social use licenses"
thecannabist.co,"Snoop Dogg weed sends Canadian stock price off the hizzle, fo’ shizzle"
thecannabist.co,Marijuana amnesty boxes set up at airport in Las Vegas
thecannabist.co,Rep. Barbara Lee introduces companion House bill to Marijuana Justice Act
thecannabist.co,"TD Ameritrade CEO notes ‘pronounced’ increase in cannabis, blockchain trading activity"
thecannabist.co,First marijuana spa in U.S. applies to operate in historic Denver mansion
thecannabist.co,"Lucky’s Market takes leap with CBD oil, selling hemp extracts nationwide"
thecannabist.co,"ATF doubles down on marijuana gun ban, adds more explicit warning to firearm purchase form"
thecannabist.co,Drug testing and CBD: Can a cannabidiol user test positive for marijuana?
thecannabist.co,"Phil Murphy sworn in as N.J. governor, vows to legalize marijuana"
thecannabist.co,Advocates mount push for medical marijuana bill in Kentucky
thecannabist.co,Trial begins for advocates suing Sessions and the DEA over marijuana’s Schedule I status
thecannabist.co,More on the two new studies showing how marijuana can help fight the opioid epidemic
thecannabist.co,Colorado marijuana delivery bill snuffed
thecannabist.co,Vermont Gov. Phil Scott signs marijuana legalization bill “with mixed emotions”
