source,title
theroot.com,Black Navy Sailor Attempting to Help 'Stranded Motorist' Shot and Killed
theroot.com,"Andrew Gillum Is Winning by Being His Natural, Black Self"
theroot.com,Undefeated Youth Football Team Believes They've Been Banned From the Playoffs Because of Race
theroot.com,"Many Afro-Brazilians Are Bracing for the Worst After the Election of a Far-Right, Racist Candidate for President"
theroot.com,Hair Salon Owner Claims She Didn't Know Blackface Was a 'Thing' After Employee Gets Caught in Racist Michael Jackson Costume
theroot.com,Blackface is a Choice: Friends Praise SC Bank Executive For MAGA Kanye Costume
theroot.com,Progressive Jewish Leaders to Trump: You're Not Welcome in Pittsburgh
theroot.com,"Sarah 'Suckabee' Sanders Continues Defense of Hatemonger, the President of Whitekanda"
theroot.com,"Why They Kneel: Boston, Buffalo and That Pesky N-Word"
theroot.com,Painting Black Men To be Seen and Respected as Powerful Figures in the Art World
theroot.com,Trump Has Figured Out What’s Triggering Violence in America. Hint: It’s Not Him
theroot.com,Kentucky Kroger Shooting Being Investigated as a Hate Crime
theroot.com,Kanye West's Pro-Republican 'Blexit' T-Shirts Call for Black Exodus From Democratic Party
theroot.com,Pregnant Airline Worker Who Asked to be Reassigned to Avoid Fumes Was Suspended Instead—and Ended Up Homeless
theroot.com,Maybe We Actually Need Troops at the Border ... of Florida
theroot.com,It’s Time to Listen to Black Women. We’ve Been Talking About Police Sexual Violence for a Long Time
theroot.com,What Did You Think Would Happen?
theroot.com,Telling Untold Stories: Playwright and Performer Dael Orlandersmith Gets Beneath Our Skin
theroot.com,White Nationalist Who Threatened Stacey Abrams' Campaign Poses for Picture with Brian Kemp
theroot.com,Brian Kemp Caught on Tape Warning His Donors About Black People Voting ... Again
theroot.com,The Wildly Unregulated Practice of Undercover Cops Friending People on Facebook
theroot.com,Multiple Deaths Reported in Mass Shooting at Pittsburgh Synagogue; Trump Blames Lack of Guns
theroot.com,It’s Official: Trump Comes Out of the Closet Wearing a White Hood
theroot.com,Trump Rants Like Racist Grandpa in Speech to MAGA Negroes
theroot.com,"55 Years Ago, Someone Blamed a Bombing on a Racist Politician"
theroot.com,Black Voters in Georgia Say Something Funny Is Going on With Their Voting Machines
theroot.com,"‘Whites Don’t Shoot Whites,’ Said Alleged Kroger Shooter Who Killed 2 Black People"
theroot.com,Finally! Black Poll Worker Calls Cops on Suspicious Caucasians for #LurkingWhileWhite
theroot.com,Texas Voting Machines Are Reportedly Switching Votes for Beto O'Rourke to Ted Cruz
theroot.com,It's Complicated: Why Some Afro-Brazilians Are Willing to Vote for a Racist Presidential Candidate Who's Calling for More Police Violence
theroot.com,5 Men Accused of Stealing Homeless Amputee's Fortune
theroot.com,Golden State Warriors Deliver Perfect Response to Josh Duhamel’s Call for Draymond Green to Apologize to Fergie
theroot.com,Suspicious Packages Addressed to Sen. Cory Booker and Former Director of National Intelligence James Clapper Intercepted by FBI
theroot.com,The Devil’s Mouthpiece Claims Trump Isn’t Responsible for Suspicious Packages Sent to Democrats
theroot.com,Trump Is Sending 800 Troops to Stop the Migrant Caravan and It Has Nothing to Do With the Midterms
theroot.com,Iowa Teacher Under Investigation For Wearing Blackface to Halloween Party
theroot.com,Wannabe Cop Who Shot and Killed a Black Man Says He's Sorry But He Shouldn't Have Been Sent to Prison
theroot.com,President Trump Was on Late-Night Twitter Trolling CNN
theroot.com,How Will the New FICO Scoring System Affect Blacks and People With Lower Incomes?
theroot.com,Newt Gingrich: If Democrats Want to See Trump's Tax Returns Then We'll See If the Kavanaugh Fight Was Worth It
theroot.com,"Tomi Lahren Can’t Fill a Room, The Root Hates Black Men, and Other Things I Learned at Politicon 2018"
theroot.com,Auntie Maxine Ain’t Scared of No Damn Pipe Bomb
theroot.com,Ben Jealous Wants to Trump Hate in Maryland
theroot.com,Ethiopia Just Made History by Electing Its 1st Female President
theroot.com,"White Man Verbally Assaults Older Black Woman on Flight, Calls Her an ‘Ugly Black Bastard,’ Airline Does Nothing"
theroot.com,Video: Librarian Calls Cops on Student For Brazen Attempt at #StudyingWhileBlack
theroot.com,Undeniable Proof America Is Still Racist AF
theroot.com,Andrew Gillum Under Fire for Getting the Hook-up on Hamilton Tickets
theroot.com,The Root's Clapback Mailbag: A Mood
theroot.com,Trump Administration Seeks to Erase the Lives of 1.4 Million Trans Americans Through a Narrow Definition of Gender
theroot.com,Eric Reid vs. Malcolm Jenkins Is What Happens When Black Lives Matters Confronts All Lives Matter
theroot.com,Random-Ass White Woman Rolls Up on Spanish Speaking Family and Demands to See Their Passports
theroot.com,Abrams’ Flag-Burning Incident: That’s What They Force You to Do as a Black Person in the South
theroot.com,Black College Students In Florida Use Early Voting To Make Sure Their Voices Will Be Taken Seriously
theroot.com,VA Official Allegedly Displayed Portrait of KKK Grand Wizard for Years
theroot.com,Russia and China Are Spying on Trump Because He Refuses to Use Secure iPhones
theroot.com,It’s Complicated When It Comes To The Cancellation of Luke Cage
theroot.com,"Pipe Bombs Found at the Homes of Hilary Clinton, Obama and Billionaire George Soros"
theroot.com,Get in the Spirit With These 13 Black Horror Films This Halloween
theroot.com,These Attempted Bombings Show How Dangerous Trump’s Rhetoric Really Is
theroot.com,I Just Got 5 Pounds of Candy Corn in the Mail from Amazon Because Candy Corn Is Delicious
theroot.com,Georgia College Students Circulate Petition to Have Clarence Thomas’ Name Removed From Building
theroot.com,ACLU Files Discrimination Complaint on Behalf of Black Students in Central California
theroot.com,"Netflix's Blackface Algorithm is White Nonsense, Condensed"
theroot.com,The Mega Millions Jackpot Is Officially at $1 Billion. Here’s What I’m Doing When I Win
theroot.com,"Warrants Issued for 6 Men, 1 Woman, in Fort Valley State University Prostitution Scandal"
theroot.com,"Rae Carruth, the Devil’s Favorite Wide Receiver, Is Released From Prison After 18 Years"
theroot.com,"Stacey Abrams Defends Burning Flag That Was So Racist, Even Georgia Thought It Was Trash"
theroot.com,Mitch McConnell’s Doggie Bag Goes the Way of His Morals—Out the Door
theroot.com,2 Texas Judges Sent 20 Percent of All Juveniles to State Prisons Last Year
theroot.com,Millennial Georgians Get Their Obama Moment With Stacey Abrams
theroot.com,"Republicans Control the Poorest States, Democrats Control States With Highest Earners: Report"
theroot.com,Martin Luther Whomst? Buffalo Petitions to Replace MLK Bust With More Accurate Portrayal of Civil Rights Icon
theroot.com,Second Black Officer Dies in Aftermath of Deadly South Carolina Mass Shooting
theroot.com,30 Injured When Floor Collapses at Kappa Party During Clemson’s Homecoming Weekend
theroot.com,I'm an Intersex Black Woman. My Voice Matters. Listen
theroot.com,Why They Kneel: New York City and Atlanta Prove Everything You Know About Jim Crow Is Wrong
theroot.com,SF Giants Co-Owner Disavows Racist Congressional Ad Featuring Black Women
theroot.com,Y'all Nasty: CDC Confirms People Aren't Washing Their Hands After Using the Bathroom
theroot.com,"Turkey Renames Road to U.S. Embassy for Malcolm X, Nixes Trump’s Name From Another Street"
theroot.com,A Black Woman Reported the MAGABomber to Twitter. Twitter Did Nothing ... Again
theroot.com,The Most Pathetically Racist Robocall You've Ever Heard Against Florida Gubernatorial Candidate Andrew Gillum
theroot.com,Sculptor Simone Leigh Becomes 12th Artist to Win Guggenheim’s Hugo Boss Prize
theroot.com,CNN White House Chief Sends ‘Fuck You’ DM to Melania Trump’s Former Aide
theroot.com,100 Things Not To Do #WhileBlack
theroot.com,The Disrespect: GOP Street Artist Replaces Michael Myers With Maxine Waters on a Halloween Billboard
theroot.com,The Governor’s Debate Between Stacey Abrams and Brian Kemp Is Everything That’s Wrong with Georgia Politics
theroot.com,Very Few Police Departments Have Rules for Undercover Cops on Facebook
theroot.com,Woman Who Left a 2-Year-Old on Stranger’s Front Porch Says We’ve Got It All Wrong
theroot.com,Voter Suppression is Real and It Really Affects Black People
theroot.com,Black Senior Citizens in Georgia Ordered Off Bus Taking Them to Vote
theroot.com,Old White Men Fight in the White House; John Kelly and John Bolton Get Into Profanity-Laced Argument: Report
theroot.com,A White Student Called a Black Student the N-Word. The Black Student Responded. Guess Who Got Suspended?
theroot.com,Former President Jimmy Carter: Brett Kavanaugh Is Unfit to Serve on the Supreme Court
theroot.com,Special Counselor Robert Mueller Set to Release Findings in Russia Investigation: Report
theroot.com,Cheaters Never Win ... Except When Republicans Suppress The Black Vote
theroot.com,9-Year-Old Boy's Message to #CornerstoreCaroline: 'I Don't Forgive You and You Need Help'
theroot.com,‘Black Skinned Storm Trooper’ Who Foreshadowed Kaepernick to Be Honored at TIDAL X: Brooklyn
theroot.com,Trump Claimed He Was Going to Book a Big Stadium to Campaign for Ted Cruz. Then He Booked a Shoe Box
theroot.com,"It’s #NationalBossDay, So Let Me Shout Out the Amazing Bosses in My Life"
