source,title
theverge.com,Apple iPad Pro and MacBook event live blog
theverge.com,"Apple’s new iPad Pro has Face ID, USB-C, and slimmer bezels than ever before"
theverge.com,The 5 biggest announcements from the Apple iPad and MacBook event
theverge.com,Apple’s new Mac mini includes six-core processors and a space gray finish
theverge.com,"Apple announces new MacBook Air with Retina display starting at $1,199"
theverge.com,Apple announces AMD Vega graphics options for MacBook Pro
theverge.com,The stakes for the new MacBook are much higher than for the iPad
theverge.com,Twitch doesn’t need to be YouTube
theverge.com,The new iPad Pro doesn’t have a headphone jack
theverge.com,James Patterson’s next novel will be released on Facebook Messenger
theverge.com,MacBook Air 2018: hands-on with Apple’s new ultra-thin laptop
theverge.com,iPad Pro: hands-on with Apple’s new all-screen tablet
theverge.com,Google wants to make its products more human
theverge.com,"iOS 12.1 coming October 30th with group FaceTime, dual-SIM support, and ‘beautygate’ fix"
theverge.com,Apple released the Apple Watch Series 4’s EKG feature today
theverge.com,The OnePlus 6T might be the company’s big break in America
theverge.com,Faraday Future loses EV pioneer amid layoffs
theverge.com,The new Apple Pencil 2 has gesture controls and charges wirelessly from the iPad Pro
theverge.com,Lenovo is now licensing Sony’s patents for its PlayStation VR copycat headset
theverge.com,Will Google’s homepage news feed repeat Facebook’s mistakes?
theverge.com,"Volkswagen, Intel, and Mobileye will launch a self-driving taxi service in Israel in 2019"
theverge.com,Ava DuVernay partners with Netflix for Prince documentary
theverge.com,Nintendo needs a heck of a holiday season to meet Switch sales goal
theverge.com,Your old Apple Pencil isn’t compatible with the new iPad Pro
theverge.com,Wisconsin’s $4.1 billion Foxconn boondoggle
theverge.com,"Pixel 3 XL glitch is causing a second notch to appear, but a fix is coming"
theverge.com,PS4 and Xbox One users can now stream college football through ESPN+
theverge.com,The new MacBook Air and Mac mini are made of 100 percent recycled aluminum
theverge.com,The Tundra PIE Pro is a pickup truck that makes Pizza Hut on the go
theverge.com,Why social media is friend to far-right politicians around the world
theverge.com,Twitter is thinking about killing the Like button — but don’t hold your breath
theverge.com,Red Dead Redemption 2 horse riding fails are tragically funny
theverge.com,"US tariffs could hit remaining Chinese goods, including tech products"
theverge.com,"Waze adds Pandora, TuneIn, and five other streaming services into app"
theverge.com,"iOS 12.1 is now available with group FaceTime, new emoji, and ‘beautygate’ fix"
theverge.com,The bizarre Justin Bieber burrito incident reminds us not to believe everything online
theverge.com,The Asus ZenFone 6 leaks with the most unsightly notch of all
theverge.com,Google is hosting a global contest to develop AI that’s beneficial for humanity
theverge.com,Amazon’s budget-friendly Fire tablet lineup is even cheaper this week
theverge.com,Apple’s new iPad Pros can charge an iPhone over USB-C
theverge.com,These headphones bring FM radio to your iPhone
