source,title
theweek.com,The right's deadly anti-Semitism problem
theweek.com,The revenge of the deporables
theweek.com,Birthright citizenship is America's deepest heritage. It must be protected.
theweek.com,Mueller is reportedly studying recordings of Roger Stone discussing WikiLeaks on 2016 conference calls
theweek.com,"Democrats have a 17-point lead in congressional preference, thanks to dislike-both-sides voters, poll finds"
theweek.com,"Stephen Colbert and Seth Meyers check Fox News' hand in the migrant 'caravan' madness, mock Lou Dobbs"
theweek.com,Trump wants to bypass the Constitution to unilaterally end birthright citizenship
theweek.com,Baltimore girl creates Think Pink Day to raise money for breast cancer research
theweek.com,Trevor Noah dissects the link between Trump's words and the recent spate of domestic terrorism
theweek.com,Ronald Reagan's daughter has a stone-cold suggestion about Trump and national tragedies
theweek.com,Jimmy Carter urges Georgia GOP gubernatorial candidate to step down as state's top election official
theweek.com,"Germany's Angela Merkel will reportedly step down as party leader, remain chancellor"
theweek.com,Apple debuts new and improved MacBook Air — with a price to match
theweek.com,Far-right candidate Jair Bolsonaro wins Brazil's presidential election
theweek.com,"Homeland Security is 'more prepared than we've ever been' to secure the midterms, DHS secretary says"
theweek.com,Basically no politicians wanted to meet or travel with Trump to Pittsburgh
theweek.com,"John Oliver wants you to vote for your state's attorney general, and he's not afraid to use a little light torture"
theweek.com,Where the caravan really came from
theweek.com,The fossil Mark Sanford
theweek.com,Why are right-wing populists winning everywhere?
theweek.com,Trump's campaign manager reportedly wanted to invite Roseanne Barr to a rally the day she was fired
theweek.com,"Jimmy Kimmel watched the Dodgers lose the World Series with Red Sox fan, celebrity frenemy Matt Damon"
theweek.com,"It's 'up to the families' whether Trump attends synagogue shooting funerals, Pittsburgh's mayor says"
theweek.com,How blame subsumed fear in America
theweek.com,"Germany's Merkel to step down as party leader, remain chancellor"
theweek.com,The right rises in Brazil
theweek.com,"Dodgers pitcher Rich Hill says Trump should focus on the country, not 'moves made in a World Series game'"
theweek.com,Trump's brief Pittsburgh synagogue shooting censure was reportedly crafted by Ivanka and Jared Kushner
theweek.com,Utah Democrat Ben McAdams leads GOP Rep. Mia Love by 6 points in new poll
theweek.com,Democrat Krysten Sinema expands lead over Republican Martha McSally in Arizona Senate race
theweek.com,Louis C.K. jokes about getting 'in trouble' in his first advertised Comedy Cellar performance
theweek.com,Plane carrying 188 people crashes after taking off from Jakarta
theweek.com,"Republicans, Trump may rue this 2015 rule change if Democrats flip the House"
theweek.com,Nikki Haley has an interesting response to people blaming Trump for the Pittsburgh shooting
theweek.com,The Trump administration is very concerned about 'probing the mental processes of a Cabinet secretary'
