source,title
time.com,Rejoice. The New Apple Emojis Are Here at Last
time.com,President Trump Wants to End Birthright Citizenship by Executive Order
time.com,More Than 90% of Generation Z Is Stressed Out. And Gun Violence Is Partly To Blame
time.com,"Human Activity Is Decimating Global Wildlife Populations, Says New WWF Report"
time.com,President Trump Keeps Hostile Tone as Synagogue Mourns
time.com,President Trump's Birthright Citizenship Idea Is Part of His All-Out Midterm Strategy
time.com,Give Up On Being Productive Today Because the Halloween Google Doodle Is Multiplayer Madness
time.com,Shaun White Came Under Fire for His 'Special Jack' Halloween Costume
time.com,Nicki Minaj and Cardi B Call a Truce After Hours of Intense Feuding Online
time.com,"As Election Day Nears, Concern Grows Over Absentee and Mailed Ballot Counting"
time.com,"New MacBook Air, iPad Pro and More: Everything Apple Just Announced"
time.com,These Are the Best 2018 Halloween Pranks So Far
time.com,China Just Eased a Ban on Rhino and Tiger Parts. Here's How Organized Crime Fuels Illegal Poaching
time.com,Caravans Help Migrants Travel Safely. But Recent Attention from Trump Might Change That
time.com,Create a Video for Ava DuVernay's Optimism Project With TIME
time.com,Rescuers Retrieve Debris and at Least 10 Bodies From Indonesian Plane Crash at Sea
time.com,"Venice Is 75% Underwater as Italy Confronts Widespread Flooding, Deadly Winds"
time.com,President Trump Heads to Pittsburgh Today as Funerals Begin for Synagogue Victims
time.com,Pharrell Demands President Trump Stop Playing 'Happy' at His Political Rallies
time.com,How Big a Role Does Social Media Play in Homegrown Terrorism?
time.com,"Pickup Truck Strikes and Kills Three Indiana Kids Boarding Their School Bus, Critically Injures Another"
time.com,U.N. Demands Immediate End to Armed Attacks in Ebola-Impacted Areas of Congo
time.com,What's 'Welly Wanging'? Meghan Markle Beat Prince Harry at This Cool Boot Throwing Game
time.com,Saudi Arabia and Turkey's Top Prosecutors Discuss Joint Probe Into Jamal Khashoggi's Killing
time.com,Actress Accuses Geoffrey Rush of Touching Her Breast During a Play
time.com,South Dakota Executes Inmate After Supreme Court Ruling
time.com,Holocaust Survivor Recounts Witnessing the Pittsburgh Synagogue Shooting: 'The Guy Was Very Focused'
time.com,Voters Are Upset But Unswayed by Synagogue Shooting and Mail Bombs
time.com,Pittsburgh Shooting Suspect Appears in Court in a Wheelchair
