source,title
timesofisrael.com,Calls for safety measures after family of 8 killed in highway crash
timesofisrael.com,"In Jerusalem, a city divided on its next mayor until the bitter end"
timesofisrael.com,Over 2 million Israelis vote in local elections so far
timesofisrael.com,Squirrel Hill Struggles For A Sense Of Normalcy
timesofisrael.com,Driver who hit family of 8 in dead sea crash completes medical treatment; now being interrogated
timesofisrael.com,Jewish doctors treated anti-Semitic Pittsburgh gunman after rampage
timesofisrael.com,Are hate crimes indicative of a whole society or just crimes of hate?
timesofisrael.com,"Millions vote in local races by afternoon, marking slight increase in turnout"
timesofisrael.com,The Day After the Politics of Division
timesofisrael.com,"HIAS, Immigrant Aid Group Vilified By Pittsburgh Gunman, Vows Not To Back Down"
timesofisrael.com,Growing Up In This America
timesofisrael.com,"‘I lost a brother’: Pittsburgh Jewish community mourns, buries shooting victims"
timesofisrael.com,Religious Affairs Minister David Azoulay dies after battle with cancer
timesofisrael.com,Synagogue rampage victims’ funerals begin as Trump heads to Pittsburgh
timesofisrael.com,Second caravan reaches city in far-southern Mexico
timesofisrael.com,How can we learn from the massacre?
timesofisrael.com,"Six kids, parents killed in fiery wreck on Dead Sea highway"
timesofisrael.com,Religious Affairs Minister David Azoulay passes away after battle with cancer
timesofisrael.com,"Israel, Boeing sign 'reciprocal' spending deal"
timesofisrael.com,Baroness Tonge stands down as patron of Palestine Solidarity Campaign
timesofisrael.com,New events for English speakers: Encountering genius in Jerusalem
timesofisrael.com,Messages of consolation and hope come from politicians here and abroad
timesofisrael.com,US Jewry: Caught in the Middle
timesofisrael.com,Naftali Bennett’s visit to the Tree Of Life Synagogue
timesofisrael.com,‘My Holy Place Was Defiled. We Will Rebuild’
timesofisrael.com,"Foxman after Pittsburgh: Trump is a demagogue, a threat to democracy and Jews"
timesofisrael.com,Anti-Semitism is Dead in America–Jew Hatred is Not
timesofisrael.com,"In Pittsburgh, hatred of Jews is nothing new"
timesofisrael.com,Harassed In The Holy City
timesofisrael.com,"Pittsburgh, Trump and the End of an Era: Angela Merkel’s Stepping Down will lead to more Antisemitism around the world"
timesofisrael.com,Two communities express ‘dismay’ at local party’s affiliation to JVL
timesofisrael.com,Trump says he plans to scrap birthright citizenship for some children
timesofisrael.com,Dear fellow Jews in exile
timesofisrael.com,Netanyahu offers condolences over passing of Minister David Azoulay
timesofisrael.com,"After Pittsburgh, We Need A Coalition Of Conscience"
timesofisrael.com,"Semitism: Jews, The Alt-Right And Donald Trump"
timesofisrael.com,The Peculiar World Tours of The New York Times
timesofisrael.com,Ahed Tamimi—Wrongly Glorified By Media Outlets
timesofisrael.com,How the Pittsburgh synagogue shooting unfolded — minute-by-minute
timesofisrael.com,To Congregate and Worship Without Fear
timesofisrael.com,How Jewish Law [Actually] Works
timesofisrael.com,Israeli Rocket Reciprocity
timesofisrael.com,"Synagogue shooter’s obsession with HIAS mixed hatred of Jews, migrants"
timesofisrael.com,"At Tel Aviv polling stations, activists for opposing parties find common ground"
timesofisrael.com,Jewish History Comes to America
timesofisrael.com,"Think local, vote local: 9 things to know for October 30"
timesofisrael.com,"11 Dead, 6 Injured In Pittsburgh Synagogue Shooting"
timesofisrael.com,"After A Mass Synagogue Shooting, A Post-Shabbat Service Draws Thousands"
timesofisrael.com,Use Your Jewish Conscience in The Voting Booth
timesofisrael.com,World rallies around Pittsburgh offering help and support
timesofisrael.com,The Blessings The Murdered Pittsburgh Brothers Leave Behind
timesofisrael.com,Rabbis shaken by attack rally to comfort others
timesofisrael.com,Squirrel Hill JCC becomes crisis center
timesofisrael.com,‘Our Hearts Are Broken’
timesofisrael.com,Federation representatives and FBI agent debrief community leaders
timesofisrael.com,Messages Of Solidarity From Prominent Jews Following Pittsburgh Shooting
timesofisrael.com,"Eleven dead, six injured in anti-Semitic attack at Tree of Life*Or L’Simcha"
timesofisrael.com,These Are The Names Of The Victims Of The Pittsburgh Synagogue Shooting
timesofisrael.com,A tailor-made exhibit tells Holocaust story
timesofisrael.com,Trump: Shooting Deaths At Pittsburgh Synagogue Due To Lack Of Armed Guards
timesofisrael.com,European Leader: Pittsburgh Shooting May Be ‘Turning Point’ For US Jewry
timesofisrael.com,"After synagogue massacre, interfaith Havdalah vigil unites a shattered community"
timesofisrael.com,New book offers wisdom from a braided loaf
timesofisrael.com,Local rabbis identify next steps for victims’ bodies
timesofisrael.com,"Is Harvard, which once capped the number of Jews, doing the same to Asians?"
timesofisrael.com,Pittsburgh synagogue shooting shakes the city’s iconic Jewish neighborhood
timesofisrael.com,Official: reporting threats essential to keeping Jewish community safe
timesofisrael.com,Emily Skopov and Mike Turzai share thoughts on state legislative race
timesofisrael.com,"Lamb, Rothfus speak out on issues prior to Nov. 6 vote"
timesofisrael.com,"In Denmark, the world’s only happy Holocaust commemoration event"
timesofisrael.com,Former Mossad agent speaks about spying and the silver screen
timesofisrael.com,"Farcical and fantastic, ‘Heroineburgh’ finishes season one"
timesofisrael.com,Conservative rabbis can now attend intermarriages
timesofisrael.com,New York sculptor visits Steel City to reveal meaning behind work
timesofisrael.com,Monroeville celebrates diversity with interfaith panel
timesofisrael.com,Finding balance in competing views
timesofisrael.com,"Protecting families, protecting jobs"
timesofisrael.com,Chutzpah to accuse to Republicans of anti-Semitism
timesofisrael.com,Hamas leaders go into hiding fearing fresh Israeli strikes — reports
timesofisrael.com,"US Student Detained In Israeli Airport Can Stay In Country, Supreme Court Rules"
timesofisrael.com,Israel to place Iron Dome battery in Beersheba area after Gaza rocket fire
timesofisrael.com,A Guide To The Jewish Democratic House Candidates In The 2018 Midterm Elections
timesofisrael.com,Fighting Hate Is About Leadership
timesofisrael.com,Bearing Witness To A Sacred Act Of Memorializing Those Lost In The Holocaust
