source,title
todayonline.com,"TODAY's morning brief for Thursday, Oct 18"
todayonline.com,"Electronic arrival cards for visitors to Singapore, trial starts Oct 4"
todayonline.com,‘Viral’ video of autistic man masturbating on MRT train sparks calls for greater empathy
todayonline.com,Mandai mangrove and mudflats to be Singapore’s newest nature park
todayonline.com,Singapore’s education should reflect the real world: Minister Ong Ye Kung
todayonline.com,Fatal road accidents and fatalities hit all-time low in 2017: Traffic Police
todayonline.com,Former Lions striker Arshad Khamis dies of suspected heart attack
todayonline.com,"Well-dressed, successful, and depressed: ‘High-functioning’ depression seen in more patients"
todayonline.com,"ComCare disbursement holds steady at S$131m, number of beneficiaries shrinks"
todayonline.com,All adult Singaporeans will get one-off bonus of up to S$300
todayonline.com,Finnish start-up partners ComfortDelGro to launch new multimodal transport app
todayonline.com,"Activist Jolovan Wham’s refusal to sign police statement was a ‘personal practice’, because he could not get copy of document"
todayonline.com,"A peek into Tengah, the next new HDB town the size of Bishan"
todayonline.com,At least 1.76 billion plastic items used each year; non-profit to launch 'two is enough' campaign
todayonline.com,Electronic voter registration on the cards for next General Election
todayonline.com,"After 19 years in the business, homegrown IT retailer Newstead goes into liquidation"
todayonline.com,"TODAY's morning brief for Wednesday, Oct 10"
todayonline.com,Copyright owners take legal set-top box sellers to court in unprecedented case
todayonline.com,"The Big Read: With a house still divided over 377A, time to seek common ground"
todayonline.com,"New Punggol Digital District to create 28,000 jobs, open gradually from 2023"
todayonline.com,"Repealing Section 377A will ensure a ‘secular common space’, says local human rights group Maruah"
todayonline.com,"TODAY's morning brief for Friday, Sept 28"
todayonline.com,Malaysian bakery launches nasi lemak mooncake
todayonline.com,No effective recourse from neighbours' second-hand cigarette smoke
todayonline.com,Those responsible for CFC Dave Lee’s death will be taken to task: Defence force chief
todayonline.com,Giant's footprint shrinking in Singapore? Hypermarket chain to close VivoCity outlet in early 2019
todayonline.com,Govt ministers paid an average performance bonus of 4.1 months in 2017
todayonline.com,"Don’t call us an ‘elite school’, says RI as it ramps up outreach to heartland primary schools"
todayonline.com,Pipeline of private properties will require 5 years to be absorbed: Redas
todayonline.com,SCDF ragging death: At least one officer to claim trial
todayonline.com,"TODAY's evening brief for Monday, Oct 1"
todayonline.com,Why HDB owners should forget about getting a windfall from Vers
todayonline.com,At least 5 reported cases of ragging in SCDF since 2010; officers involved sent to detention barracks
todayonline.com,"MOE to review intake guideline for polytechnics through aptitude-based admission, after record number of successful applicants"
todayonline.com,Molestation suspect brought back to scene of crime in Tampines
todayonline.com,Two golf courses to be phased out by 2024
todayonline.com,"For new breed of local farmers, the sky’s the limit"
todayonline.com,"MyRepublic enters mobile scene with ‘boundless’ data, 3 new mobile plans from S$35"
todayonline.com,"Not just ‘phantom rides’, UberEATS customers also charged for food orders they didn’t make"
todayonline.com,"New 40,000 sq ft indoor activity park to open in November"
todayonline.com,Ellen Lee re-elected table tennis president after defeating former youth player Toh
todayonline.com,"Meet Singapore’s first electric supercar, the Vanda Dendrobium"
todayonline.com,Technical glitch resolved on Grab app; tens of thousands affected across the region
todayonline.com,"NUS student gets caning, 9 months' jail for molesting fellow student, peeping in hall toilet"
todayonline.com,SRC Recruitment and employee face 243 charges for advertising maids in ‘undignified light’ on Carousell
todayonline.com,"HDB resale flats to become less attractive, as buyers look for better store of value: Credit Suisse report"
todayonline.com,"Praised by netizens, but policeman thought he ‘looked very ugly’ in Rochor Canal viral video"
todayonline.com,MOF rejects historian Thum Ping Tjin's appeal against failed company registration
todayonline.com,"S$18m joint S’pore-UK project to tap quantum tech, could lead to more secure online activities"
todayonline.com,"Bill passed to boost LTA’s enforcement efforts, set new fire standard for PMDs"
todayonline.com,Possible 3rd link to Singapore: Johor govt moots bridge to Pulau Ubin
todayonline.com,Former STB chief executive joins ride-hailing firm Grab as CEO advisor
todayonline.com,Consumers may switch electricity retailers as open market rolls out in phases from Nov 2018 to May 2019
todayonline.com,"StarHub to retrench 300 full-time employees, restructure company"
todayonline.com,"S’pore, China to export lessons gleaned from Tianjin and Suzhou flagship projects: DPM Teo"
todayonline.com,Extended car-free event in late October promises more activities for all
todayonline.com,"Keppel scandal: Govt ‘extremely disappointed’, warns S’pore firms to uphold integrity"
todayonline.com,"New 5km category, 2-day format for Standard Chartered Singapore Marathon"
todayonline.com,New Jurong Region Line will connect NTU to existing Choa Chu Kang and Boon Lay stations
todayonline.com,MAS urges cryptocurrency investors to act with ‘extreme caution’
todayonline.com,S’pore declares 2018 as ‘Year of Climate Action’
todayonline.com,Homegrown tour company Duck & Hippo acquired by international operator
todayonline.com,En bloc bid stirring emotions at Mandarin Gardens
todayonline.com,"No discrimination against LGBTQ community at work, in housing and education here: Ong Ye Kung"
todayonline.com,Witness lying about not having close friendship with man who sexually abused daughter: Prosecution
todayonline.com,"Employment rate among fresh poly grads dips, but wages rise: Survey"
todayonline.com,New ‘recommended’ SkillsFuture courses rolled out for emerging fields
todayonline.com,"Teen accuses athletics coach of molest, dad tells her to forgive coach and ‘move on’"
todayonline.com,"Singapore still incurring costs for HSR, will exercise rights to compensation should project be canned: Khaw"
todayonline.com,Former part-time Uber driver jailed for causing death of passenger
todayonline.com,"Rainwater seepage caused cracks on Adam Road, contractor will take preventive measures: LTA"
todayonline.com,BLACKOUT: Two generators at Sembcorp and Senoko identified as source of power trips; cause being investigated
