source,title
tolonews.com,First Ever Girls’ Hygiene Guideline Launched in Kabul
tolonews.com,WARZISH: ANA Summer Cup Competitions Wrapped Up In Kabul
tolonews.com,MPs Reject Govt Report on Gen. Raziq’s Assassination
tolonews.com,Japanese Envoy Says Afghanistan’s Ongoing Drought Is ‘Tragic’
tolonews.com,Afghan U14 Football Team Gearing Up For Semi-Finals
tolonews.com,JAHAN NAMA: US To Impose Second Phase of Sanctions on Iran
tolonews.com,FARAKHABAR: Govt Says Baradar’s Release Will Not Affect Situation
tolonews.com,IEC Yet to Begin Transfer of Data to Its Main Servers
tolonews.com,Release Of Baradar ‘Will Not Affect’ Current Situation
tolonews.com,IEC To Include Votes Not On Biometric System
tolonews.com,Indonesian Plane With 189 On Board Crashes
tolonews.com,148 IEC Staff In Kandahar Fail To Show Up On Election Day
tolonews.com,US Expert Sees Certain Weaknesses In Trump’s Strategy
tolonews.com,Pakistan Embassy Confirms Release Of Taliban’s Baradar
tolonews.com,"Afghan, Tajik MMA Fighters Compete In ‘Fight Night 05’"
tolonews.com,60 People Arrested In Connection With Election Crimes
tolonews.com,IECC Accused Of Interfering in IEC’s Affairs
tolonews.com,Pakistan to Attend Moscow Meeting on Afghan Peace
tolonews.com,Biometric Devices Were Used Offline On Elections Day
tolonews.com,Ancient Crystals Shed Light On Earth’s Earliest History
tolonews.com,Ghazni Elections Could Be Held With Presidential Elections
tolonews.com,Finally Kandahar Residents Cast Their Votes
tolonews.com,FARAKHABAR: Remarks on US Strategy Failure Discussed
tolonews.com,Mullah Baradar’s Release Met With Mixed Reaction
tolonews.com,UNSC Urges IEC To Redouble Efforts To Ensure Transparency
tolonews.com,Raziq's Killer Made Phone Call Moments Before Shooting: NDS
tolonews.com,Kandahar Residents Ready To Vote
tolonews.com,ENTIKHABAT 97: IEC Opens Election Results Counting Center
tolonews.com,MPs Want Details On Raziq’s Death After Ghani Blames Pakistan
tolonews.com,A Round Up Of Saturday’s Parliamentary Elections
tolonews.com,Raziq’s Death Leaves Massive Void In The South
tolonews.com,"OIC Hails Afghanistan’s Elections, Condemns Attacks On Voters"
tolonews.com,Leaders Welcome The People’s Strong Will To Vote
tolonews.com,6:30 REPORT: Election Complaints Assessed
tolonews.com,Helmand Residents Lined Up To Vote Despite Threats
tolonews.com,Ghani Thanks The Nation For Successful Elections
tolonews.com,IEC To Start Counting Votes On Wednesday
tolonews.com,Abdullah Visits Raziq’s Grave To Pay His Respects
tolonews.com,Turkey Suggests Khashoggi’s Remains Taken Out Of Consulate
tolonews.com,IEC Opens Election Results Counting Center
tolonews.com,Most Complaints Related to IEC’s Inefficiencies: IECC
tolonews.com,"Around 4 Million People Voted, Says IEC Chief"
tolonews.com,Taliban Chop Off A Helmand Voter’s Finger
tolonews.com,Roundup Of Elections In Northern Provinces
tolonews.com,World Bank Pledges $298 Million For Afghanistan’s Education
tolonews.com,Women Make Up 40 Percent of Herat Voters
tolonews.com,CEO And US Envoy Discuss Parliamentary Elections
tolonews.com,Raziq’s Assassination Was Plotted in Pakistan: Ghani
tolonews.com,Danish Says Voter Turnout Was Testimony To The People’s Resolve
tolonews.com,Biometric Devices Not Used At Paktia Polling Stations
tolonews.com,Parties Claim Elections Were ‘Riddled With Fraud’
tolonews.com,UNAMA Urges Voters To Report Suspected Fraud
tolonews.com,Shaheen Through To APL Finals After Beating Atalan
tolonews.com,Paktia Officials Blast IEC Over Election Chaos in Province
tolonews.com,CEO Casts His Vote After Short Delay
tolonews.com,IECC Disqualifies 7 Candidates Two Days Before Elections
tolonews.com,Analysts Say Raziq’s Assassination Was Plotted In Pakistan
tolonews.com,Not All Polling Stations Open On Time
tolonews.com,ELECTION DEBATE: Importance Of People’s Participation In Election
tolonews.com,AIHRC Registers 30 Attacks Against Candidates
tolonews.com,IEC Could Open Some Polling Stations Sunday
tolonews.com,Barmak Confirms 192 Security Incidents On Election Day
tolonews.com,Afghans Deserve Inclusive and Credible Elections: UNAMA
tolonews.com,FARAKHABAR: Raziq’s Death Leaves Massive Void In The South
tolonews.com,President Ghani Casts His Vote
tolonews.com,Mattis Calls Gen. Raziq’s Death A “Tragic Loss”
tolonews.com,INTERVIEW – Miller Discusses Kandahar Attack
tolonews.com,‘Khalilzad Can’t Talk To Taliban On Behalf of Afghans’
tolonews.com,"Over 13,000 Complaints Lodged During Elections"
tolonews.com,Samangan’s Police Security Chief Killed In Clash With Taliban
tolonews.com,"ENTIKHABAT 97: Over 13,000 Complaints Lodged During Elections"
tolonews.com,Almost 400 MoUs Signed At Afghan-India Trade Show
tolonews.com,Alarm Bells Ring Over High ANA Casualty Rate
tolonews.com,Karzai’s Remarks On US Failure Meet With Mixed Reaction
tolonews.com,Study Finds Americans Feel US’s Involvement Has ‘Failed’
tolonews.com,India Beats Pakistan By Eight Wickets in Asia Cup 2018
tolonews.com,IEC Warns Candidates Against Disrupting Elections
tolonews.com,Kabul’s Charlie Chaplin Helping People To Forget Their Grief
tolonews.com,"Govt, IEC Asked to Disclose Election Biometric Plan"
tolonews.com,India to Provide 600 University Scholarships to Afghans
tolonews.com,"Activists Meet Balkh Residents, Insist Peace Will Come"
tolonews.com,Vietnam’s President Tran Dai Quang Dies Of Illness At 61
tolonews.com,New ‘Assembly’ Meets To Map Out Ways To End War
tolonews.com,35 Wrestlers Killed In Wednesday Twin Bombings: Residents
tolonews.com,District Police Chief Killed In Taliban Attack in Zabul
tolonews.com,Envoy Assures UN’s Support To Afghan Peace
tolonews.com,Embassies Will Decide On Elections’ Winners And Losers: Hekmatyar
tolonews.com,Watchdogs Want Timely Transfer Of Election Materials
tolonews.com,Revision Of BSA Contravenes Country’s National Interests: Danish
tolonews.com,China Trade Surplus With US Widens To Record $34.1B
tolonews.com,Amu and Bazan Match Ends In 1-1 Draw
tolonews.com,AJSC Reacts to Saudi Journalist’s Disappearance
tolonews.com,IEC Chief Rules Out Claims Over Poor Management
tolonews.com,"Abdullah, And China’s Premier Hold Talks At SCO Summit"
tolonews.com,Study Finds Defects In Biometric Devices
tolonews.com,Afghans To Vote In Parliamentary Elections
tolonews.com,"52,000 Patients In A Year; MoPH Says Cardiac Disease On The Rise"
tolonews.com,Afghanistan ‘Will Shine’ at 2019 World Cup: Stanikzai
tolonews.com,UAE’s Air Arabia Launches Service To Afghanistan
tolonews.com,"MoI To Deploy 50,000 Security Forces To Polling Centers"
