source,title
upi.com,Study: Salt consumption factors in multiple sclerosis development
upi.com,Court orders Japanese firm to pay Koreans for forced labor in WWII
upi.com,Crews hunt for 'black boxes' of downed Indonesian jet; 24 bodies found
upi.com,"Miners find rare 5,655-carat 'Lion Emerald' in Zambia"
upi.com,"Major storm could dump snow in the Rockies, flood Texas and put a damper on Halloween"
upi.com,'Empire' alum Kaitlin Doubleday expecting first child
upi.com,Home prices continue trend by cooling down in August
upi.com,Cavaliers host Hawks in Drew's 2018 debut
upi.com,Study: World vertebrates population down 60 percent in 40 years
upi.com,"Newly discovered toxic pollutant found in homes, environment"
upi.com,Miami Dolphins sign DE Ziggy Hood
upi.com,BtoB sets Nov. 12 release date for new album
upi.com,"Analysis: Most U.S. jobs don't pay enough for middle, upper-class life"
upi.com,Kylie Jenner surprises Kris Jenner with $250K 'dream car'
upi.com,Typhoon Yutu heads toward China after battering Philippines
upi.com,"China reverses 25-year ban on rhino horn, tiger bone trade"
upi.com,Raiders CB Dominique Rodgers-Cromartie retires from NFL
upi.com,Penguins juggling emotions as they return home to face Isles
upi.com,Ava DuVernay to direct Prince documentary for Netflix
upi.com,GE cuts once-valued dividend to 1 cent
upi.com,German nurse admits thrill in pushing patients to edge of death; 100 died
upi.com,"Will Smith, Jada Pinkett Smith say divorce was 'never' an option"
upi.com,Reports: Mobster 'Whitey' Bulger found dead in West Virginia prison
upi.com,Lena Dunham to adapt Syrian refugee survival story
upi.com,Vanessa Kirby joins 'Fast and Furious' spinoff 'Hobbs and Shaw'
upi.com,Four in 10 mistakenly believe alternative therapies cure cancer
upi.com,Klay Thompson breaks record for 3-pointers in a game
upi.com,Wizards look to tighten defense against Grizzlies
upi.com,Trump plans order to end birthright citizenship for migrant babies
upi.com,POW office: Recovery of Korean War remains could restart in spring
upi.com,Kim Jong Un provides field guidance in snow-covered Samjiyon County
upi.com,Flames first up in Sabres' sudden schedule crunch
upi.com,"Parker Solar Probe breaks speed record, becomes closest spacecraft to sun"
upi.com,Real Madrid fires manager Julen Lopetegui
upi.com,Misty Copeland dazzles at 'Nutcracker and the Four Realms' premiere
upi.com,Hundreds of witches paddle down Oregon river
upi.com,Pittsburgh mourns victims of synagogue attack ahead of Trump visit
upi.com,Texans acquire WR Demaryius Thomas from Broncos
upi.com,"U.S. fuel prices keep dropping, analysts disagree on when trend will reverse"
upi.com,Crude futures fall as traders get in position for inventory build-up
upi.com,Dance floor sinks under patrons' feet at Florida bar
upi.com,"U.S., Japan start biennial Keen Sword military exercise"
upi.com,Fields set for Breeders' Cup World Championships
upi.com,Taylor Lautner goes Instagram official with new girlfriend
upi.com,Bob Saget marries Kelly Rizzo in California
upi.com,Bengals look to improve defense during bye week
upi.com,Niners have quick turnaround as rumors swirl
upi.com,"Honest nephew helps aunt win $300,000 lottery prize"
upi.com,Carolinas still reeling from Florence six weeks after storm
upi.com,Florida man kicks bear to rescue small dog
upi.com,'The Voice': Cody Ray Raymond leaves due to 'personal matters'
upi.com,Marine Corps taps Rheinmetall for MK19 practice ammunition
upi.com,New York town changes name to Hauntington for Halloween
upi.com,"Patriots do just enough to defeat Bills, 25-6"
upi.com,Hurricanes cap homestand vs. Bruins
upi.com,Subway worker warned for throwing bread to deer
upi.com,"Seahawks' Kendricks banned 8 games, to return Week 14"
upi.com,Monkey steals cobra from snake charmer at Indian temple
upi.com,Lions' Tate quells rumor being in trade talks
upi.com,"Leonardo DiCaprio, Martin Scorsese join 'Killers of the Flower Moon'"
upi.com,Study: Protein marker ID'd that can predict whether metastatic cancer will turn deadly
upi.com,"Fantasy Football: Best Week 7 free agents, drops"
upi.com,Evan Rachel Wood is 'down' for 'Practical Magic' sequel
upi.com,Angry Rich Hill creates candy explosion in Dodgers dugout
upi.com,U.N. report: World population to rise by 2.2 billion by 2050
upi.com,ELTA nabs $55M contract for combat aircraft radars for Asian customer
upi.com,"'Mary Queen of Scots': Saoirse Ronan, Margot Robbie stand proud in new poster"
upi.com,Study shows how father's experiences pass to offspring via sperm
upi.com,Fantasy Football: Week 7 kicker and defense rankings
upi.com,Jaguars owner Shad Khan drops bid to purchase Wembley Stadium
upi.com,Saints-Ravens: Drew Brees vs. No. 1 defense
upi.com,Navy extends Rockwell Collins contract for F/A-18 avionics display support
upi.com,'Roseanne' spinoff 'The Conners' debuts on ABC; Barr weighs in
upi.com,Better treatments for acute myeloid leukemia sought with largest dataset
upi.com,FDA seeks to strengthen cybersecurity of medical devices
upi.com,Adam Sandler returns to stand up in Netflix special '100% Fresh'
upi.com,"Tia Mowry, Loretta Devine to star in Netflix's 'Family Reunion'"
upi.com,Satellite monitoring could help curb illegal fishing in shark sanctuaries
upi.com,Tyler Hoechlin wears black Superman suit in 'Arrow' crossover tease
upi.com,Oil prices steady but analysts wary of Saudi reaction to Khashoggi allegations
upi.com,No. 3 Clemson hosts No. 16 N.C. State in key ACC battle
upi.com,BSEE: 7.7 percent of Gulf oil output still shut-in following Hurricane Michael
upi.com,Astros' Charlie Morton well rested for Game 4 start vs. Red Sox
upi.com,Forest carbon stocks overestimated for half-century due to flawed formula
upi.com,ALCS: Jackie Bradley Jr. slams Red Sox past Astros in Game 3
upi.com,Study: Bariatric surgery weight gain percentage linked to health risks
upi.com,Rams' Cooper Kupp expected to miss Week 7
upi.com,"John Mara: Odell Beckham Jr. needs to do more playing, less talking"
upi.com,Democrats agree to confirm 15 of Trump's judicial picks to have time for campaigning
upi.com,Push-button pain meds curb need for opioids after C-section: Study
upi.com,Movement of the tropics altered human history during the last 800 years
upi.com,Kendra Wilkinson signs divorce papers: 'I gave it all I got'
upi.com,"Spain's Ibedrola sells hydro, gas-powered assets in U.K. for $929M"
upi.com,Report: More than half U.S. agencies met deadline to upgrade cybersecurity
upi.com,CEO of U.S.-based charity in Liberia steps aside amid rape inquiry
upi.com,"Fish oil may curb breast cancer cells growth, spread"
upi.com,On This Day: Chiang Kai-shek becomes chairman of China
upi.com,"Becky G, Gloria Trevi and more to host 2018 Latin AMAs"
upi.com,Dwayne Johnson meets Jason Statham in 'Hobbs and Shaw' photo
upi.com,U.N.: Yemen crisis could produce 'worst famine in the world in 100 years'
