source,title
usatoday.com,"James 'Whitey' Bulger, notorious Boston gangster, found dead in prison"
usatoday.com,Philadelphia Eagles land WR Golden Tate from Detroit Lions in trade
usatoday.com,Pizza Hut to show a pie-making robot in a Toyota at SEMA auto show in Las Vegas
usatoday.com,Rami Malek 'totally understands' criticism that Queen film straightwashes Freddie Mercury
usatoday.com,"A souped up new iPad Pro could cost you nearly $2,800 -- more than a MacBook Air"
usatoday.com,"Couple's $5,000 Bali honeymoon ruined because their dog chewed passport"
usatoday.com,Duchess Meghan recycles navy dress at New Zealand reception
usatoday.com,NASA’s not giving up on silent Mars opportunity rover just yet
usatoday.com,Pistol Annies celebrate the humor of life
usatoday.com,"Bowl projections: Top four stays same, New Year's Six games altered after wild Week 9"
usatoday.com,Oakland Raiders CB Dominique Rodgers-Cromartie retires at midseason
usatoday.com,These companies are hiring just for the holidays
usatoday.com,Misty Copeland premieres movie after 'a difficult couple of days'
usatoday.com,"Denver Broncos trade WR Demaryius Thomas to Houston Texans, per report"
usatoday.com,"We've lost 60 percent of animal populations since 1970. This generation may be last to save nature, report says"
usatoday.com,"Pink's daughter visits ER after playground fall, but she's happy she got out of chores"
usatoday.com,"She's changing kids' eating habits, one meal at a time"
usatoday.com,Ava DuVernay working on Prince documentary for Netflix
usatoday.com,"5-year-old tests positive for meth after reportedly eating Halloween candy, police say"
usatoday.com,"Stock market rebounds, with Dow higher on stronger corporate earnings"
usatoday.com,Scariest places in sports? Start with a coach in Cleveland
usatoday.com,Golden again: US women cruise to fourth straight title at world gymnastics championships
usatoday.com,Mother reunites with son after he was abducted 31 years ago
usatoday.com,"Pittsburgh gripped by sadness, shadowed by controversy: City awaits Trump as funerals begin"
usatoday.com,Neanderthals stood up straighter than us and could walk farther
usatoday.com,"Why isn't Kroger shooting being called a hate crime, critics ask"
usatoday.com,Here are the 5 best Amazon deals you can get this Tuesday
usatoday.com,Indonesian president inspects plane crash debris
usatoday.com,Deadly shooting at Butler High School started with bullying
usatoday.com,"NATO, Russia hold drills in same area off Norway"
usatoday.com,Mychal Kendricks suspended eight games but eligible to play for Seahawks in Week 14
usatoday.com,Clippers coach Doc Rivers says he 'can't stand 99.9%' of what President Donald Trump says
usatoday.com,Vice President Mike Pence says Trump's plan to curb birthright citizenship may be constitutional
usatoday.com,Biden: 'Change the tone' of political discourse
usatoday.com,Most googled Halloween costumes in 2018
usatoday.com,Honda rugged open-air concept vehicle debuts at SEMA Show
usatoday.com,Jayhawks QB Bender has breakthrough moment in upset win
usatoday.com,Kimmel reveals why the Dodgers lost the World Series in Best of Late Night
usatoday.com,UGA's 'Hot Rod' Blankenship returns to where legend was born
usatoday.com,NFL power rankings: Huge matchups could shake up top 10
usatoday.com,Indians exercise contract options on starter Carrasco
usatoday.com,Seahawks' Kendricks banned 8 games for insider trading
usatoday.com,NFL trade deadline: Perfect landing spots 8 big-name players on the trading block
usatoday.com,"President Trump wants to end ""birthright citizenship"" law"
usatoday.com,Delta-Northwest merger OK'd 10 years ago Monday
usatoday.com,Cavs' star Love could miss significant time with foot injury
usatoday.com,The other countries that grant birthright citizenship
usatoday.com,Shaun White through the years
usatoday.com,AP All-America Watch: TD-scoring d-tackle; Gophers star WR
usatoday.com,Time for Penny Hardaway to transfer hoopla into hoop wins
usatoday.com,"Mistakes, punches, quitting: A difficult year for Seminoles"
usatoday.com,Big 12 adopts verification of Baylor Title IX reforms
usatoday.com,Tom Brady calls Aaron Rodgers 'inspiring' ahead of dream matchup
usatoday.com,Report: Broncos finalizing trade for Demaryius Thomas with Texans
usatoday.com,Chelsea coach fined for taunting Mourinho
usatoday.com,NBA shoes: Best kicks of the 2018-19 season
