source,title
venturebeat.com,"Apple debuts smaller, faster iPad Pros with Face ID and USB-C"
venturebeat.com,Amazon launches Alexa Presentation Language in public beta
venturebeat.com,"Apple Watch adds Group FaceTime, emoji, and Color face in watchOS 5.1"
venturebeat.com,Autonomous drone startup Airobotics raises $30 million to accelerate U.S. expansion
venturebeat.com,Google launches AdaNet for combining algorithms with AutoML
venturebeat.com,Ubisoft thrives 6 months after escaping Vivendi’s hostile takeover
venturebeat.com,Here’s why Apple’s iPad Pro dumped Lightning for USB-C
venturebeat.com,NBA 2K on new iPad Pro can match console graphics
venturebeat.com,"Apple shows second-gen Pencil, Smart Keyboard Folio, and USB-C accessories for iPad Pro"
venturebeat.com,Gmail for iOS now lets you view emails from multiple accounts in a single inbox
venturebeat.com,"Apple announces A12X with an 8-core GPU, 90% better multicore performance"
venturebeat.com,Diablo III: Eternal Collection review — helluva perfect for Switch
venturebeat.com,Red Dead Redemption 2 is gaming’s biggest weekend launch … because GTA V hit on a Tuesday
venturebeat.com,Apple updates Mac Mini with 4- or 6-Core CPUs and 2TB SSD
venturebeat.com,"Google updates Firebase with enterprise-grade support, ML Kit Face Contours, Management API, and more"
venturebeat.com,Amazon says it has donated $100 million to charity through AmazonSmile in 5 years
venturebeat.com,Apple passes 400 million iPads sold
venturebeat.com,iOS 12.1 leaks reveal iPad Pro shape and Apple Pencil 2’s gesture UI
venturebeat.com,Google joins $40 million investment in same-day delivery platform Deliv
venturebeat.com,Onedome raises $3.3 million for AR experience The Unreal Garden
venturebeat.com,Super Smash Bros. Ultimate Nintendo Direct streaming on November 1
venturebeat.com,AppZen raises $35 million for AI expense report auditing
venturebeat.com,Amazon expands white-box Alexa device lineup with new home hub and gateway hardware
venturebeat.com,Supercomputer maker Cray introduces first exascale-class system
venturebeat.com,PwC: Reliability may be more important than speed to early 5G customers
venturebeat.com,Concord Raises $25M in Series B Funding Round
venturebeat.com,Ex-BioShock 2 creators launch The Blackout Club co-op horror game on Steam Early Access
venturebeat.com,"Sixgill Edge-Enables Reach™ SDK for Sensor Data Acquisition, Analysis and Action at The Edge of a Network"
venturebeat.com,Concord raises $25 million for digital contract management
venturebeat.com,Apple overhauls MacBook Air with Retina display
venturebeat.com,Apple passes 100 million active Mac users
venturebeat.com,98point6 raises $50 million for AI virtual doctor visits
venturebeat.com,EA unveils its ‘cloud-native gaming’ technology dubbed Project Atlas
venturebeat.com,"HTC Vive joins VirtualLink, a cable standard now backed by all major PC VR players"
venturebeat.com,You can now unlock August Smart Lock with your voice
venturebeat.com,Command & Conquer: Rivals will hit Android and iOS on December 4
venturebeat.com,"Blockchain billionaire Brock Pierce on saving Puerto Rico, cryptocurrency games, and fighting controversy"
venturebeat.com,Apple continues to struggle in India as Xiaomi smartphone sales surge in Q3
venturebeat.com,"Nintendo sells 5 million Switches in six months ended September 30, game copies up 91%"
venturebeat.com,HeadSpin raises $20 million for mobile app performance testing
venturebeat.com,Edgeworx Emerges from Stealth and Announces Availability of Open-Source ioFog Platform for Edge Computing
venturebeat.com,"Sony’s game group grows revenue 27% in Q2, sells 3.9 million PS4s"
venturebeat.com,Right-wing social network Gab.com goes offline after Pittsburgh synagogue shooting
venturebeat.com,Google’s reCaptcha v3 analyzes signals across pages to detect potential attackers
venturebeat.com,"Intel, Mobileye, and Champion Motors team up to deploy Israel’s first self-driving taxi service"
venturebeat.com,Dubai and IBM offer government-endorsed blockchain platform in UAE
venturebeat.com,Red Dead Redemption 2 is a disappointment
venturebeat.com,Dell launches Alienware Area-51 R7 gaming desktop with AMD 2nd-gen Threadripper
venturebeat.com,Christmas Spectacular in New York will feature 100 Intel Shooting Star Mini drones
venturebeat.com,How AI conversational tech is transforming financial services (VB Live)
venturebeat.com,"Apple sets iOS 12.1 for October 30 with Group FaceTime, new emoji, Depth Control, and dual SIM support"
venturebeat.com,Nvidia researchers train robots to pick up objects using synthetic datasets
venturebeat.com,Record $25 billion in deals may be game industry’s Everest
venturebeat.com,"Techfugees Global Challenge winners target health, jobs, education, social inclusion for refugees"
venturebeat.com,BenQ EX3203R monitor review — All of the features with disappointing HDR
venturebeat.com,OnePlus 6T maintains pricing advantage over rival flagship phones
venturebeat.com,Google launches $25 million AI Impact Challenge
venturebeat.com,"OnePlus 6T launches with 6.41″ display and in-screen fingerprint reader, starts at $549"
venturebeat.com,Google Home taps Disney for children’s books
venturebeat.com,Data startup H1 raises $6 million to develop AI tools for searching disease research
venturebeat.com,Get and keep customers with AI-driven UX design (VB Live)
venturebeat.com,DJI’s Mavic 2 Enterprise is a modular drone for commercial use
venturebeat.com,TwitchCon streamer profile: Ruby Rails chooses livestreaming over programming
venturebeat.com,Farmstead partners with Udelv for autonomous grocery delivery
venturebeat.com,SuperData: Destiny 2 and Spider-Man lead September digital console game sales
venturebeat.com,Conversica raises $31 million to grow its conversational AI sales assistant
venturebeat.com,"GEON Network Launches Augmented Reality and Blockchain App, Described as “Foursquare Meets Pokemon GO”"
venturebeat.com,"While AR plays catch-up in other sectors, it’s taking over the enterprise"
venturebeat.com,The 5-point iPhone XR review: How Apple walks the fine line of greatness
venturebeat.com,Bioasis Announces xB3 ™ Platform Technology Licensing Agreement with Prothena
venturebeat.com,PlayStation Classic’s full game list includes Metal Gear Solid and Resident Evil
venturebeat.com,Intel hits diversity targets for U.S. workforce 2 years ahead of goal
venturebeat.com,Sony Xperia XZ3 review: Not worth the price of admission
venturebeat.com,Aleissia Laidacker interview — Making the leap to spatial computing on Magic Leap
venturebeat.com,IBM acquires Red Hat for $34 billion
venturebeat.com,Reviva Pharmaceuticals Selected as a Winner of the 2018 Red Herring Top 100 Global Award
venturebeat.com,Microsoft to U.S. military: We’ve got your six
venturebeat.com,Wargaming shows off World of Tanks spectating in augmented reality
venturebeat.com,Can customer experience design make even buying a car bearable? (VB Live)
venturebeat.com,You’ve closed your financing round. Congratulations. Now what?
venturebeat.com,AI Weekly: Building AI-first companies requires more than hiring data scientists
venturebeat.com,"Why Android Nearby, iBeacons, and Eddystone failed to gain traction"
venturebeat.com,HTC Vive Wireless Adapter review — Trading cables for a battery
venturebeat.com,Scuf Vantage review — This is no Xbox One Elite Controller
venturebeat.com,Trulia’s got the secret to authentic personalization (VB Live)
venturebeat.com,AT&T debuts first 5G puck: Netgear’s Nighthawk 5G Mobile Hotspot
venturebeat.com,TwitchCon’s craziest cosplay creations show how dedicated gamers can be
venturebeat.com,Soulcalibur VI adds Nier: Automata’s 2B
venturebeat.com,AT&T: 5G network launches in ‘next few weeks’ for parts of 12 U.S. cities
venturebeat.com,Belgium’s Cowboy raises $11.5 million to start selling its electric bike across Europe
venturebeat.com,University of Central Florida’s AI finds early lung cancer with up to 97% sensitivity
venturebeat.com,Lucid Software raises $72 million to grow its web-based design and diagramming software
