source,title
vox.com,Trump’s stunning hypocrisy on preexisting conditions
vox.com,A US military training manual describes Saudis as having “Negro blood” in their ancestry
vox.com,The Bible says to welcome immigrants. So why don’t white evangelicals?
vox.com,"Redlands, a comic pitting witches against Florida racists, is a perfect Halloween read"
vox.com,"How anti-Semitism festers online, explained by a monitor of the darkest corners of the internet"
vox.com,Animal populations have declined an astonishing 60 percent since 1970
vox.com,Botham Jean’s family wants the Dallas Police Department to be held liable for his death
vox.com,Domestic terrorism is on the rise. Why won’t cable news networks say so?
vox.com,White evangelicals are the sleeping giant of the 2018 midterms
vox.com,Mike Pence sparks outrage after appearing with “Christian rabbi” in Michigan
vox.com,Trump: the media never blamed Obama for the Charleston church shooting
vox.com,A huge database of scientific retractions is live. That’s great for science.
vox.com,"Christie’s just sold an AI-generated painting for $432,500. It’s already controversial."
vox.com,2 pastors just heckled Jeff Sessions at an event on religious liberty
vox.com,This group is helping voters make sense of which candidates take climate change seriously
vox.com,“Enemy of the People”: how Trump makes the media into the opposition
vox.com,How Netflix’s Sabrina updates the witch fantasy of the 1990s
vox.com,How 2018 voters could change America’s criminal justice system
vox.com,Young people say they plan to vote at near-historic highs
vox.com,Trump wants to end birthright citizenship
vox.com,"The hottest fashion brand in the world was built on irony and $1,000 sweatshirts"
vox.com,Let’s stop pretending Trump is just pretending
vox.com,"The conspiracy theory that led to the Pittsburgh synagogue shooting, explained"
vox.com,“It’s unacceptable”: Sen. Maggie Hassan explains her plan to end surprise ER bills
vox.com,Billionaires are spending their fortunes reshaping America’s schools. It isn’t working.
vox.com,“A collapse of the center”: why fringe movements are winning around the world
vox.com,Electric vehicles are going to render the fight over fuel economy standards moot
vox.com,"Corruption, fake news, and WhatsApp: how Bolsonaro won Brazil"
vox.com,"What good are elections, anyway?"
vox.com,“The president’s going to continue to fight back”: White House defends Trump’s media attacks
vox.com,Former President Jimmy Carter calls for Georgia Secretary of State Brian Kemp to resign
vox.com,"The US is sending 5,000 troops to the border. Here’s what they can and can’t do."
vox.com,The Heathers TV show was pulled following a mass shooting — for the third time this year
vox.com,Twitter’s rumored killing of the “like” button highlights its misplaced priorities
vox.com,The biggest corruption scandal in Latin America’s history
vox.com,Why science can’t replace religion
vox.com,A Financial Times editor calls for a Fox News advertiser boycott
vox.com,Food halls are everywhere now. It’s because we crave “authenticity.”
vox.com,"Gab, the social media platform favored by the alleged Pittsburgh shooter, explained"
vox.com,Trump’s responses to mass shootings are a giant lie by omission
vox.com,Spooky food doesn’t taste good
vox.com,Outgoing California Gov. Jerry Brown has a new job: preventing nuclear war
vox.com,Progressive Jewish leaders to Trump: You’re not welcome in Pittsburgh “until you fully denounce white nationalism”
vox.com,100 drones are joining the cast of the Radio City Christmas Spectacular
vox.com,Racial slurs and fat-shaming insults keep popping up on receipts. Is Trump worsening the trend?
vox.com,"The battle over early voting, explained"
vox.com,Kellyanne Conway blamed synagogue shootings on “anti-religiosity”
vox.com,Republicans don’t want to acknowledge that Trump’s rhetoric is fueling political divisions
vox.com,"Over half of the movies released in the last 50 years were rated R, according to a new report"
vox.com,Vox Sentences: One of the deadliest days for Jews in America
vox.com,Trump wants to see the death penalty come “into vogue” again. He’s wanted that for years.
vox.com,What should you do if you win the lottery? Start a foundation.
vox.com,Google’s annual Halloween Doodle gets a multiplayer upgrade for 2018
