source,title
washingtontimes.com,"Hillary Clinton jokes 'they all look alike' after interviewer confuses Cory Booker, Eric Holder"
washingtontimes.com,Supreme Court rejects Pa. GOP appeal over state's congressional map
washingtontimes.com,"NFL trade rumor mill: Le'Veon Bell, Demaryius Thomas top candidates as deadline approaches"
washingtontimes.com,Mueller probing conference calls hosted by Roger Stone during 2016 race: Report
washingtontimes.com,Pentagon adding billions more into military intelligence programs
washingtontimes.com,World having trouble tracking Iranian oil exports as U.S. sanctions loom
washingtontimes.com,Justice Department opens a record 34 investigations of sexual harassment in housing
washingtontimes.com,Andrew Gillum hits back at Trump: 'He stokes fear'
washingtontimes.com,The Latest: Couple says fatal fall victim captured in selfie
washingtontimes.com,Public urged to call with tips about missing 4-year-old boy
washingtontimes.com,The Latest: 2nd caravan reaches city in far-southern Mexico
washingtontimes.com,Police: Drunk man disrupts South Carolina prayer vigil
washingtontimes.com,"US sending 5,200 troops to border, double Syria deployment"
washingtontimes.com,"3 siblings struck, killed by truck at bus stop in Indiana"
washingtontimes.com,"Devils, 76ers owner going all in on sports betting promotion"
washingtontimes.com,White deer have unusual home in upstate NY _ old Army depot
washingtontimes.com,The Latest: New iPads embrace facial recognition
washingtontimes.com,Judge won't step aside from trial in GOP official's slaying
washingtontimes.com,Spain says Vatican to help with discreet reburial of Franco
washingtontimes.com,"Gum, bottled water, pizza bagels want to be called 'healthy'"
washingtontimes.com,US home price gains weaken for 5th straight month
washingtontimes.com,Scot McCloughan loses grievance case against Redskins: Reports
washingtontimes.com,Steven Yeun takes a leap into Korean cinema with 'Burning'
washingtontimes.com,"Japanese spinning tops tell stories, aim for playfulness"
washingtontimes.com,Dish gardens bring gardening inside for the winter
washingtontimes.com,Chinese military secretly placing scientists in U.S. universities
washingtontimes.com,Middle school teacher faces sexual misconduct charges
washingtontimes.com,Man sentenced to 5 years in prison for fentanyl trafficking
washingtontimes.com,2 people charged in 2016 shooting death of Mississippi man
washingtontimes.com,"Prosecution, defense rest their cases in Dallas death trial"
washingtontimes.com,RIP 'Wing Bowl': Annual Philly event discontinued in light of Super Bowl victory
washingtontimes.com,Jury: School district must pay crash victim's family $1.2M
washingtontimes.com,EU antitrust regulator investigates steel joint venture deal
washingtontimes.com,"Man accused of stabbing, decapitating woman pleads guilty"
washingtontimes.com,Police: Maine man facing manslaughter charges violates bail
washingtontimes.com,US trial for 'El Chapo' set to begin next month
washingtontimes.com,Search fails to find Nome man missing from fishing boat
washingtontimes.com,DNA evidence identifies prime suspect in 28-year-old slaying
washingtontimes.com,Search for missing hunter in southwest Wyoming
washingtontimes.com,UN demands immediate halt to attacks in Ebola areas in Congo
washingtontimes.com,Police: Railroad worker concealed involvement in train wreck
washingtontimes.com,"RaeAnn Kelsch, longtime North Dakota lawmaker, dies"
washingtontimes.com,Texas dragging death killer 1 step closer to execution
washingtontimes.com,"The Latest: 3 siblings struck, killed by truck at bus stop"
washingtontimes.com,Authorities say crash killed man in southeast Nebraska
washingtontimes.com,Helicopter crash in Ashland County kills 1
washingtontimes.com,Customer service provider closing Indiana call center
washingtontimes.com,Man pleads guilty to illegally shooting grizzly bear
washingtontimes.com,Arkansas health officials confirm outbreak at cancer center
washingtontimes.com,Bulgarian authorities bust fraudulent passport scheme
washingtontimes.com,Plans announced for oil export terminal near Corpus Christi
