source,title
weeklystandard.com,Lightning Round: The Sleeper Senate Races
weeklystandard.com,The Truth About Georgia’s Voter-Registration Kerfuffle
weeklystandard.com,Jacky Rosen Should Be Pulling Away From Dean Heller in Nevada. Why Isn’t She?
weeklystandard.com,"Prufrock: A 2,400-Year-Old Ship, the Case of the Lost Caravaggio, and William Shakespeare Was a What?"
weeklystandard.com,Trying to Keep His District Red
weeklystandard.com,South Carolina Poised to Replace Mark Sanford with pro-Trump Republican
weeklystandard.com,A Few Foreign Films
weeklystandard.com,Trump's Debt
weeklystandard.com,House Republicans Play Connect-218
weeklystandard.com,Decision 2018: The Senate Breakdown
weeklystandard.com,"How Will Hurd Thrives in a Sprawling, Divided Texas District"
weeklystandard.com,What Would a Democratic Takeover in the House Mean for 2020?
weeklystandard.com,Which California Republican Will Out-Trump the Other in California’s 8th District?
weeklystandard.com,Poll Shows Hawley Leading Incumbent McCaskill in Missouri Senate Race
weeklystandard.com,What Would a House GOP Win Look Like?
weeklystandard.com,"Nicolas De Meyer, 1977-2018"
weeklystandard.com,Is Ted Cruz in Trouble?
weeklystandard.com,The Fun Tournament
weeklystandard.com,Al Qaeda Is Very Much Alive
weeklystandard.com,Fact Check: Did the DNC Illegally Steal the 2016 Primary from Bernie Sanders?
weeklystandard.com,Duncan Hunter Has Been Indicted. He Could Still Win Re-Election.
weeklystandard.com,Kavanaugh Lawyer: Ford's Lawyers Have Not Turned Over 2012 Notes
weeklystandard.com,A Democratic Socialist Could Beat Trump
weeklystandard.com,New Google Data Sheds Light on Midterm Races
weeklystandard.com,"How Peter Strzok’s GoFundMe Misleadingly Used the Weekly Standard to Help Raise $400,000"
weeklystandard.com,Media Honchos Doing Just Fine in the Trump Era
weeklystandard.com,"The Big Reveal: The Story of How 470,000 Documents from Osama Bin Laden's Compound Finally Got Into the Open"
weeklystandard.com,The Southern Poverty Law Center Is Sitting on $477 Million
weeklystandard.com,Can Any One Demographic Group Predict the House Elections?
weeklystandard.com,Iowa Envy
weeklystandard.com,The Al Qaeda - Iran Connection
weeklystandard.com,It Won't Be Easy for the Democrats to Take the Senate in 2018
weeklystandard.com,The 6 Best Rivalries at the 2018 World Cup
weeklystandard.com,True American Greatness
weeklystandard.com,"Steve Ditko, 1927 - 2018"
weeklystandard.com,New Russia Sanctions Are 'What Obama Should Have Done in 2014'
weeklystandard.com,The Real McCain
weeklystandard.com,Flake Gets His Tariff Vote
weeklystandard.com,After the Bombs Fell
weeklystandard.com,An Insider's Guide to Charlotte
weeklystandard.com,White House Watch: Walker Says He Would 'Welcome' Trump to Wisconsin
weeklystandard.com,Marines 101: Trouble Never Gets Better With Time
weeklystandard.com,Haspel Confirmed As First Female CIA Director
weeklystandard.com,Fact Check: Did Florida School Shooter Nikolas Cruz Train with a White-Supremacist Group?
weeklystandard.com,First House Incumbent of 2018 Falls
weeklystandard.com,"Donald Hall, 1928-2018"
weeklystandard.com,"Fact Check: Did a ‘White Cop Who Says He Was Taunted for Being Part Black' Receive a $65,000 Settlement?"
weeklystandard.com,'A Deep Devotion to the Cause of Human Liberty'
weeklystandard.com,Trump's Ukraine Envoy: '2017 Has Been the Most Violent Year of the Conflict'
weeklystandard.com,Fact Check: Can You Make an AR-15 With a 3D Printer?
weeklystandard.com,White House Watch: Trump to Announce $200 Billion in Federal Spending on Infrastructure
weeklystandard.com,Could Stormy Daniels and Karen McDougal Have Cost Trump the 2016 Election?
weeklystandard.com,Fact Check: Have 'Millions' Joined the NRA Since the Parkland Shooting?
weeklystandard.com,Could the Democrats and Phil Bredesen Flip Tennessee 2018?
weeklystandard.com,10 Things That Are Going to Be Problematic in 2018
weeklystandard.com,Trump’s Favorite Governor Jumps Into 2018
weeklystandard.com,"GE Filed 57,000-Page Tax Return, Paid No Taxes on $14 Billion in Profits"
weeklystandard.com,"Border Bike Trip, Day 25: Finding a Famous Author in a Town of 13 People"
weeklystandard.com,"After 9/11, Trump Took Money Marked for Small Businesses"
weeklystandard.com,"Bernie Abolishes His Opposition to ""Abolish Ice"""
weeklystandard.com,The Substandard on The Meg and Summer Box Office 2018
weeklystandard.com,Pompeo: ‘We Will Not Tolerate Russian Interference’ in Midterms
