source,title
wgntv.com,Inspiring teammate scores first touchdown after team designs special play
wgntv.com,Jury awards $11 Mil. in fire department sexual harassment case
wgntv.com,"Whitey Bulger, Boston gangster, found dead in prison at 89"
wgntv.com,Neuqua Valley High School in Naperville evacuated over threat
wgntv.com,Rampage victims’ funerals begin as Trump heads to Pittsburgh
wgntv.com,‘Bus helper’ accused of raping 6-year-old on Ohio school bus
wgntv.com,Body found at Northwest Side scrap yard
wgntv.com,2 men charged after officer chasing them fell to his death
wgntv.com,Midday Fix: Kaltsounia – a Greek cheese & herb pie
wgntv.com,Cameras allowed in trial of officers accused of Van Dyke cover-up
wgntv.com,"3 children struck, killed at Indiana school bus stop were from same family"
wgntv.com,Carson’s to reopen Evergreen Park store on Black Friday
wgntv.com,Haunted Places in Chicago: Resurrection Cemetery and ‘Resurrection Mary’
wgntv.com,Woman seeks medical help after zombie fangs get stuck to her teeth
wgntv.com,Funerals for synagogue shooting victims begin Tuesday
wgntv.com,"Son charged in deaths of Illinois professor, husband"
wgntv.com,Lombard woman mourns loss of brothers in the synagogue shooting spree
wgntv.com,"Pentagon sending 5,200 troops to border week before midterms"
wgntv.com,Trump: End birthright citizenship for some US-born babies
wgntv.com,Deadly hit and run in Chatham
wgntv.com,Anti-hate rally to be held at Jewish temple in Skokie tonight
wgntv.com,"Holocaust survivor 4 minutes late to synagogue, ‘I survived the second time’"
wgntv.com,Pharrell Williams threatens to sue Trump over use of ‘Happy’ at rally after Pittsburgh shooting
wgntv.com,Michael Jordan can’t wait to settle a debate – in the NFL
wgntv.com,"Man facing trial on charges of attacking fiancee with chainsaw, dragging her through fire"
wgntv.com,"Faith leaders remember victims of Pittsburgh, ask silent majority to speak out"
wgntv.com,Bulls first female coach Karen Stack-Umlauf making history
wgntv.com,Marco Rubio campaigns for Roskam in tight 6th District race; Roskam releases new attack ad
wgntv.com,15 Chicago eateries among top grossing independent restaurants in US
wgntv.com,Gubernatorial candidates make final push before election
wgntv.com,Sony releases full list of games that will be pre-loaded on Playstation Classic
